WKT,Name,Description,Kingdom,Topic,Wikipedia,Excavation 
"POINT (35.713978 32.433201 0.0)","The cave of Jesus?","Maybe the cave of Jesus is around here.","Perea","https://urantiapedia.org/topic/Beit_Adis",, 
"POINT (35.868793 32.68264 0.0)","Abila","In this city, also called Raphanah in some sources, Jesus and his apostles preached on several preaching tours. During the last tour of the Decapolis Jesus had a very helpful talk here with Nathanael about the authority of the holy scriptures.","Decapolis","https://urantiapedia.org/topic/Abila","https://en.wikipedia.org/wiki/Abila_%28Decapolis%29","https://www.jbu.edu/abila/"
"POINT (35.55619 32.09034 0.0)","Adam or Adán","It appears mentioned as one of the towns visited in the last preaching tour by Perea in charge of the seventy evangelists. Also as the place where John the Baptist stopped during his preaching trip, and where he launched his criticism against Herod Antipas (LU 135). Its correct location could not be found.","Perea","https://urantiapedia.org/topic/Adam_(village)","https://en.wikipedia.org/wiki/City_of_Adam",
"POINT (35.7481 31.268755 0.0)","Areópolis","Only mentioned as one of the towns visited during Perea's preaching tour of the seventy evangelists. Mentioned by Eusebius in his Onomasticon as the modern name of the city of Moab (Rabbat -Moab?); its correct location could not be found.","Nabatea","https://urantiapedia.org/topic/Areopolis",,
"POINT (35.547901 31.837 0.0)","Ainon","This is where John began to preach, on the eastern bank of the Jordan, just at the entrance to the ford. This was a forced passage town on the route to Jericho and Jerusalem. Modern archeology has unearthed the remains of a church and a monastery in the area, from the Byzantine period, attesting to the belief that this was a site revered by pilgrims since ancient times.The site is also known as Aenon or Ainon, and also Salem or Salim. It had a twin town on the other bank, which used to be called Betania del Jordán or Bethabara. It is not mentioned in The Urantia Book by this name but by that of the western bank.","Perea",,"https://en.wikipedia.org/wiki/Aenon",
"POINT (35.618801 32.232677 0.0)","Amatus","A common place of passage in the time of Jesus when he traveled the eastern bank of the Jordan. Jesus spent a long time in this town and stopped there on many occasions. managed to find its correct location.","Perea","https://urantiapedia.org/topic/Amatus","https://en.wikipedia.org/wiki/Amatus",
"POINT (34.931576 32.103851 0.0)","Antipatris (Afeq)","Biblical site near the Yarkon (?) inhabited in biblical times, when it was known as Aphek, and rebuilt by King Herod in the 15th century first, who also changed his name to Anpitatris, following his father's name. Antipatris later went down in Christian history as Paul spending a night on his way to Caesarea (Acts 32:31). Excavations at the site by M. Kokhavi have revealed much about the Roman and Biblical city. The Urantia Book once mentions it as the place of origin of some Samaritans who came to learn its teachings.","Samaria","https://urantiapedia.org/topic/Antipatris","https://en.wikipedia.org/wiki/Antipatris",
"POINT (35.848812 32.558762 0.0)","Arbela","Mentioned in The Urantia Book as one of the towns visited during the Perea tour. Currently it is the important town called Irbid.","Perea","https://urantiapedia.org/topic/Arbela","https://en.wikipedia.org/wiki/Irbid", 
"POINT (35.4869 32.816399 0.0)","Arbela (Arbel)","Small town in times of Jesus, at the entrance to the Arbel gorge, a frequent crossing point to quickly reach the Sea of ​​Galilee. Another Arbela is mentioned in The Urantia Book in Perea.","Galilee","https://urantiapedia.org/topic/Arbela","https://en.wikipedia.org/wiki/Arbel", 
"POINT (35.027119 32.035885 0.0)","Arimathea",,"Judea","https://urantiapedia.org/topic/Arimathea","https://en.wikipedia.org/wiki/Arimathea"
