WKT,Nombre,Descripción,Reino,Tópico,Wikipedia,Excavación
"POINT (35.713978 32.433201 0.0)","¿La cueva de Jesús?","Quizá está por aquí la cueva de Jesús.","Perea","https://urantiapedia.org/es/topic/Beit_Adis",,
"POINT (35.868793 32.68264 0.0)","Abila","En esta ciudad, llamada también en algunas fuentes Rafaná, predicaron Jesús y sus apóstoles en varias giras de predicación. Durante la última gira por la Decápolis Jesús tuvo una charla muy provechosa aquí con Natanael acerca de la autoridad de las escrituras sagradas.","Decápolis","https://urantiapedia.org/es/topic/Abila","https://en.wikipedia.org/wiki/Abila_%28Decapolis%29","https://www.jbu.edu/abila/"
"POINT (35.55619 32.09034 0.0)","Adam o Adán","Aparece mencionada como una de las poblaciones visitadas en la última gira de predicación por Perea a cargo de los setenta evangelistas. También como el lugar donde paró Juan el Bautista durante su viaje de predicación, y donde lanzó sus críticas contra Herodes Antipas (LU 135). No se ha podido obtener su localización exacta.","Perea","https://urantiapedia.org/es/topic/Adam_(village)","https://en.wikipedia.org/wiki/City_of_Adam",
"POINT (35.7481 31.268755 0.0)","Areópolis","Sólo mencionada como una de las poblaciones visitada durante la gira de predicación por Perea de los setenta evangelistas. Mencionada por Eusebio en su Onomasticon como nombre moderno de la ciudad de Moab (Rabbat-Moab?); no se ha podido dar con su correcto emplazamiento.","Nabatea","https://urantiapedia.org/es/topic/Areopolis",,
"POINT (35.547901 31.837 0.0)","Ainón","Aquí empezó Juan a predicar, en la margen oriental del Jordán, justo a la entrada del vado. Esta era una población de paso obligada en la ruta a Jericó y Jerusalén. La arqueología moderna ha desenterrado los restos de una iglesia y un monasterio en la zona, del período bizantino, que atestiguan la creencia de que éste fue un sitio reverenciado por los peregrinos desde antiguo. Al enclave se le conoce también como Aenon o Ainón, y también Salem o Salín. Tenía una población gemela en la otra orilla, a la que se acostumbraba a llamar Betania del Jordán o Betábara. No aparece mencionado en El Libro de Urantia por este nombre sino por el de la margen occidental.","Perea",,"https://en.wikipedia.org/wiki/Aenon",
"POINT (35.618801 32.232677 0.0)","Amatus","Lugar de paso habitual en tiempos de Jesús cuando se recorría la margen oriental del Jordán. Jesús pasó bastante tiempo en esta población y se detuvo en ella en multitud de ocaciones. No he conseguido dar con su emplazamiento correcto.","Perea","https://urantiapedia.org/es/topic/Amatus","https://en.wikipedia.org/wiki/Amatus",
"POINT (34.931576 32.103851 0.0)","Antipatris (Afeq)","Sitio bíblico cerca del Yarkon (?) habitado en tiempos bíblicos, cuando fue conocido como Afeq (en inglés Aphek), y reconstruido por el rey Herodes en el siglo primero, quien también cambió su nombre a Anpitatris, siguiendo el nombre de su padre. Antipatris pasó luego a la historia cristiana por pasar Pablo una noche de camino a Cesarea (Hch 32:31). Las excavaciones en el emplazamiento a cargo de M. Kokhavi han revelado mucho de la ciudad romana y bíblica. El Libro de Urantia la menciona en una ocasión como lugar de procedencia de algunos samaritanos que acudieron a aprender sus enseñanzas.","Samaria","https://urantiapedia.org/es/topic/Antipatris","https://en.wikipedia.org/wiki/Antipatris",
"POINT (35.848812 32.558762 0.0)","Arbela","Mencionada en El Libro de Urantia como una de las poblaciones visitadas durante la gira por la Perea. Actualmente es la importante población llamada Irbid.","Perea","https://urantiapedia.org/es/topic/Arbela","https://en.wikipedia.org/wiki/Irbid",
"POINT (35.4869 32.816399 0.0)","Arbela (Arbel)","Pequeño poblado en tiempos de Jesús, en la entrada del desfiladero de Arbel, lugar de paso frecuente para llegar rápido al mar de Galilea. En El Libro de Urantia se menciona otra Arbela en la Perea.","Galilea","https://urantiapedia.org/es/topic/Arbela","https://en.wikipedia.org/wiki/Arbel",
"POINT (35.027119 32.035885 0.0)","Arimatea",,"Judea","https://urantiapedia.org/es/topic/Arimathea","https://es.wikipedia.org/wiki/Arimatea",
