Index of “The Urantia Book Fellowship” articles	https://urantiabook.org/	is-title	Fellowship
Christianity and The Urantia Book: The Meredith J Sprunger Essays	/image/article/Fellowship/meredith_photo.jpg	is-issue	---------------------------------------------------------------
Dr. Sprunger is an ordained UCC minister with a background in philosophy and theology. He is also a social scientist with a doctorate in psychology, and has had a distinguished career as a college professor and administrator. Dr. Sprunger was personally acquainted with three of the six individuals who made up the Contact Commission which interfaced with the revelators in the compiling of The Urantia Book. Over the years Dr. Sprunger has done extensive writing on topics related to the spread of The Urantia Book into the Christian church.	---	is-subtitle	---------------------------------------------------------------
Autobiographical Introduction to this Collection of Writings	/en/article/Meredith_Sprunger/Autobiographical_Introduction	Meredith Sprunger	---
The Dynamics of Inner Spiritual Guidance	/en/article/Meredith_Sprunger/The_Dynamics_of_Inner_Spiritual_Guidance	Meredith Sprunger	Inner Life, Prayer, Worship
Interface with Mainline Christianity	/en/article/Meredith_Sprunger/Interface_with_Mainline_Christianity	Meredith Sprunger	Interfaith, Christianity
Our Task	/en/article/Meredith_Sprunger/Our_Task	Meredith Sprunger	---
Leavening Our Religious Heritage	/en/article/Meredith_Sprunger/Leavening_Our_Religious_Heritage	Meredith Sprunger	The Urantia Book
The Origin of The Urantia Book	/en/article/Meredith_Sprunger/The_Origin_of_The_Urantia_Book	Meredith Sprunger	The Urantia Book, The Urantia Book—Authorship
Universe Christology: A Transplanetary Theory	/en/article/Meredith_Sprunger/Universe_Christology_A_Transplanetary_Theory	Meredith Sprunger	Cosmology
The Urantia Book and Our Christian Heritage	/en/article/Meredith_Sprunger/UB_and_Our_Christian_Heritage	Meredith Sprunger	The Urantia Book, Christianity
Spiritual Perspectives for a New Age	/en/article/Meredith_Sprunger/Spiritual_Perspectives_for_a_New_Age	Meredith Sprunger	The Urantia Book
The Urantia Book and Religious Studies	/en/article/Meredith_Sprunger/UB_and_Religious_Studies	Meredith Sprunger	The Urantia Book, The Spiritual Fellowship Journal, Spiritual Fellowship
The Imperative of Outreach Ministry	/en/article/Meredith_Sprunger/The_Imperative_of_Outreach_Ministry	Meredith Sprunger	---
The World Mission of The Urantia Book	/en/article/Meredith_Sprunger/The_World_Mission_of_UB	Meredith Sprunger	The Urantia Book, Interfaith
Pioneers in the New Age	/en/article/Meredith_Sprunger/Pioneers_in_the_New_Age	Meredith Sprunger	The Spiritual Fellowship Journal, Spiritual Fellowship
The Gift of Revelation	/en/article/Meredith_Sprunger/The_Gift_of_Revelation	Meredith Sprunger	Revelation
The Historicity of The Urantia Book	/en/article/Meredith_Sprunger/The_Historicity_of_UB	Meredith Sprunger	The Urantia Book, The Urantia Book—Authorship, The Spiritual Fellowship Journal, Spiritual Fellowship
Hope for an Alienated Society	/en/article/Meredith_Sprunger/Hope_for_an_Alienated_Society	Meredith Sprunger	---
What is Reality?	/en/article/Meredith_Sprunger/What_is_Reality	Meredith Sprunger	Realities
The Church: Problem or Potential?	/en/article/Meredith_Sprunger/The_Church_Problem_or_Potential	Meredith Sprunger	Christianity
The Urantia Book and Christian Fundamentalism	/en/article/Meredith_Sprunger/UB_and_Christian_Fundamentalism	Meredith Sprunger	Christianity, The Urantia Book
Principles of Ministry	/en/article/Meredith_Sprunger/Principles_of_Ministry	Meredith Sprunger	Service, Service Opportunities
Clergy Evaluate The Urantia Book	/en/article/Meredith_Sprunger/Clergy_Evaluate_the_Urantia_Book	Meredith Sprunger	The Spiritual Fellowship Journal, Spiritual Fellowship
Preparing for Scholarly Evaluation of The Urantia Book	/en/article/Meredith_Sprunger/Preparing_for_Scholarly_Evaluation_of_UB	Meredith Sprunger	The Urantia Book—Authorship
Outreach Reflections	/en/article/Meredith_Sprunger/Outreach_Reflections	Meredith Sprunger	Dissemination
Our Major Responsibility: Disseminating the Fifth Epochal Revelation	/en/article/Meredith_Sprunger/Our_Major_Responsibility_Disseminating_the_Fifth_Epochal_Revelation	Meredith Sprunger	Dissemination, The Spiritual Fellowship Journal, Spiritual Fellowship
God's Presence in Action	/en/article/Meredith_Sprunger/Gods_Presence_In_Action	Meredith Sprunger	God, Jesus teachings, 6-0-6
Major Growth Steps in the Urantia Movement	/en/article/Meredith_Sprunger/Major_Growth_Steps_in_the_Urantia_Movement	Meredith Sprunger	Urantia Movement
The Dynamics of Empowerment	/en/article/Meredith_Sprunger/The_dynamics_of_Empowerment	Meredith Sprunger	The Spiritual Fellowship Journal, Spiritual Fellowship
The Cultural Impact of The Urantia Book in the Next Fifty Years	/en/article/Meredith_Sprunger/The_Cultural_Impact_of_UB_in_the_Next_Fifty_Years	Meredith Sprunger	The Urantia Book, The Spiritual Fellowship Journal, Spiritual Fellowship
Beyond Fundamentalism	/en/article/Meredith_Sprunger/Beyond_Fundamentalism	Meredith Sprunger	Revelation, The Urantia Book, Innerface International
The Purpose of Revelation	/en/article/Meredith_Sprunger/The_Purpose_of_Revelation	Meredith Sprunger	revelation, the urantia book, the urantia book—purpose, purpose, gardner, Innerface International
Prayerful Problem Solving	/en/article/Meredith_Sprunger/Prayerful_Problem_Solving_2	Meredith Sprunger	Prayer, The Urantian
The Commission to Minister	/en/article/Meredith_Sprunger/The_Commission_to_Minister	Meredith Sprunger	The Spiritual Fellowship Journal, Spiritual Fellowship
The Future of The Fifth Epochal Revelation	/en/article/Meredith_Sprunger/The_Future_of_Fifth_Epochal_Revelation	Meredith Sprunger	Revelation, Future, The Spiritual Fellowship Journal, Spiritual Fellowship
Understanding Evil in Human Experience	/en/article/Meredith_Sprunger/Understanding_Evil_in_Human_Experience	Meredith Sprunger	The Spiritual Fellowship Journal, Spiritual Fellowship
The Challenge of the 21st Century	/en/article/Meredith_Sprunger/The_Challenge_of_the_Twenty_first_Century_2	Meredith Sprunger	History, History of Urantia Movement, Future, Fellowship Herald
