Index of Innerface International articles	https://urantia-book.org/archive/newsletters/innerface/index.html	is-title	Innerface International
Volume 1 — 1994	---	is-volume	---
Volume 1 - No. 1	/image/article/Innerface_covers/volume1_no1.jpg	is-issue	---
A Time for Change?	/en/article/Ken_Glasziou/A_Time_for_Change	Ken Glasziou	Religion, Revelation
Insights	/en/article/Everett_Sloffer/Insights	Everett Sloffer	Religion, Spirituality
Do You Want Your Children to Like You? Jesus Provided a Model	/en/article/Ann_Bendall/Do_You_Want_Your_Children_to_Like_You	Ann Bendall	Family, Jesus, Jesus life, Psychology, Sociology
Further Comments on Channeling	/en/article/Meredith_Sprunger/Further_Comments_on_Channeling	Meredith Sprunger	Channeling
I Want to be Aggressive	/en/article/Ann_Bendall/I_Want_to_be_Aggressive	Ann Bendall	Psychology, Religion
On the Urgent Need for Secondary Works	/en/article/On_the_Urgent_Need_for_Secondary_Works	---	Religion, The Urantia Book
Volume 1 - No. 2	/image/article/Innerface_covers/volume1_no2.jpg	is-issue	---
Time for More Change? Symbols, Cults, and _The Urantia Book_	/en/article/Ken_Glasziou/Time_for_More_Change_Symbols_Cults	Ken Glasziou	Religion, The Urantia Book
The Alpha and the Omega	/en/article/Ken_Glasziou/The_Alpha_and_the_Omega	Ken Glasziou	Religion
Unbroken Communion with our Thought Adjuster	/en/article/Ann_Bendall/Unbroken_Communion_with_our_Thought_Adjuster	Ann Bendall	Psychology, Thought Adjusters
Was the Crucifixion really Necessary?	/en/article/Ken_Glasziou/Was_the_Crucifixion_Really_Necessary	Ken Glasziou	Religion, Theology
Adam and Eve	/en/article/Ann_Bendall/Adam_and_Eve	Ann Bendall	Religion, The Urantia Book
The Remembrance Supper	/en/article/The_Remembrance_Supper	---	Religion, The Urantia Book
Harmony: The One Universal Code of Communication	/en/article/Ann_Bendall/Harmony_The_One_Universal_Code_of_Communication	Ann Bendall	Psychology
Volume 1 - No. 3	/image/article/Innerface_covers/volume1_no3.jpg	is-issue	---
The Prodigal Son	/en/article/Ann_Bendall/The_Prodigal_Son	Ann Bendall	Jesus, Jesus teachings, Religion
When is a “Heart” not a “Heart?”	/en/article/Ken_Glasziou/When_is_a_Heart_not_a_Heart	Ken Glasziou	Jesus, Jesus teachings, Religion
The Missing Link	/en/article/Ken_Glasziou/The_Missing_Link	Ken Glasziou	Religion, The Urantia Book
Heart—the Alpha and Omega of Spirituality	/en/article/Rob_Crickett/Heart_Alpha_and_Omega_of_Spirituality	Rob Crickett	Religion
The Heart that became Loveless	/en/article/Ann_Bendall/The_Heart_that_Became_Loveless	Ann Bendall	Psychology, The Urantia Book
Jealousy, the Heart-Poison! How did Jesus deal with it?	/en/article/Ann_Bendall/Jealousy_the_Heart_Poison_How_did_Jesus_deal_with_it	Ann Bendall	Jesus, Jesus teachings, Psychology
High on Angels	/en/article/Dick_Bain/High_on_Angels	Dick Bain	Angels and midwayers, Religion, The Urantia Book
The Second Great Commandment	/en/article/Ken_Glasziou/The_Second_Great_Commandment	Ken Glasziou	Jesus, Jesus teachings, The Urantia Book
Science and The Urantia Book. When Did the Red Man Arrive in the Americas?	/en/article/Ken_Glasziou/When_Did_the_Red_Man_Arrive_in_the_Americas	Ken Glasziou	Anthropology
Primate Ancestry	/en/article/Ken_Glasziou/Primate_Ancestry	Ken Glasziou	Anthropology
Volume 1 - No. 4	/image/article/Innerface_covers/volume1_no4.jpg	is-issue	---
Nouveau-Assertiveness	/en/article/Jacques_Tetrault/Nouveau_Assertiveness	Jacques Tetrault	Sociology, Spirituality
Cognitive Dissonance. Can The Urantia Book help?	/en/article/Ann_Bendall/Cognitive_Dissonance_Can_The_Urantia_Book_help	Ann Bendall	Jesus, Jesus teachings, Morality, Psychology
DEFRAG	/en/article/Ken_Glasziou/DEFRAG	Ken Glasziou	Jesus, Jesus teachings, Morality
Jesus, Man, and Myth	/en/article/Dick_Bain/Jesus_Man_and_Myth	Dick Bain	Jesus, Jesus teachings, Religion
Another and Greater John the Baptist!	/en/article/Ann_Bendall/Another_and_Greater_John_the_Baptist	Ann Bendall	Morality, Psychology
Plan A. What was it?	/en/article/Ken_Glasziou/Plan_A_What_was_it	Ken Glasziou	God, Jesus, Jesus teachings
Science and The Urantia Book. Origins of Andon and Fonta	/en/article/Ken_Glasziou/Origins_of_Andon_and_Fonta	Ken Glasziou	Anthropology, Biology, Genetics
When did “life” start on Urantia?	/en/article/Ken_Glasziou/When_did_life_start_on_Urantia	Ken Glasziou	Anthropology, Biology, Genetics
Volume 1 - No. 5	/image/article/Innerface_covers/volume1_no5.jpg	is-issue	---
The Parliament of the World's Religions	/en/article/Byron_Belitsos/The_Parliament_of_The_Worlds_Religions	Byron Belitsos	Religion
Apartheid Mandeled	/en/article/Joanne_Scheffler/Apartheid_Mandeled	Joanne Scheffler	Love and the Golden Rule, Jesus teachings
Adversity and the Spiritual Value of Disappointment	/en/article/Ian_Stephen/Adversity_and_the_Spiritual_Value_of_Disappointment	Ian Stephen	Psychology, The Urantia Book
It's a Worry	/en/article/William_Wentworth/Its_a_Worry	William Wentworth	The Urantia Book
Do We All Have a Soul?	/en/article/Ron_Cyr/Do_We_All_Have_A_Soul	Ron Cyr	The Urantia Book
The Real Gospel	/en/article/Norm_Duval/The_Real_Gospel	Norm Duval	Religion, Jesus, Jesus teachings
More About Secondary Works	/en/article/Elizabeth_Mitchell/More_about_Secondary_Works	Elizabeth Mitchell	The Urantia Book
Better Communication with My Thought Adjuster	/en/article/Ann_Bendall/Better_Communication_with_My_Thought_Adjuster	Ann Bendall	Thought Adjusters
Science and The Urantia Book. The Mesotron	/en/article/Ken_Glasziou/Science_and_The_Urantia_Book_The_Mesotron	Ken Glasziou	Physics
Volume 1 - No. 6	/image/article/Innerface_covers/volume1_no6.jpg	is-issue	---
Only God is Good	/en/article/Ken_Glasziou/Only_God_is_Good	Ken Glasziou	God, Morality
Parable of a Parrot	/en/article/Ken_Glasziou/Parable_of_a_Parrot	Ken Glasziou	Morality
Who was Rodan?	/en/article/Ken_Glasziou/Who_was_Rodan	Ken Glasziou	Jesus, Jesus teachings, Morality
Music Functions and Change	/en/article/Ann_Bendall/Music_Functions_and_Changes	Ann Bendall	Music, Psychology
