Index of International Urantia Association's “Journal” articles	https://urantia-association.org/journal-online-archives/	is-title	Journal
2015	---	is-volume	---
Journal — December 2015	/image/article/IUA_Journal/covers/2015_12.jpg	is-issue	--------------------------------------------------------
Journal — December 2015 — Content	/en/article/IUA_Journal/2015_12	---	IUA
Journal Editorial – December 2015	/en/article/Suzanne_Kelly/journal_editorial_december_2015	Suzanne Kelly	IUA
Evolution of the Trinity Concept	/en/article/John_Zavala_Jr/evolution_of_the_trinity_concept	John Zavala Jr	IUA
The Eternal Quest	/en/article/Guy_Perron/the_eternal_quest	Guy Perron	IUA
Cultivating Mind: Choosing The Right Tool	/en/article/Michael_Hanian/cultivating_mind_choosing_the_right_tool	Michael Hanian	IUA
With Respect To Adversity	/en/article/Bart_Gibbons/with_respect_to_adversity	Bart Gibbons	IUA
The Door is Open, Let Whosoever Will, Come	/en/article/Verner_Verass/the_door_is_open	Verner Verass	IUA
2016	---	is-volume	---
Journal — February 2016	/image/article/IUA_Journal/covers/2016_02.jpg	is-issue	--------------------------------------------------------
Journal — February 2016 — Content	/en/article/IUA_Journal/2016_02	---	IUA
Journal Editorial – February 2016	/en/article/Suzanne_Kelly/journal_editorial_february_2016	Suzanne Kelly	IUA
God the Great Supervisor	/en/article/Marc_Belleau/god_the_great_supervisor	Marc Belleau	IUA
Reflections for Teachers and Believers in the Fifth Epochal Revelation	/en/article/Olga_Lopez/reflections_for_teachers_and_believers	Olga López	IUA
The Rehabilitation of Urantia	/en/article/Carolyn_Kendall/the_rehabilitation_of_urantia	Carolyn Kendall	IUA
On Studying The Foreword to The Urantia Book	/en/article/Bob_Ghen/studying_the_foreword	Bob Ghen	IUA
Journal — November 2016	/image/article/IUA_Journal/covers/2016_11.jpg	is-issue	--------------------------------------------------------
Journal — November 2016 — Content	/en/article/IUA_Journal/2016_11	---	IUA
Journal Editorial November 2016	/en/article/Suzanne_Kelly/journal_editorial_november_2016	Suzanne Kelly	IUA
How to Participate in Jesus’ Gospel Movement	/en/article/Jeff_Wattles/how_to_participate_in_jesus_gospel_movement	Jeff Wattles	IUA
Considerations for Study of the Human Jesus	/en/article/Mark_Kurtz/considerations_for_study_of_the_human_jesus	Mark Kurtz	IUA
Reporting Conference Experiences	/en/article/Alexander_H/reporting_conference_experiences	Alexander H	IUA
Follow the Yellow Brick Road	/en/article/Kathleen_Swadling/follow_the_yellow_brick_road_2	Kathleen Swadling	IUA
To Catch a Fraud	/en/article/Daniel_Swadling/to_catch_a_fraud_2	Daniel Swadling	IUA
2017	---	is-volume	---
