Index of Jan Herca's articles	https://buscandoajesus.wordpress.com/descargas/	is-title	
Articles about Jesus times	/image/article/Jan_Herca/articles_jesus.jpg	is-issue	---
The Jewish calendar on Jesus times	/en/article/Jan_Herca/The_Jewish_calendar_on_Jesus_times	Jan Herca	Jesus, Jesus times
Proposal for a Jewish calendar from the times of Jesus	/en/article/Jan_Herca/Proposed_Jewish_calendar_on_Jesus_times	Jan Herca	Jesus, Jesus times
Chronology of the life of Jesus according to The Urantia Book	/en/article/Jan_Herca/Chronology	Jan Herca	Jesus, Jesus times
Mount Hermon. But where was Jesus?	/en/article/Jan_Herca/Mount_Hermon_But_where_was_Jesus	Jan Herca	Jesus, Jesus times, place
Salvin. But what name is this?	/en/article/Jan_Herca/Salvin_But_what_name_is_this	Jan Herca	Jesus, Jesus times
Day of Atonement	/en/article/Jan_Herca/Day_of_Atonement	Jan Herca	Jesus, Jesus times
Yeshua ben Yosef	/en/article/Jan_Herca/Yeshua_ben_Yosef	Jan Herca	Jesus, Jesus times
Capernaum	/en/article/Jan_Herca/Capernaum	Jan Herca	Jesus, Jesus times, place
The “house of Simon Peter”, first domus-ecclesia?	/en/article/Jan_Herca/The_house_of_Simon_Peter_first_domus_ecclesia	Jan Herca	Jesus, Jesus times, place
The lost city of Bethsaida	/en/article/Jan_Herca/The_lost_city_of_Bethsaida	Jan Herca	Jesus, Jesus times, place
