Index of Urantia Foundation's News Online articles	https://www.urantia.org/urantia-foundation/newsletter-pdf-archives	is-title	Urantia Foundation News Online
Volume 1, 2007	---	is-volume	---
Volume 1, Issue 1, May 2007	/image/article/UF_News_Online/covers/2007_05.jpg	is-issue	--------------------------------------------------------
Welcome & Contact Details	/en/article/UF_News_Online/Welcome_Contact_Details_2007_05	---	Urantia Foundation
Welcome	/en/article/Seppo_Kanerva/Welcome	Seppo Kanerva	Urantia Foundation
Newsworthy Items From The April 2007 Trustees Meeting	/en/article/Mo_Siegel/Trustees_Meeting	Mo Siegel	Urantia Foundation
The Urantia Book In India	/en/article/Sue_Tennant/The_UB_In_India	Sue Tennant	Dissemination, Urantia Foundation
Urantia Foundation Staff: Jay Peregrine	/en/article/UF_News_Online/Jay_Peregrine	---	Urantia Foundation
Volume 1, Issue 2, Sept. 2007	/image/article/UF_News_Online/covers/2007_09.jpg	is-issue	--------------------------------------------------------
Welcome & Contact Details	/en/article/UF_News_Online/Welcome_Contact_Details_2007_09	---	Urantia Foundation
Even as I have loved you	/en/article/Seppo_Kanerva/Even_as_I_have_loved_you	Seppo Kanerva	Love and the Golden Rule, Urantia Foundation
Newsworthy Items From The August, 2007 Trustee Meeting	/en/article/Mo_Siegel/Trustees_Meeting_Aug_2007	Mo Siegel	Urantia Foundation
Foundation Prints A Portuguese Translation	/en/article/Irmeli_Sjolie/Portuguese_Translation	Irmeli Sjölie	The Urantia Book—Portuguese, Urantia Foundation
An Educational Initiative	/en/article/Gard_Jameson/An_Educational_Initiative	Gard Jameson	Education, Urantia Foundation
Distribution: El Libro De Urantia	/en/article/Tamara_Wood/Distribution_El_Libro_De_Urantia	Tamara Wood	Dissemination, The Urantia Book—Spanish, Urantia Foundation
A Short History Of The Owners Of Urantia Foundation's Head Office	/en/article/Jay_Peregrine/Head_Office_History	Jay Peregrine	History of Urantia Foundation, Urantia Foundation
Comments On Urantia Online	/en/article/UF_News_Online/Comments_2007_09	---	Urantia Foundation
Trustee Emerita Patricia Mundelius Leaves Expanded Board	/en/article/Carolyn_Kendall/Patricia_Mundelius_Leaves	Carolyn Kendall	Urantia Foundation
Reflections	/en/article/Patricia_Mundelius/Reflections	Patricia Mundelius	Urantia Foundation
Help Wanted	/en/article/Mo_Siegel/Help_Wanted	Mo Siegel	Urantia Foundation
Volume 1, Issue 3, Dec. 2007	/image/article/UF_News_Online/covers/2007_12.jpg	is-issue	--------------------------------------------------------
Welcome & Contact Details	/en/article/UF_News_Online/Welcome_Contact_Details_2007_12	---	Urantia Foundation
Tension — the Prerequisite of Growth	/en/article/Seppo_Kanerva/Tension_the_Prerequisite_of_Growth	Seppo Kanerva	Urantia Foundation
Urantia Foundation Launches Matching Fundraising Campaign In December, 2007	/en/article/Mo_Siegel_and_Gard_Jameson/Matching_Fundraising_Campaign	Mo Siegel and Gard Jameson	Urantia Foundation
Newsworthy Decisions From Urantia Foundation's October Trustees Meeting	/en/article/Mo_Siegel/Decisions_October_Trustees_Meeting	Mo Siegel	Urantia Foundation
German Translation Brings Readers Together	/en/article/Irmeli_Sjolie/German_Translation_Brings_Readers_Together	Irmeli Sjölie	Dissemination, The Urantia Book—German, Urantia Foundation
Neal Waldrop Concludes Four Years of Active Participation	/en/article/Carolyn_Kendall/Neal_Waldrop_Concludes_Four_Years_of_Active_Participation	Carolyn Kendall	Urantia Foundation
Millennial Reflections	/en/article/Neal_Waldrop/Millennial_Reflections	Neal Waldrop	Service Opportunities, Urantia Foundation
Seeding the Revelation in South Africa	/en/article/Simone_Cox/Seeding_the_Revelation_in_South_Africa	Simone Cox	Dissemination, Africa, Urantia Foundation
Volume 2, 2008	---	is-volume	---
Volume 2, Issue 1, March 2008	/image/article/UF_News_Online/covers/2008_03.jpg	is-issue	--------------------------------------------------------
Welcome & Contact Details	/en/article/UF_News_Online/Welcome_Contact_Details_2008_03	---	Urantia Foundation
The Secret of a Better Civilisation	/en/article/Seppo_Kanerva/The_Secret_of_a_Better_Civilisation	Seppo Kanerva	Peace, Urantia Foundation
O Livro de Urântia Premiered in Brazil	/en/article/Jay_Peregrine_and_Irmeli_Sjolie/O_Livro_de_Urantia_Premiered_in_Brazil	Jay Peregrine and Irmeli Sjölie	Dissemination, The Urantia Book—Portuguese, Urantia Foundation
Newsworthy Decisions From Urantia Foundation's January 2008 Trustees Meeting	/en/article/Mo_Siegel/Decisions_January_Trustees_Meeting_2008	Mo Siegel	Urantia Foundation
Japanese Translation Continues To Progress	/en/article/Jeff_Wattles/Japanese_Translation_Progress	Jeff Wattles	Dissemination, Japan, Urantia Foundation
In Memorium: Karlheinz Stockhausen	/en/article/Christian_Ruch/In_Memorium_Karlheinz_Stockhausen	Christian Ruch	Music, Urantia Foundation
Study Groups: The Principle Of Sharing	/en/article/Claire_Mylanus/Study_Groups	Claire Mylanus	Study Groups, Urantia Foundation
Reflections on introducing The Urantia Book	/en/article/Jay_Peregrine/Reflections_on_introducing_The_Urantia_Book	Jay Peregrine	Dissemination, Urantia Foundation
Testimonials About The Urantia Book	/en/article/UF_News_Online/Testimonials	---	Urantia Foundation
Two new Trustees elected	/en/article/UF_News_Online/Two_new_Trustees_elected	---	Urantia Foundation
Volume 2, Issue 2, June 2008	/image/article/UF_News_Online/covers/2008_06.jpg	is-issue	--------------------------------------------------------
Welcome & Contact Details	/en/article/UF_News_Online/Welcome_Contact_Details_2008_06	---	Urantia Foundation
The Revelation Enters the 21st Century	/en/article/Mo_Siegel/The_Revelation_Enters_the_21st_Century	Mo Siegel	History of Urantia Movement, Urantia Foundation
Noteworthy Decisions From The April 2008 Board Meeting In Paris	/en/article/Mo_Siegel/Decisions_April_2008_Board_meeting	Mo Siegel	Urantia Foundation
Buenos Aires Book Fair	/en/article/Tamara_Wood/Buenos_Aires_Book_Fair	Tamara Wood	Dissemination, Latin America, Urantia Foundation
The Urantia Community Endowment: A Fund For The Future	/en/article/Gard_Jameson/The_Urantia_Community_Endowment	Gard Jameson	Urantia Foundation
Duane Faw: Honoring a Man Who Served the Revelation	/en/article/Saskia_Praamsma_Raevouri/Duane_Faw_Honoring_a_Man_Who_Served_the_Revelation	Saskia Praamsma Raevouri	Urantia Foundation
Volume 2, Issue 3, Sept. 2008	/image/article/UF_News_Online/covers/2008_09.jpg	is-issue	--------------------------------------------------------
Welcome & Contact Details	/en/article/UF_News_Online/Welcome_Contact_Details_2008_09	---	Urantia Foundation
Seppo Kanerva announces his Retirement	/en/article/UF_News_Online/Seppo_Kanerva_announces_his_Retirement	---	Urantia Foundation
The Future of the Urantia Movement	/en/article/Marilynn_Kulieke/The_Future_of_the_Urantia_Movement	Marilynn Kulieke	History of Urantia Movement, Future, Urantia Foundation
Newsworthy Decisions Made By Urantia Foundation's Board Of Trustees	/en/article/Mo_Siegel/Decisions_Made_by_Urantia_Foundations_Board_of_Trustees	Mo Siegel	Urantia Foundation
Printing Of El Libro De Urantia European Edition	/en/article/Olga_Lopez/El_Libro_de_Urantia_European_Edition	Olga López	The Urantia Book—Spanish, Urantia Foundation
A Tribute to Pat Mundelius	/en/article/Richard_Keeler/A_Tribute_to_Pat_Mundelius	Richard Keeler	Urantia Foundation
Why Is The Urantia Book Religious But Not a Religion?	/en/article/Claire_Mylanus/Why_Is_The_Urantia_Book_Religious_But_Not_a_Religion	Claire Mylanus	The Urantia Book, Urantia Foundation
Are You a New Religion or a Cult?	/en/article/Neal_Waldrop/Are_You_a_New_Religion_or_a_Cult	Neal Waldrop	The Urantia Book, Urantia Foundation
UBIS... Celebrating 10 Years of Dedicated Service To The Urantia Book Community	/en/article/Georges_Michelson_Dupont/UBIS	Georges Michelson-Dupont	UBIS, Urantia Foundation
Volume 2, Issue 4, Dec. 2008	/image/article/UF_News_Online/covers/2008_12.jpg	is-issue	--------------------------------------------------------
Welcome & Contact Details	/en/article/UF_News_Online/Welcome_Contact_Details_2008_12	---	Urantia Foundation
Holiday Greetings From Urantia Foundation	/en/article/Mo_Siegel/Holiday_Greetings_From_Urantia_Foundation	Mo Siegel	Urantia Foundation
Urantia Foundation Launches Matching Fund-Raising Campaign 2008	/en/article/Gard_Jameson/Urantia_Foundation_Launches_Matching_Fund_Raising_Campaign_2008	Gard Jameson	Urantia Foundation
Noteworthy Decisions From The November 2008 Board Meeting	/en/article/Mo_Siegel/Decisions_Made_by_Urantia_Foundations_Board_of_Trustees_2008_12	Mo Siegel	Urantia Foundation
The Urantia Book In Austria	/en/article/Irmeli_Ivalo_Sjolie_and_Werner_Sutter/The_Urantia_Book_In_Austria	Irmeli Ivalo-Sjölie and Werner Sutter	Urantia Foundation
Education And Urantia Foundation	/en/article/Dorothy_Elder/Education_And_Urantia_Foundation	Dorothy Elder	Education, Urantia Foundation
Second Meeting of Urantia Book Readers In Germany	/en/article/Christian_Ruch/Second_Meeting_of_Urantia_Book_Readers_In_Germany	Christian Ruch	The Urantia Book—German, Urantia Foundation
Henk Mylanus, New Associate Trustee And European Manager Of Sales	/en/article/Claire_Mylanus/Henk_Mylanus_New_Associate_Trustee_And_European_Manager_Of_Sales	Claire Mylanus	Urantia Foundation
Reflections	/en/article/Jay_Peregrine/Reflections	Jay Peregrine	Dissemination, Urantia Foundation
Volume 3, 2009	---	is-volume	---
Volume 3, Issue 1, March 2009	/image/article/UF_News_Online/covers/2009_03.jpg	is-issue	--------------------------------------------------------
Welcome & Contact Details	/en/article/UF_News_Online/Welcome_Contact_Details_2009_03	---	Urantia Foundation
Kind and Generous Souls	/en/article/Mo_Siegel/Kind_and_Generous_Souls	Mo Siegel	Urantia Foundation
Noteworthy Decisions From The January 2009 Board Meeting	/en/article/Marilynn_Kulieke/Decisions_From_The_January_2009_Board_Meeting	Marilynn Kulieke	Urantia Foundation
