Index of Urantia Foundation's Urantian articles	https://www.urantia.org/urantia-foundation/newsletter-pdf-archives	is-title	Urantia Foundation
Volume 1, 1973	---	is-volume	---
Volume 1, Issue 1, December 1973	/image/article/UF_Urantian/covers/1973_12.jpg	is-issue	--------------------------------------------------------
Urantian — News from Urantia Foundation — December 1973	/en/article/UF_Urantian/1973_12	---	
Volume 2, 1974	---	is-volume	---
Volume 2, Issue 1, July 1974	/image/article/UF_Urantian/covers/1974_07.jpg	is-issue	--------------------------------------------------------
Urantian — News from Urantia Foundation — July 1974	/en/article/UF_Urantian/1974_07	---	
Volume 2, Issue 2, December 1974	/image/article/UF_Urantian/covers/1974_12.jpg	is-issue	--------------------------------------------------------
Urantian — News from Urantia Foundation — December 1974	/en/article/UF_Urantian/1974_12	---	
Volume 3, 1975	---	is-volume	---
Volume 3, Issue 1, July 1975	/image/article/UF_Urantian/covers/1975_07.jpg	is-issue	--------------------------------------------------------
Urantian — News from Urantia Foundation — July 1975	/en/article/UF_Urantian/1975_07	---	
Volume 3, Issue 2, December 1975	/image/article/UF_Urantian/covers/1975_12.jpg	is-issue	--------------------------------------------------------
Urantian — News from Urantia Foundation — December 1975	/en/article/UF_Urantian/1975_12	---	
Volume 4, 1976	---	is-volume	---
Volume 4, Issue 1, July 1976	/image/article/UF_Urantian/covers/1976_07.jpg	is-issue	--------------------------------------------------------
Urantian — News from Urantia Foundation — July 1976	/en/article/UF_Urantian/1976_07	---	
Volume 4, Issue 2, December 1976	/image/article/UF_Urantian/covers/1976_12.jpg	is-issue	--------------------------------------------------------
Urantian — News from Urantia Foundation — December 1976	/en/article/UF_Urantian/1976_12	---	
Volume 5, 1977	---	is-volume	---
Volume 5, Issue 1, July 1977	/image/article/UF_Urantian/covers/1977_07.jpg	is-issue	--------------------------------------------------------
Urantian — News from Urantia Foundation — July 1977	/en/article/UF_Urantian/1977_07	---	
Volume 5, Issue 2, December 1977	/image/article/UF_Urantian/covers/1977_12.jpg	is-issue	--------------------------------------------------------
Urantian — News from Urantia Foundation — December 1977	/en/article/UF_Urantian/1977_12	---	
Volume 6, 1978	---	is-volume	---
Volume 6, Issue 1, July 1978	/image/article/UF_Urantian/covers/1978_07.jpg	is-issue	--------------------------------------------------------
Urantian — News from Urantia Foundation — July 1978	/en/article/UF_Urantian/1978_07	---	
Volume 6, Issue 2, December 1978	/image/article/UF_Urantian/covers/1978_12.jpg	is-issue	--------------------------------------------------------
Urantian — News from Urantia Foundation — December 1978	/en/article/UF_Urantian/1978_12	---	
Volume 7, 1979	---	is-volume	---
Volume 7, Issue 1, July 1979	/image/article/UF_Urantian/covers/1979_07.jpg	is-issue	--------------------------------------------------------
Urantian — News from Urantia Foundation — July 1979	/en/article/UF_Urantian/1979_07	---	
Volume 7, Issue 2, December 1979	/image/article/UF_Urantian/covers/1979_12.jpg	is-issue	--------------------------------------------------------
Urantian — News from Urantia Foundation — December 1979	/en/article/UF_Urantian/1979_12	---	
Volume 8, 1980	---	is-volume	---
Volume 8, Issue 1, July 1980	/image/article/UF_Urantian/covers/1980_07.jpg	is-issue	--------------------------------------------------------
Urantian — News from Urantia Foundation — July 1980	/en/article/UF_Urantian/1980_07	---	
Volume 8, Issue 2, December 1980	/image/article/UF_Urantian/covers/1980_12.jpg	is-issue	--------------------------------------------------------
Urantian — News from Urantia Foundation — December 1980	/en/article/UF_Urantian/1980_12	---	
Volume 9, 1980	---	is-volume	---
Volume 9, Issue 1, July 1981	/image/article/UF_Urantian/covers/1981_07.jpg	is-issue	--------------------------------------------------------
Urantian — News from Urantia Foundation — July 1981	/en/article/UF_Urantian/1981_07	---	
Volume 9, Issue 2, December 1981	/image/article/UF_Urantian/covers/1981_12.jpg	is-issue	--------------------------------------------------------
Urantian — News from Urantia Foundation — December 1981	/en/article/UF_Urantian/1981_12	---	
