Index of Six-0-Six articles	Índice de artículos Six-0-Six
Volume 7, 1986	Vol. 7, 1986
Vol 7 No 1 Feb 1986	Vol. 7 Núm. 1 Febrero de 1986
Vol 7 No 1 Feb 1986	Vol. 7 Núm. 1 Febrero de 1986
The Derivation of Values	La derivación de valores
The Service Motive	El motivo del servicio
Vol 7 No 2 March 1986	Vol. 7 Núm. 2 Marzo 1986
Vol 7 No 2 March 1986	Vol. 7 Núm. 2 Marzo 1986
The Spirit and the Flesh	El Espíritu y la Carne
Vol 7 No 3 April 1986	Vol. 7 Núm. 3 Abril 1986
Vol 7 No 3 April 1986	Vol. 7 Núm. 3 Abril 1986
The relativity of Truth	La relatividad de la verdad
Vol 7 No 4 May 1986	Vol. 7 Núm. 4 Mayo de 1986
Vol 7 No 4 May 1986	Vol. 7 Núm. 4 Mayo de 1986
Going International	Hacerse internacional
Commentary On Scientific Statements In The Urantia Book	Comentario sobre declaraciones científicas en El libro de Urantia: Física subatómica
An Ounce Of Experience	Una onza de experiencia
Vol 7 No 5 June 1986	Vol. 7 Núm. 5 Junio 1986
Vol 7 No 5 June 1986	Vol. 7 Núm. 5 Junio 1986
The Remembrance Supper	La Cena del Recuerdo
Commentary On Scientific Statements In The Urantia Book II	Comentario sobre las declaraciones científicas del Libro de Urantia, Parte II
Australia — A Pagan Country?	Australia: ¿un país pagano?
Vol 7 No 6 July 1986	Vol. 7 Núm. 6 Julio de 1986
Vol 7 No 6 July 1986	Vol. 7 Núm. 6 Julio de 1986
Conference 1986 Report	Informe de la Conferencia de 1986
Commentary On Scientific Statements In The Urantia Book III	Comentario sobre las declaraciones científicas del Libro de Urantia, Parte III
Australia — A Pagan Country? A Rejoinder	Australia: ¿un país pagano? Una réplica
Who Am I	¿Quién soy yo?
Vol 7 No 7 Sept 1986	Vol. 7 Núm. 7 Septiembre de 1986
Vol 7 No 7 Sept 1986	Vol. 7 Núm. 7 Septiembre de 1986
The Tapestry Or Loving Service	El tapiz o servicio amoroso
Springtime — A study of the Future	Primavera: un estudio del futuro
Commentary On Scientific Statements In The Urantia Book IV	Comentario sobre las declaraciones científicas del libro de Urantia - Parte IV
Vol 7 No 8 Nov 1986	Vol. 7 Núm. 8 noviembre de 1986
Vol 7 No 8 Nov 1986	Vol. 7 Núm. 8 noviembre de 1986
The Urantia Book: The Question Of Origin	El libro de Urantia: La cuestión del origen
John the Revelator	Juan el Revelador
Say Hello to a Fellow Urantian	Saluda a un compañero urantiano
Volume 8, 1987	Vol. 8, 1987
Vol 8 No 1 Jan 1987	Vol. 8 Núm. 1 de enero de 1987
Vol 8 No 1 Jan 1987	Vol. 8 Núm. 1 de enero de 1987
A Matter Of Priorities	Una cuestión de prioridades
God's Presence In Action	La presencia de Dios en acción
Vol 8 No 2 March 1987	Vol. 8 Núm. 2 Marzo 1987
Vol 8 No 2 March 1987	Vol. 8 Núm. 2 Marzo 1987
When Was Michael's Crucifixion Date?	¿Cuándo fue la fecha de la crucifixión de Miguel?
Land Of The Morning Calm	Tierra de la calma matutina
Vol 8 No 3 May 1987	Vol. 8 Núm. 3 Mayo de 1987
Vol 8 No 3 May 1987	Vol. 8 Núm. 3 Mayo de 1987
Land Of The Morning Calm	Tierra de la calma matutina
Vol 8 No 4 July 1987	Vol. 8 Núm. 4 Julio de 1987
Vol 8 No 4 July 1987	Vol. 8 Núm. 4 Julio de 1987
Lao Shou Hsing, God of Longevity	Lao Shou Hsing, dios de la longevidad
On Our Journey Inward	En nuestro viaje hacia adentro
Vol 8 No 5 Sept 1987	Vol. 8 Núm. 5 Septiembre de 1987
Vol 8 No 5 Sept 1987	Vol. 8 Núm. 5 Septiembre de 1987
General Conference Of Urantia Brotherhood	Conferencia General de la Urantia Brotherhood
On the matter of Reincarnation	Sobre la cuestión de la reencarnación
Friendship, Brotherhood and Sonship	Amistad, Hermandad y Filiación
Vol 8 No 6 Nov 1987	Vol. 8 Núm. 6 noviembre de 1987
Vol 8 No 6 Nov 1987	Vol. 8 Núm. 6 noviembre de 1987
Report On The 1987 Australian Meeting Of Urantia Book Readers	Informe sobre la reunión australiana de lectores del libro de Urantia de 1987
Hsi Wang Mu — The Queen of the Western Heaven	Hsi Wang Mu - La reina del cielo occidental
What Religion Are You?	¿De qué religión eres?
Cosmology Corner	Rincón de la cosmología
So What's The Connection?	Entonces, ¿cuál es la conexión?
Volume 9, 1988	Vol. 9, 1988
Vol 9 No 1 Jan 1988	Vol. 9 Núm. 1 de enero de 1988
Vol 9 No 1 Jan 1988	Vol. 9 Núm. 1 de enero de 1988
Black Boxes, Red Shifts And Big Bangs	Cajas negras, desplazamientos al rojo y big bangs
The URANTIA Book in 200 Years Time	El libro de Urantia dentro de 200 años
Reincarnation Or Repersonalization	Reencarnación o repersonalización
Vol 9 No 2 March 1988	Vol. 9 Núm. 2 Marzo 1988
Vol 9 No 2 March 1988	Vol. 9 Núm. 2 Marzo 1988
Group worship	Adoración en grupo
Misinformation In The Urantia Book?	¿Información errónea en El libro de Urantia?
The Arrival Of God Into A Human Mind	La llegada de Dios a la mente humana
Ingredients For Problem Solving	Ingredientes para la resolución de problemas
Vol 9 No 3 May 1988	Vol. 9 Núm. 3 Mayo de 1988
Vol 9 No 3 May 1988	Vol. 9 Núm. 3 Mayo de 1988
Two Remarkable Predictions	Dos predicciones notables
Doing God's Will	Haciendo la voluntad de Dios
Value For Money	Valor por dinero
The Remarkable Amenhotep IV	El notable Amenhotep IV
Vol 9 No 4 July 1988	Vol. 9 Núm. 4 Julio de 1988
Vol 9 No 4 July 1988	Vol. 9 Núm. 4 Julio de 1988
The Second Remarkable Prediction	La segunda predicción notable
Baptism Of The Spirit	Bautismo del Espíritu
Computer Analysis Of Dates In The Urantia Book	Análisis informático de fechas en el libro de Urantia
