Index of “The Urantia Book Fellowship” articles	Índice de artículos de “La Comunidad del Libro de Urantia”
Christianity and The Urantia Book: The Meredith J Sprunger Essays	El cristianismo y El libro de Urantia: Los ensayos de Meredith J. Sprunger
Dr. Sprunger is an ordained UCC minister with a background in philosophy and theology. He is also a social scientist with a doctorate in psychology, and has had a distinguished career as a college professor and administrator. Dr. Sprunger was personally acquainted with three of the six individuals who made up the Contact Commission which interfaced with the revelators in the compiling of The Urantia Book. Over the years Dr. Sprunger has done extensive writing on topics related to the spread of The Urantia Book into the Christian church.	El Dr. Sprunger es ministro ordenado de la UCC con formación en filosofía y teología. También es científico social con un doctorado en psicología y ha tenido una distinguida trayectoria como profesor universitario y administrador. El Dr. Sprunger conoció personalmente a tres de las seis personas que integraron la Comisión de Contacto, que interactuó con los reveladores en la compilación de El libro de Urantia. A lo largo de los años, el Dr. Sprunger ha escrito extensamente sobre temas relacionados con la difusión de El libro de Urantia en la iglesia cristiana.
Autobiographical Introduction to this Collection of Writings	Introducción autobiográfica a esta colección de escritos
The Dynamics of Inner Spiritual Guidance	La dinámica de la guía espiritual interna
Interface with Mainline Christianity	Conexión con el cristianismo tradicional
Our Task	Nuestra tarea
Leavening Our Religious Heritage	Leudando nuestra herencia religiosa
The Origin of The Urantia Book	El origen de El libro de Urantia
Universe Christology: A Transplanetary Theory	Cristología universal: una teoría transplanetaria
The Urantia Book and Our Christian Heritage	El libro de Urantia y nuestra herencia cristiana
Spiritual Perspectives for a New Age	Perspectivas espirituales para una nueva era
The Urantia Book and Religious Studies	El libro de Urantia y los estudios religiosos
The Imperative of Outreach Ministry	El imperativo del ministerio de divulgación
The World Mission of The Urantia Book	La misión mundial de El libro de Urantia
Pioneers in the New Age	Pioneros en la nueva era
The Gift of Revelation	El don de la revelación
The Historicity of The Urantia Book	La historicidad de El libro de Urantia
Hope for an Alienated Society	Esperanza para una sociedad alienada
What is Reality?	¿Qué es la realidad?
The Church: Problem or Potential?	La Iglesia: ¿problema o potencial?
The Urantia Book and Christian Fundamentalism	El libro de Urantia y el fundamentalismo cristiano
Principles of Ministry	Principios del ministerio
Clergy Evaluate The Urantia Book	Evaluación del clero de El libro de Urantia
Preparing for Scholarly Evaluation of The Urantia Book	Preparación para la evaluación académica de El libro de Urantia
Outreach Reflections	Reflexiones sobre la divulgación
Our Major Responsibility: Disseminating the Fifth Epochal Revelation	Nuestra principal responsabilidad: difundir la Quinta Revelación de Época
God's Presence in Action	La presencia de Dios en acción
Major Growth Steps in the Urantia Movement	Principales etapas de crecimiento en el Movimiento Urantia
The Dynamics of Empowerment	La dinámica del empoderamiento
The Cultural Impact of The Urantia Book in the Next Fifty Years	El impacto cultural de El libro de Urantia en los próximos cincuenta años
Beyond Fundamentalism	Más allá del fundamentalismo
The Purpose of Revelation	El propósito de la revelación
Prayerful Problem Solving	Resolución de problemas mediante la oración
The Commission to Minister	La comisión de ministrar
The Future of The Fifth Epochal Revelation	El futuro de la Quinta Revelación de Época
Understanding Evil in Human Experience	Comprendiendo el mal en la experiencia humana
The Challenge of the 21st Century	El desafío del siglo XXI
Jesus of Nazareth: Outline for A Study of His Life and Teachings	Jesús de Nazaret: Esquema para un estudio de su vida y enseñanzas
Urantia Book Deviations from Traditional Christian Doctrine	Desviaciones de El libro de Urantia de la doctrina cristiana tradicional
An Introduction to The Urantia Book for Conservative Christians	Introducción a El libro de Urantia para cristianos conservadores
Introduction to the Theology of The Urantia Book	Introducción a la teología de El libro de Urantia
