Index of Urantia Book Fellowship Herald articles	Índice de los artículos del Urantia Book Fellowship Herald
Volume 1, Number 1, 1998 (Fall)	Volumen 1, Número 1, 1998 (Otoño)
On the Brink of the Most Amazing and Enthralling Epoch	Al borde de la época más asombrosa y apasionante
Let Your Soul Decide	Deja que tu alma decida
The Urantia Papers From a Jewish Perspective	Los documentos de Urantia desde una perspectiva judía
The Concepts of Trust and Hope in The Urantia Book	Los conceptos de confianza y esperanza en _El Libro de Urantia_
Unity	Unidad
48 Chromosomes - Are We Asking the Right Questions?	48 cromosomas: ¿estamos haciendo las preguntas correctas?
Volume 1, Number 2, 1999 (Spring)	Volumen 1, Número 2, 1999 (Primavera)
The Challenge of the 21st Century	El desafío del siglo XXI
On Facing Millennial Change	Sobre cómo enfrentar el cambio milenario
Magisterial Missions	Misiones magistrales
Springtime: A Study of the Future	Primavera: un estudio del futuro
Whither Goest Thou, Woman?	¿Adónde vas, mujer?
The Seven Psychic Circles	Los siete círculos psíquicos
On Removing The Barrier To A Civilized Discussion Of Eugenics	Sobre la eliminación de la barrera a una discusión civilizada de la eugenesia
The basket	El canasto
Time and time out	Tiempo y tiempo fuera
Volume 2, Number 1, 1999 (Winter)	Volumen 2, Número 1, 1999 (Invierno)
The Family: Birthplace of Cosmic Citizens	La Familia: Lugar de Nacimiento de los Ciudadanos Cósmicos
An Expression of Cosmic Worship	Una expresión de adoración cósmica
Two Cosmologies — Astronomy and The Urantia Book	Dos cosmologías — La astronomía y El Libro de Urantia
Reflections on cosmic citizenship	Reflexiones sobre la ciudadanía cósmica
The Dual Nature of Supremacy	La naturaleza dual de la supremacía
Poem by Emily Bronte	Poema de Emily Bronte
Volume 2, Number 2, 2000 (Summer)	Volumen 2, Número 2, 2000 (Verano)
Millenial Prayer	Oración Milenaria
Thinking About Tomorrow	Pensando en el mañana
Restated in Modern Phraseology	Reformulado en fraseología moderna
Scientific Predictions of The Urantia Book - Part II	Predicciones científicas de _El libro de Urantia_ - Parte II
“I Will Tell Them A Story”	«Les contaré una historia»
The Science of Parenting	La ciencia de la crianza de los hijos
The Ethics of Genetic Control and Social Engineering	La ética del control genético y la ingeniería social
The Intellectual Role of The Urantia Book	El papel intelectual de «El libro de Urantia»
Volume 3, Number 1, 2001 (Summer)	Volumen 3, Número 1, 2001 (Verano)
A Source Study Of “Instruction For Teachers And Believers”	Un estudio fuente de «Instrucción para maestros y creyentes»
Show Us A Miracle!	¡Muéstranos un milagro!
Universal Religion: An Interfaith Presentation	Religión universal: una presentación interreligiosa
Ethical Eugenics: A Modest Proposal For The 21st Century	Eugenesia ética: una modesta propuesta para el siglo XXI
Last Mountain In Vancouver	Última montaña en Vancouver
Volume 4, Number 1, 2002 (Summer)	Volumen 4, Número 1, 2002 (Verano)
Reflections on the Urantia Movement in 2002	Reflexiones sobre el Movimiento Urantia en 2002
Centering — A Method of Divine Embrace	Centrar: un método de abrazo divino
Eugenics and The Urantia Book: Another Perspective	La eugenesia y El libro de Urantia: otra perspectiva
Revelatory Mouthpiecing	Boquilla reveladora
Faith Wiring in the Brain	Conexión de la fe en el cerebro
In Search of the Error So Great	En busca del error tan grande
Jesus' Miracles and the Father's Will	Los milagros de Jesús y la voluntad del Padre
A Demystification and Redefinition of Cult	Una desmitificación y redefinición del culto
Not what we give...but what we share...	No lo que damos... sino lo que compartimos...
Religious Practice and the Urantia Revelation	La práctica religiosa y la revelación de Urantia
The Gift of Tolerance	El regalo de la tolerancia
Volume 5, Number 1, 2003 (Summer)	Volumen 5, Número 1, 2003 (Verano)
Evening Prayer	Oración nocturna
A Jewish Girl Finds Jesus	Una chica judía encuentra a Jesús
Prayer from another world	Oración de otro mundo
Ruminations on Revelation	Reflexiones sobre la revelación
Safeguarding the Symbols of Urantian Faith	Salvaguardar los símbolos de la fe de Urantia
When Belief Becomes Faith	Cuando la creencia se convierte en fe
