Index of Innerface International articles	Índice de los artículos del Innerface International
Volume 1 — 1994	Volumen 1 — 1994
Volume 1 - No. 1	Volumen 1 - No. 1
A Time for Change?	¿Tiempo de cambio?
Insights	Percepciones
Do You Want Your Children to Like You? Jesus Provided a Model	¿Quieres que tus hijos te quieran? Jesús tiene un modo
Further Comments on Channeling	Más comentarios sobre la canalización
I Want to be Aggressive	¡Quiero ser agresiva!
On the Urgent Need for Secondary Works	Sobre la urgente necesidad de obras secundarias
Volume 1 - No. 2	Volumen 1 - No. 2
Time for More Change? Symbols, Cults, and _The Urantia Book_	¿Tiempo para más cambios? Símbolos, cultos y _El libro de Urantia_
The Alpha and the Omega	El Alfa y la Omega
Unbroken Communion with our Thought Adjuster	Comunión ininterrumpida con nuestro Ajustador del Pensamiento
Was the Crucifixion really Necessary?	¿Era realmente necesaria la crucifixión?
Adam and Eve	Adán y Eva
The Remembrance Supper	La Cena del Recuerdo
Harmony: The One Universal Code of Communication	Armonía: El código universal de comunicación
Volume 1 - No. 3	Volumen 1 - No. 3
The Prodigal Son	El hijo pródigo
When is a “Heart” not a “Heart?”	¿Cuándo un «Corazón» no es un «Corazón»?
The Missing Link	La conexión perdida
Heart—the Alpha and Omega of Spirituality	Corazón —el Alfa y Omega de la Espiritualidad
The Heart that became Loveless	El corazón que se quedó sin amor
Jealousy, the Heart-Poison! How did Jesus deal with it?	¡Los celos, el veneno del corazón! ¿Cómo lo enfrentó Jesús?
High on Angels	Arriba con los Ángeles
The Second Great Commandment	El Segundo Gran Mandamiento
Science and The Urantia Book. When Did the Red Man Arrive in the Americas?	La ciencia y El Libro de Urantia. ¿Cuándo llegó el Hombre Rojo a las Américas?
Primate Ancestry	Ascendencia de los primates
Volume 1 - No. 4	Volumen 1 - No. 4
Nouveau-Assertiveness	Nouveau-Asertividad
Cognitive Dissonance. Can The Urantia Book help?	Disonancia cognitiva. ¿Puede ayudar El libro de Urantia?
DEFRAG	DEFRAG
Jesus, Man, and Myth	Jesús, Hombre y Mito
Another and Greater John the Baptist!	¡Otro Juan Bautista más grande!
Plan A. What was it?	Plan A. Cúal era?
Science and The Urantia Book. Origins of Andon and Fonta	La ciencia y El libro de Urantia. Orígenes de Andon y Fonta
When did “life” start on Urantia?	¿Cuándo comenzó la «vida» en Urantia?
Volume 1 - No. 5	Volumen 1 - No. 5
The Parliament of the World's Religions	El Parlamento de las Religiones del Mundo
Apartheid Mandeled	El Apartheid tras Mandela
Adversity and the Spiritual Value of Disappointment	La adversidad y el valor espiritual de la decepción
It's a Worry	Es una preocupación
Do We All Have a Soul?	¿Todos tenemos un alma?
The Real Gospel	El verdadero evangelio
