Index of The Spiritual Fellowship Journal articles	Índice de artículos de The Spiritual Fellowship Journal
Volume 1 — 1991	Volumen 1 — 1991
Spring 1991 — First Issue	Primavera 1991 — Primer número
Issue Content, Spring 1991	Spiritual Fellowship Journal — Contenido del número, primavera de 1991
A Faith Adventure	Una aventura de fe
Latent Mainline Potential	Potencial latente de línea principal
The Church: A Statement of Purpose and Belief	La Iglesia: una declaración de propósito y creencias
Interface: Does it Preach?	Interfaz: ¿Predica?
Church Members and The Urantia Book	Los miembros de la Iglesia y el libro de Urantia
The Urantia Book and Religious Studies	El libro de Urantia y los estudios religiosos
The Mathematics of Love	Las matemáticas del amor
The Urantia Book and Modern Science: Harmony or Discord?	El libro de Urantia y la ciencia moderna: ¿armonía o discordia?
The Urantia Book and Spiritual Renewal	El libro de Urantia y la renovación espiritual
Song of The Urantia Book	Canción del libro de Urantia
Hymns in Worship	Himnos en la adoración
Media and Values	Medios y Valores
Significant Books: No Other Name? By Paul F. Knitter	Libros importantes: ¿No hay otro nombre? Por Paul F. Knitter
Inner Guidance	Guía interior
“Arise, Take Up Your Life and Walk”	Levántate, toma tu vida y anda
Fall 1991	Otoño 1991
Issue Content, Fall 1991	Spiritual Fellowship Journal — Contenido del número, otoño de 1991
The Unique Function of Religion	La función única de la religión
Bible Appreciation Enhanced	Apreciación bíblica mejorada
Mainline Destiny	Destino principal
Interface: A New Revelation? Who needs it?	Interfaz: ¿Una nueva revelación? ¿Quién la necesita?
How The Urantia Book Can Contribute to the Church	Cómo puede contribuir el libro de Urantia a la Iglesia
Clergy Evaluate the Urantia Book	El clero evalúa el libro de Urantia
Science, Religion, and The Urantia Book	El clero evalúa el libro de Urantia
The Urantia Book as a Sermon Resource	El libro de Urantia como recurso para sermones
Confirming a Spiritual Pilgrimage 	El libro de Urantia y la renovación espiritual: confirmando una peregrinación espiritual
Significant Books: Global Responsibility: In Search of a New Ethic By Hans Kung	Libros significativos: “Responsabilidad global: en busca de una nueva ética”
Tuning the Inner and Outer Life	Sintonizando la vida interior y exterior
Throwing the Spiritual Baby Out With the Sexist Bathwater	Tirar al bebé espiritual con el agua del baño sexista
“A Teacher Sent From God”	«Un maestro enviado por Dios»
Volume 2 — 1992	Volumen 2 — 1992
Spring 1992	Primavera 1992
Issue Content, Spring 1992	Spiritual Fellowship Journal — Contenido del número, primavera de 1992
Resistance to Spiritual Truth	Resistencia a la verdad espiritual
Urantia Book Fundamentalism	Fundamentalismo del Libro de Urantia
The Future of Religion	El futuro de la religión
Interface: How Good is the Good News?	Interfaz: ¿Qué tan buenas son las buenas noticias?
My Life's Most Significant Spiritual Event 	El acontecimiento espiritual más significativo de mi vida
The Cultural Impact of The Urantia Book in the Next Fifty Years	El impacto cultural del libro de Urantia en los próximos cincuenta años
The Geography of Faith	La geografía de la fe
Some Quotations from The Urantia Book	Algunas citas del libro de Urantia
Significant Books: “Truth in Religion” By Mortimer Adler	Libros importantes: “La verdad en la religión” de Mortimer Adler
Significant Books: “God and Religion in the Postmodern World” By David Ray Gritlin	Libros importantes: “Dios y la religión en el mundo posmoderno” por David Ray Gritlin
A Mainline Reaction to Apocalypticism	Una reacción principal al apocalipticismo
The Dawn of a New Age	El amanecer de una nueva era
