Index of Urantia Foundation's “NEWSFLASH!” articles	Índice de artículo de las «NewsFlash» de la Fundación de Urantia
1998	1998
Issue 1 — April 1998	Número 1 — Abril 1998
NEWSFLASH! — Issue 1 — April 1998	NEWSFLASH! - Número 1 - Abril de 1998
Issue 2 — May 1998	Número 2 — Mayo 1998
NEWSFLASH! — Issue 2 — May 1998	NEWSFLASH! - Número 2 - Mayo de 1998
Issue 3 — June 1998	Número 3 — Junio 1998
NEWSFLASH! — Issue 3 — June 1998	NEWSFLASH! - Número 3 - Junio de 1998
Issue 4 — July 1998	Número 4 — Julio 1998
NEWSFLASH! — Issue 4 — July 1998	NEWSFLASH! - Número 4 - Julio de 1998
Issue 5 — August 1998	Número 5 — Agosto 1998
NEWSFLASH! — Issue 5 — August 1998	NEWSFLASH! - Número 5 - Agosto de 1998
Issue 6 — October 1998	Número 6 — Octubre 1998
NEWSFLASH! — Issue 6 — October 1998	NEWSFLASH! — Número 6 — Octubre/noviembre de 1998
1999	1999
Issue 7 — January 1999	Número 7 — Enero 1999
NEWSFLASH! — Issue 7 — January 1999	NEWSFLASH! - Número 7 - Enero de 1999
Issue 8 — March 1999	Número 8 — Marzo 1999
NEWSFLASH! — Issue 8 — March 1999	NEWSFLASH! - Número 8 - Marzo de 1999
Issue 9 — June 1999	Número 9 — Junio 1999
NEWSFLASH! — Issue 9 — June 1999	NEWSFLASH! - Número 9 - Junio de 1999
Issue 10 — August 1999	Número 10 — Agosto 1999
NEWSFLASH! — Issue 10 — August 1999	NEWSFLASH! - Número 10 - Agosto de 1999
2000	2000
Issue 11 — February 2000	Número 11 — Febrero 2000
NEWSFLASH! — Issue 11 — February 2000	NEWSFLASH! - Número 11 - Febrero de 2000
Issue 11 — July 2000	Número 11 — Julio 2000
NEWSFLASH! — Issue 11 — July 2000	NEWSFLASH! - Número 11 - Julio de 2000
Issue 12 — September 2000	Número 12 — Septiembre 2000
NEWSFLASH! — Issue 12 — September 2000	NEWSFLASH! - Número 12 - Septiembre de 2000
2001	2001
Issue 13 — January 2001	Número 13 — Enero 2001
NEWSFLASH! — Issue 13 — January 2001	NEWSFLASH! - Número 13 - Enero de 2001
Issue 15 — March 2001	Número 15 — Marzo 2001
NEWSFLASH! — Issue 15 — March 2001	NEWSFLASH! - Número 15 - Marzo de 2001
Issue 16 — July 2001	Número 16 — Julio 2001
NEWSFLASH! — Issue 16 — July 2001	NEWSFLASH! - Número 16 - Julio de 2001
Issue 17 — September 2001	Número 17 — Septiembre 2001
NEWSFLASH! — Issue 17 — September 2001	NEWSFLASH! - Número 17 - Septiembre de 2001
Issue 18 — November 2001	Número 18 — Noviembre 2001
NEWSFLASH! — Issue 18 — November 2001	NEWSFLASH! - Número 18 - Noviembre de 2001
2002	2002
Issue 19 — January 2002	Número 19 — Enero 2002
NEWSFLASH! — Issue 19 — January 2002	NEWSFLASH! - Número 19 - Enero de 2002
Issue 20 — May 2002	Número 20 — Mayo 2002
NEWSFLASH! — Issue 20 — May 2002	NEWSFLASH! - Número 20 - Mayo de 2002
Issue 21 — July 2002	Número 21 — Julio 2002
NEWSFLASH! — Issue 21 — July 2002	NEWSFLASH! - Número 21 - Julio de 2002
Issue 23 — November 2002	Número 23 — Noviembre 2002
NEWSFLASH! — Issue 23 — November 2002	NEWSFLASH! - Número 23 - Noviembre de 2002
2003	2003
Issue 24 — September 2003	Número 24 — Septiembre 2003
NEWSFLASH! — Issue 24 — September 2003	NEWSFLASH! - Número 24 - Septiembre de 2003
2004	2204
Issue 25 — March 2004	Número 25 — Marzo 2004
NEWSFLASH! — Issue 25 — March 2004	NEWSFLASH! - Número 25 - Marzo de 2004
