Index of Urantia Foundation's “Urantian” articles	Índice de artículos del boletín «Urantian» de la Fundación Urantia
1973	1973
Issue 1, December 1973	Número 1, Diciembre 1973
Urantian — News from Urantia Foundation — December 1973	Urantian News — Noticias de la Fundación Urantia — diciembre de 1973
1974	1974
Issue 1, July 1974	Número 1, Julio 1974
Urantian — News from Urantia Foundation — July 1974	Urantian News — Noticias de la Fundación Urantia — julio de 1974
Issue 2, December 1974	Número 2, Diciembre 1974
Urantian — News from Urantia Foundation — December 1974	Urantian News — Noticias de la Fundación Urantia — diciembre de 1974
1975	1975
Issue 1, July 1975	Número 1, Julio 1975
Urantian — News from Urantia Foundation — July 1975	Urantian News — Noticias de la Fundación Urantia — julio de 1975
Issue 2, December 1975	Número 2, Diciembre 1975
Urantian — News from Urantia Foundation — December 1975	Urantian News — Noticias de la Fundación Urantia — Diciembre de 1975
1976	1976
Issue 1, July 1976	Número 1, Julio 1976
Urantian — News from Urantia Foundation — July 1976	Urantian News — Noticias de la Fundación Urantia — julio de 1976
Issue 2, December 1976	Número 2, Diciembre 1976
Urantian — News from Urantia Foundation — December 1976	Urantian News — Noticias de la Fundación Urantia — diciembre de 1976
1977	1977
Issue 1, July 1977	Número 1, Julio 1977
Urantian — News from Urantia Foundation — July 1977	Urantian News — Noticias de la Fundación Urantia — julio de 1977
Issue 2, December 1977	Número 2, Diciembre 1977
Urantian — News from Urantia Foundation — December 1977	Urantiano - Noticias de la Fundación Urantia - Diciembre de 1977
1978	1978
Issue 1, July 1978	Número 1, Julio 1978
Urantian — News from Urantia Foundation — July 1978	Urantian News — Noticias de la Fundación Urantia — julio de 1978
Issue 2, December 1978	Número 2, Diciembre 1978
Urantian — News from Urantia Foundation — December 1978	Urantiano - Noticias de la Fundación Urantia - Diciembre de 1978
1979	1979
Issue 1, July 1979	Número 1, Julio 1979
Urantian — News from Urantia Foundation — July 1979	Urantian News — Noticias de la Fundación Urantia — julio de 1979
Issue 2, December 1979	Número 2, Diciembre 1979
Urantian — News from Urantia Foundation — December 1979	Urantian News — Noticias de la Fundación Urantia — Diciembre de 1979
1980	1980
Issue 1, July 1980	Número 1, Julio 1980
Urantian — News from Urantia Foundation — July 1980	Urantian News — Noticias de la Fundación Urantia — julio de 1980
Issue 2, December 1980	Número 2, Diciembre 1980
Urantian — News from Urantia Foundation — December 1980	Urantian News — Noticias de la Fundación Urantia — diciembre de 1980
1981	1981
Issue 1, July 1981	Número 1, Julio 1981
Urantian — News from Urantia Foundation — July 1981	Urantian News — Noticias de la Fundación Urantia — julio de 1981
Issue 2, December 1981	Número 2, Diciembre 1981
Urantian — News from Urantia Foundation — December 1981	Urantian News — Noticias de la Fundación Urantia — diciembre de 1981
1982	1982
Issue 1, June 1982	Número 1, Junio 1982
Urantian — News from Urantia Foundation — June 1982	Urantian News — Noticias de la Fundación Urantia — junio de 1982
Issue 2, December 1982	Número 2, Diciembre 1982
Urantian — News from Urantia Foundation — December 1982	Urantian News — Noticias de la Fundación Urantia — diciembre de 1982
1983	1983
Issue 1, July 1983	Número 1, Julio 1983
Urantian — News from Urantia Foundation — July 1983	Urantian News — Noticias de la Fundación Urantia — julio de 1983
Issue 2, December 1983	Número 2, Diciembre 1983
Urantian — News from Urantia Foundation — December 1983	Urantian News — Noticias de la Fundación Urantia — diciembre de 1983
Vern Grimsley Annoucement	Urantian News — Noticias de la Fundación Urantia — diciembre de 1983
1984	1984
Issue 1, July 1984	Número 1, Julio 1984
Urantian — News from Urantia Foundation — July 1984	Urantian News — Noticias de la Fundación Urantia — julio de 1984
Issue 2, December 1984	Número 2, Diciembre 1984
Urantian — News from Urantia Foundation — December 1984	Urantian News — Noticias de la Fundación Urantia — diciembre de 1984
1985	1985
Issue 1, July 1985	Número 1, Julio 1985
Urantian — News from Urantia Foundation — July 1985	Urantian News — Noticias de la Fundación Urantia — julio de 1985
Issue 2, December 1985	Número 2, Diciembre 1985
Urantian — News from Urantia Foundation — December 1985	Urantian News — Noticias de la Fundación Urantia — diciembre de 1985
1986	1986
Issue 1, July 1986	Número 1, Julio 1986
Urantian — News from Urantia Foundation — July 1986	Urantian News — Noticias de la Fundación Urantia — julio de 1986
Issue 2, December 1986	Número 2, Diciembre 1986
Urantian — News from Urantia Foundation — December 1986	Urantian News — Noticias de la Fundación Urantia — diciembre de 1986
1987	1987
Issue 1, July 1987	Número 1, Julio 1987
Urantian — News from Urantia Foundation — July 1987	Urantian News — Noticias de la Fundación Urantia — julio de 1987
Issue 2, December 1987	Número 2, Diciembre 1987
Urantian — News from Urantia Foundation — December 1987	Urantian News — Noticias de la Fundación Urantia — diciembre de 1987
1988	1988
Issue 1, July 1988	Número 1, Julio 1988
Urantian — News from Urantia Foundation — July 1988	Urantian News — Noticias de la Fundación Urantia — julio de 1988
Issue 2, December 1988	Número 2, Diciembre 1988
Urantian — News from Urantia Foundation — December 1988	Urantian News — Noticias de la Fundación Urantia — diciembre de 1988
1990	1990
Issue 1, October 1990	Número 1, Octubre 1990
URANTIA Brotherhood Association	Asociación Hermandad Urantia
Volume 10, 1991	Volumen 10, 1991
Volume 10, Issue 1, November 1991	Volumen 10, Número 1, Noviembre 1991
Urantian — News from Urantia Foundation — November 1991	Urantian News — Noticias de la Fundación Urantia — noviembre de 1991
Volume 11, 1992	Volumen 11, 1992
Volume 11, Issue 1, September 1992	Volumen 11, Número 1, Septiembre 1992
Urantian — News from Urantia Foundation — September 1992	Urantian News — Noticias de la Fundación Urantia — Septiembre de 1992
Volume 11, Issue 2, November 1992	Volumen 11, Número 2, Noviembre 1992
Urantian — News from Urantia Foundation — November 1992	Urantian News — Noticias de la Fundación Urantia — noviembre de 1992
Volume 12, 1993	Volumen 12, 1993
Volume 12, Issue 1, May 1993	Volumen 12, Número 1, Mayo 1993
Urantian — News from Urantia Foundation — May 1993	Urantian News — Noticias de la Fundación Urantia — mayo de 1993
Volume 12, Issue 2, November 1993	Volumen 12, Número 2, Noviembre 1993
Urantian — News from Urantia Foundation — November 1993	Urantian News — Noticias de la Fundación Urantia — noviembre de 1993
Volume 13, 1994	Volumen 13, 1994
Volume 13, Issue 1, May 1994	Volumen 13, Número 1, Mayo 1994
Urantian — News from Urantia Foundation — May 1994	Urantian News — Noticias de la Fundación Urantia — mayo de 1994
Volume 13, Issue 2, November 1994	Volumen 13, Número 2, Noviembre 1994
