Index of Six-0-Six articles	Index des articles Six-0-Six
Volume 7, 1986	Tome 7, 1986
Vol 7 No 1 Feb 1986	Vol 7 No 1 février 1986
Vol 7 No 1 Feb 1986	Vol 7 No 1 février 1986
The Derivation of Values	La dérivation des valeurs
The Service Motive	Le motif du service
Vol 7 No 2 March 1986	Vol 7 No 2 mars 1986
Vol 7 No 2 March 1986	Vol 7 No 2 mars 1986
The Spirit and the Flesh	L'Esprit et la Chair
Vol 7 No 3 April 1986	Vol 7 No 3 avril 1986
Vol 7 No 3 April 1986	Vol 7 No 3 avril 1986
The relativity of Truth	La relativité de la vérité
Vol 7 No 4 May 1986	Vol 7 No 4 mai 1986
Vol 7 No 4 May 1986	Vol 7 No 4 mai 1986
Going International	Aller à l'international
Commentary On Scientific Statements In The Urantia Book	Commentaire sur les déclarations scientifiques dans le Livre d'Urantia
An Ounce Of Experience	Une once d'expérience
Vol 7 No 5 June 1986	Vol 7 No 5 juin 1986
Vol 7 No 5 June 1986	Vol 7 No 5 juin 1986
The Remembrance Supper	Le Souper du Souvenir
Commentary On Scientific Statements In The Urantia Book II	Commentaire sur les déclarations scientifiques dans le Livre d'Urantia II
Australia — A Pagan Country?	L'Australie : un pays païen ?
Vol 7 No 6 July 1986	Vol 7 No 6 juillet 1986
Vol 7 No 6 July 1986	Vol 7 No 6 juillet 1986
Conference 1986 Report	Rapport de la Conférence 1986
Commentary On Scientific Statements In The Urantia Book III	Commentaire sur les déclarations scientifiques dans le Livre d'Urantia III
Australia — A Pagan Country? A Rejoinder	L'Australie : un pays païen ? Une réplique
Who Am I	Qui suis je
Vol 7 No 7 Sept 1986	Vol 7 No 7 septembre 1986
Vol 7 No 7 Sept 1986	Vol 7 No 7 septembre 1986
The Tapestry Or Loving Service	La Tapisserie Ou Service Amoureux
Springtime — A study of the Future	Printemps — Une étude du futur
Commentary On Scientific Statements In The Urantia Book IV	Commentaire sur les déclarations scientifiques dans le Livre d'Urantia IV
Vol 7 No 8 Nov 1986	Vol 7 No 8 novembre 1986
Vol 7 No 8 Nov 1986	Vol 7 No 8 novembre 1986
The Urantia Book: The Question Of Origin	Le Livre d'Urantia : La question de l'origine
John the Revelator	Jean le Révélateur
Say Hello to a Fellow Urantian	Dites bonjour à un camarade urantien
Volume 8, 1987	Tome 8, 1987
Vol 8 No 1 Jan 1987	Vol 8 No 1 janvier 1987
Vol 8 No 1 Jan 1987	Vol 8 No 1 janvier 1987
A Matter Of Priorities	Une question de priorités
God's Presence In Action	La présence de Dieu en action
Vol 8 No 2 March 1987	Vol 8 No 2 mars 1987
Vol 8 No 2 March 1987	Vol 8 No 2 mars 1987
When Was Michael's Crucifixion Date?	Quelle était la date de la crucifixion de Michael ?
Land Of The Morning Calm	Terre Du Matin Calme
Vol 8 No 3 May 1987	Vol 8 n° 3 mai 1987
Vol 8 No 3 May 1987	Vol 8 n° 3 mai 1987
Land Of The Morning Calm	Terre Du Matin Calme
Vol 8 No 4 July 1987	Vol 8 No 4 juillet 1987
Vol 8 No 4 July 1987	Vol 8 No 4 juillet 1987
Lao Shou Hsing, God of Longevity	Lao Shou Hsing, Dieu de la longévité
On Our Journey Inward	Sur notre voyage vers l'intérieur
Vol 8 No 5 Sept 1987	Vol 8 No 5 septembre 1987
Vol 8 No 5 Sept 1987	Vol 8 No 5 septembre 1987
General Conference Of Urantia Brotherhood	Conférence générale de la Fraternité Urantia
On the matter of Reincarnation	À propos de la réincarnation
Friendship, Brotherhood and Sonship	Amitié, fraternité et filiation
Vol 8 No 6 Nov 1987	Vol 8 No 6 novembre 1987
Vol 8 No 6 Nov 1987	Vol 8 No 6 novembre 1987
Report On The 1987 Australian Meeting Of Urantia Book Readers	Rapport sur la réunion australienne des lecteurs du Livre d'Urantia de 1987
Hsi Wang Mu — The Queen of the Western Heaven	Hsi Wang Mu - La reine du paradis occidental
What Religion Are You?	De quelle religion es tu?
Cosmology Corner	Le coin de la cosmologie
So What's The Connection?	Alors, quel est le lien ?
Volume 9, 1988	Tome 9, 1988
Vol 9 No 1 Jan 1988	Vol 9 No 1 janvier 1988
Vol 9 No 1 Jan 1988	Vol 9 No 1 janvier 1988
Black Boxes, Red Shifts And Big Bangs	Boîtes noires, décalages rouges et big bangs
The URANTIA Book in 200 Years Time	Le Livre d'URANTIA dans 200 ans
Reincarnation Or Repersonalization	Réincarnation ou repersonnalisation
Vol 9 No 2 March 1988	Vol 9 No 2 mars 1988
Vol 9 No 2 March 1988	Vol 9 No 2 mars 1988
Group worship	Culte de groupe
Misinformation In The Urantia Book?	Désinformation dans le Livre d'Urantia ?
