Index of “The Urantia Book Fellowship” articles	Index des articles de la « Fraternité du Livre d'Urantia »
Christianity and The Urantia Book: The Meredith J Sprunger Essays	Christianisme et Le Livre d'Urantia : Les essais de Meredith J. Sprunger
Dr. Sprunger is an ordained UCC minister with a background in philosophy and theology. He is also a social scientist with a doctorate in psychology, and has had a distinguished career as a college professor and administrator. Dr. Sprunger was personally acquainted with three of the six individuals who made up the Contact Commission which interfaced with the revelators in the compiling of The Urantia Book. Over the years Dr. Sprunger has done extensive writing on topics related to the spread of The Urantia Book into the Christian church.	Le Dr Sprunger est un ministre ordonné de l'Église catholique romaine (UCC), avec une formation en philosophie et en théologie. Il est également spécialiste des sciences sociales et titulaire d'un doctorat en psychologie. Il a mené une brillante carrière de professeur d'université et d'administrateur. Il connaissait personnellement trois des six personnes qui composaient la Commission de contact, qui a collaboré avec les révélateurs pour la compilation du Livre d'Urantia. Au fil des ans, le Dr Sprunger a écrit de nombreux articles sur des sujets liés à la diffusion du Livre d'Urantia dans l'Église chrétienne.
Autobiographical Introduction to this Collection of Writings	Introduction autobiographique à ce recueil d'écrits
The Dynamics of Inner Spiritual Guidance	La dynamique de la guidance spirituelle intérieure
Interface with Mainline Christianity	Interface avec le christianisme traditionnel
Our Task	Notre tâche
Leavening Our Religious Heritage	Affermir notre héritage religieux
The Origin of The Urantia Book	L'origine du Livre d'Urantia
Universe Christology: A Transplanetary Theory	La christologie universelle : une théorie transplanétaire
The Urantia Book and Our Christian Heritage	Le Livre d'Urantia et notre héritage chrétien
Spiritual Perspectives for a New Age	Perspectives spirituelles pour un Nouvel Âge
The Urantia Book and Religious Studies	Le Livre d'Urantia et les études religieuses
The Imperative of Outreach Ministry	L'impératif du ministère d'évangélisation
The World Mission of The Urantia Book	La mission mondiale du Livre d'Urantia
Pioneers in the New Age	Pionniers du Nouvel Âge
The Gift of Revelation	Le don de la révélation
The Historicity of The Urantia Book	L'historicité du Livre d'Urantia
Hope for an Alienated Society	L'espoir pour une société aliénée
What is Reality?	Qu'est-ce que la réalité ?
The Church: Problem or Potential?	L'Église : problème ou potentiel ?
The Urantia Book and Christian Fundamentalism	Le Livre d'Urantia et le fondamentalisme chrétien
Principles of Ministry	Principes du ministère
Clergy Evaluate The Urantia Book	Évaluation du Livre d'Urantia par le clergé
Preparing for Scholarly Evaluation of The Urantia Book	Préparation à l'évaluation scientifique du Livre d'Urantia
Outreach Reflections	Réflexions sur la diffusion
Our Major Responsibility: Disseminating the Fifth Epochal Revelation	Notre responsabilité principale : diffuser la Cinquième Révélation d'Époque
God's Presence in Action	La Présence de Dieu en action
Major Growth Steps in the Urantia Movement	Étapes majeures de croissance du Mouvement Urantia
The Dynamics of Empowerment	La dynamique de l'autonomisation
The Cultural Impact of The Urantia Book in the Next Fifty Years	L'impact culturel du Livre d'Urantia dans les cinquante prochaines années
Beyond Fundamentalism	Au-delà du fondamentalisme
The Purpose of Revelation	Le but de la révélation
Prayerful Problem Solving	Résolution de problèmes par la prière
The Commission to Minister	La mission d'exercer un ministère
The Future of The Fifth Epochal Revelation	L'avenir de la Cinquième Révélation d'Époque
Understanding Evil in Human Experience	Comprendre le mal dans l'expérience humaine
The Challenge of the 21st Century	Le défi du XXIe siècle
Jesus of Nazareth: Outline for A Study of His Life and Teachings	Jésus de Nazareth : Aperçu d'une étude de sa vie et de ses enseignements
Urantia Book Deviations from Traditional Christian Doctrine	Déviations du Livre d'Urantia par rapport à la doctrine chrétienne traditionnelle
An Introduction to The Urantia Book for Conservative Christians	Une introduction au Livre d'Urantia pour les chrétiens conservateurs
Introduction to the Theology of The Urantia Book	Introduction à la théologie du Livre d'Urantia
