Index of Urantia Book Fellowship Herald articles	Index des articles du Urantia Book Fellowship Herald
Volume 1, Number 1, 1998 (Fall)	Volume 1, numéro 1, 1998 (automne)
On the Brink of the Most Amazing and Enthralling Epoch	À l’aube de l’époque la plus étonnante et la plus passionnante
Let Your Soul Decide	Laissez votre âme décider
The Urantia Papers From a Jewish Perspective	Les Cahiers d'Urantia d'un point de vue juif
The Concepts of Trust and Hope in The Urantia Book	Les concepts de confiance et d'espoir dans le Livre d'Urantia
Unity	Unité
48 Chromosomes - Are We Asking the Right Questions?	48 Chromosomes : posons-nous les bonnes questions ?
Volume 1, Number 2, 1999 (Spring)	Volume 1, numéro 2, 1999 (printemps)
The Challenge of the 21st Century	Le défi du 21e siècle
On Facing Millennial Change	Face au changement millénaire
Magisterial Missions	Missions magistrales
Springtime: A Study of the Future	Le printemps : une étude du futur
Whither Goest Thou, Woman?	Où vas-tu, femme ?
The Seven Psychic Circles	Les sept cercles psychiques
On Removing The Barrier To A Civilized Discussion Of Eugenics	Sur la suppression des obstacles à une discussion civilisée sur l’eugénisme
The basket	Le panier
Time and time out	Temps et temps mort
Volume 2, Number 1, 1999 (Winter)	Volume 2, numéro 1, 1999 (hiver)
The Family: Birthplace of Cosmic Citizens	La famille : lieu de naissance des citoyens cosmiques
An Expression of Cosmic Worship	Une expression du culte cosmique
Two Cosmologies — Astronomy and The Urantia Book	Deux cosmologies — L'astronomie et le Livre d'Urantia
Reflections on cosmic citizenship	Réflexions sur la citoyenneté cosmique
The Dual Nature of Supremacy	La double nature de la suprématie
Poem by Emily Bronte	Poème d'Emily Brontë
Volume 2, Number 2, 2000 (Summer)	Volume 2, numéro 2, 2000 (été)
Millenial Prayer	Prière millénaire
Thinking About Tomorrow	Penser à demain
Restated in Modern Phraseology	Reformulé dans une phraséologie moderne
Scientific Predictions of The Urantia Book - Part II	Prédictions scientifiques du Livre d'Urantia — Partie II
“I Will Tell Them A Story”	«Je vais leur raconter une histoire»
The Science of Parenting	La science de la parentalité
The Ethics of Genetic Control and Social Engineering	L'éthique du contrôle génétique et de l'ingénierie sociale
The Intellectual Role of The Urantia Book	Le rôle intellectuel du « Livre d'Urantia »
Volume 3, Number 1, 2001 (Summer)	Volume 3, numéro 1, 2001 (été)
A Source Study Of “Instruction For Teachers And Believers”	Une étude source de « l’instruction pour les enseignants et les croyants »
Show Us A Miracle!	Montrez-nous un miracle !
Universal Religion: An Interfaith Presentation	Religion universelle : une présentation interconfessionnelle
Ethical Eugenics: A Modest Proposal For The 21st Century	Eugénisme éthique : une modeste proposition pour le 21e siècle
Last Mountain In Vancouver	Dernière montagne à Vancouver
Volume 4, Number 1, 2002 (Summer)	Volume 4, numéro 1, 2002 (été)
Reflections on the Urantia Movement in 2002	Réflexions sur le Mouvement Urantia en 2002
Centering — A Method of Divine Embrace	Centrage - Une méthode d'étreinte divine
Eugenics and The Urantia Book: Another Perspective	L'eugénisme et le Livre d'Urantia : une autre perspective
Revelatory Mouthpiecing	Embouchure révélatrice
Faith Wiring in the Brain	Câblage de la foi dans le cerveau
In Search of the Error So Great	À la recherche de l'erreur si grande
Jesus' Miracles and the Father's Will	Les miracles de Jésus et la volonté du Père
Not what we give...but what we share...	Pas ce que nous donnons... mais ce que nous partageons...
A Demystification and Redefinition of Cult	Une démystification et une redéfinition du culte
Religious Practice and the Urantia Revelation	Pratique religieuse et révélation Urantia
The Gift of Tolerance	Le don de la tolérance
Volume 5, Number 1, 2003 (Summer)	Volume 5, numéro 1, 2003 (été)
Evening Prayer	Prière du soir
A Jewish Girl Finds Jesus	Une jeune fille juive trouve Jésus
Prayer from another world	Prière d'un autre monde
Ruminations on Revelation	Réflexions sur la Révélation
Safeguarding the Symbols of Urantian Faith	Sauvegarder les symboles de la foi urantienne
When Belief Becomes Faith	Quand la croyance devient foi
The Patterns of Revelation	Les modèles de révélation
The Difficulty of Being Objective	La difficulté d’être objectif
Words of Wisdom	Paroles de sagesse
Closed Circle or Open Book	Cercle fermé ou livre ouvert ?
The Origin of the Spiritual Fellowship	L'origine de la communion spirituelle
A Dialogue About The Kingdom	Un dialogue sur « Le Royaume des Cieux »
Anti-Terror Treatise	Traité antiterroriste
Thy Kingdom Come	Que ton règne vienne
Volume 5, Number 2, 2004 (Summer)	Volume 5, numéro 2, 2004 (été)
Illumination/Transformation	Illumination / Transformation
An Essay on Hope	Un essai sur l'espoir
The Soul’s Expression	L'expression de l'âme
The Rise of Spiritual Technology	L'essor de la technologie spirituelle
Meditation in The Urantia Book, Jesus Style	Méditation dans le Livre d'Urantia — À la manière de Jésus
The Art of Marriage	L'art du mariage
Room In My Heart	Chambre dans mon coeur
A Trace of God	Une trace de Dieu
The Golden Rule in Business	La règle d'or en affaires
Volume 6, Number 1, 2005 (Summer)	Volume 6, numéro 1, 2005 (été)
The Next Fifty Years: Dissemination	Les cinquante prochaines années
The New Revelation of the Living Jesus	La nouvelle révélation de Jésus vivant
Wonderment and revelation	Émerveillement et révélation
On Removing The Barrier to a Civilized Discussion Of Eugenics	Sur la suppression des obstacles à une discussion civilisée sur l'eugénisme
Becoming a Universe-Conscious Citizen	Le défi des cinquante prochaines années...
At Home In The Universe	À la maison dans l'univers
Pattern of Unity	Modèle d'unité
Journey to India: Legacy of the Sethite Teachers	Voyage en Inde
Thoughts About the Future of our Urantia Community	Réflexions sur l'avenir de notre communauté Urantia
Legacy in Peril: Children and the Urantia Community	Un héritage en péril
Putting the Teachings into Action	Mettre en action les enseignements du Livre d’Urantia à travers la philosophie intégrale
Science Cannot Replace Religion	La science ne peut pas remplacer la religion
A Reed Singing	Un chant de roseau
Volume 7, Number 1, 2006 (Summer)	Volume 7, numéro 1, 2006 (été)
Guardian Angels	anges gardiens
Youth and The Urantia Book	La jeunesse et le Livre d'Urantia
Prophecy and The Urantia Book	La prophétie et le Livre d'Urantia
Serving: A Cookbook for the Soul	Servir – Un livre de recettes pour l’âme
What is Personality?	Qu'est-ce que la personnalité ?
The Coming Scientific Validation of The Urantia Book	La prochaine validation scientifique du Livre d'Urantia
Volume 8, Number 1, 2007 (Summer)	Volume 8, numéro 1, 2007 (été)
Amazing Human Aspects of Epochal Revelation	Aspects humains étonnants de la révélation d’époque – Vérité contre vérité. Fait
Archangels: Agents of Epochal Change	Archanges – Agents du changement d’époque
IC 08 —The Thrill of Loving Service	IC 08—Le frisson du service aimant
Year 2006 Update on The Coming Scientific Validation of The Urantia Book	Mise à jour de l'année 2006 sur la validation scientifique à venir du Livre d'Urantia
Participatory Evolution	Évolution participative
Personality and Man	Personnalité et homme
The Golden Rule	La règle d'or
Science Fiction for Agondonters	Science-fiction pour les agondontaires
Loving Service	Service affectueux
The Kingdom and the Supreme	Le Royaume et le Suprême – Aperçus pour simplifier la compréhension du Livre d’Urantia
Volume 9, Number 1, 2008 (Summer)	Volume 9, numéro 1, 2008 (été)
Celestial Ministry: Seen and Unseen	Ministère Céleste : Origine, Nature et Destin Vus et Invisibles
The Supreme and Outreach	Le Suprême et la Sensibilisation
Guess Who's Coming Next?	Devinez qui viendra ensuite ?
A Missionary Experience in Turkey	Une expérience missionnaire en Turquie
You Be The Book	Tu es le livre
The Start of a Worthy New Tradition	Le début d’une nouvelle tradition digne
The Significance of the Sevenfold Bestowal Career	La signification de la carrière d’effusion septuple de Christ Micaël
The Urantia Book Is Not What It Used To Be	Le Livre d'Urantia n'est plus ce qu'il était
Law is Life Itself	« La loi, c’est la vie elle-même… »
Moral Cosmic Citizenship	Citoyenneté cosmique morale
The Roots of Morality	Les racines de la moralité
Casting Pearls Before Personality	Couler des perles avant la personnalité
A Good Way For Us To Live Our Lives	Une bonne façon pour nous de vivre notre vie
Volume 10, Number 1, 2009 (Summer)	Volume 10, numéro 1, 2009 (été)
In Search of the Historical Onamonalonton	À la recherche de l’Onamonalonton historique
The Role of Emotions and Feelings on an Evolutionary World	Le rôle des émotions et des sentiments dans un monde évolutif
Joy in the Worm Bin	La joie dans la poubelle à vers
Ten Lessons from the Vineyard	Dix leçons de moins du vignoble
Solar System Discoveries that Corroborate The Urantia Book	Découvertes du système solaire qui corroborent le Livre d’Urantia
The Book - a Poem	Le livre - un poème
A Lesson from a Mouse	Une leçon d'une souris
The Third Cosmic Circle	Le troisième cercle cosmique
Becoming an Effective Missionary Evangel	Devenir un évangélique missionnaire efficace
The Limitless Spectrum of Education	Le spectre illimité de l’éducation
Urantia University - U2	Université Urantia - U2
Our Creative Deities—A Supreme Relationship	Nos divinités créatrices – Une relation suprême
Volume 11, Number 1, 2010 (Summer)	Volume 11, numéro 1, 2010 (été)
The World is Not Coming to an End	Le monde ne touche pas à sa fin
Religion of Experience vs. Religion of Authority	Religion de l’expérience versus religion de l’autorité
God Consciousness	Conscience divine
The Urantia Book, Human Concepts, and Revelatory Validation	Le Livre d'Urantia, les concepts humains et la validation révélatrice
Understanding the Relation of Love to the Mind	Comprendre la relation entre l'amour et l'esprit
Cosmic Socialization and Planetary Citizenship	Socialisation cosmique et citoyenneté planétaire
