Index of Innerface International articles	Index des articles d'Innerface International
Volume 1 — 1994	Volume 1 — 1994
Volume 1 - No. 1	Volume 1 - No. 1
A Time for Change?	L’heure du changement ?
Insights	Insights
Do You Want Your Children to Like You? Jesus Provided a Model	Voulez-vous que vos enfants vous aiment ? Jésus a fourni un modèle
Further Comments on Channeling	Autres commentaires sur la canalisation
I Want to be Aggressive	Je veux être agressif !
On the Urgent Need for Secondary Works	Sur l'urgence des travaux secondaires
Volume 1 - No. 2	Volume 1 - No. 2
Time for More Change? Symbols, Cults, and _The Urantia Book_	Il est temps de changer davantage ? Symboles, Cultes et Le Livre d'Urantia
The Alpha and the Omega	L'Alpha et l'Omega
Unbroken Communion with our Thought Adjuster	Communion ininterrompue avec notre Ajusteur de Pensée
Was the Crucifixion really Necessary?	La crucifixion était-elle vraiment nécessaire ?
Adam and Eve	Adam et Ève
The Remembrance Supper	Le souper du Souvenir
Harmony: The One Universal Code of Communication	Harmonie : le code universel unique de communication
Volume 1 - No. 3	Volume 1 - No. 3
The Prodigal Son	Le fils prodigue
When is a “Heart” not a “Heart?”	Quand un « Cœur » n'est-il pas un « Cœur ? »
The Missing Link	Le chaînon manquant ?
Heart—the Alpha and Omega of Spirituality	Cœur – l'Alpha et l'Oméga de la Spiritualité
The Heart that became Loveless	Le cœur devenu sans amour
Jealousy, the Heart-Poison! How did Jesus deal with it?	« La jalousie, le poison du cœur ! Comment Jésus a-t-il réagi ?
High on Angels	Haut sur les anges
The Second Great Commandment	Le deuxième grand commandement
Science and The Urantia Book. When Did the Red Man Arrive in the Americas?	La science et le Livre d'Urantia. Quand l'Homme Rouge est-il arrivé en Amérique ?
Primate Ancestry	Ascendance des primates
Volume 1 - No. 4	Volume 1 - No. 4
Nouveau-Assertiveness	Nouveau-Assertivité
Cognitive Dissonance. Can The Urantia Book help?	Dissonance cognitive. Le Livre d'Urantia peut-il aider ?
DEFRAG	DÉFRAG
