Index of Jan Herca's articles	Index des articles de Jan Herca
Articles about Jesus times	Articles sur le temps de Jésus
Generics	Généralités
The Jewish calendar on Jesus times	Le calendrier juif du temps de Jésus
Proposal for a Jewish calendar from the times of Jesus	Proposition d'un calendrier juif du temps de Jésus
Units of measurement in the time of Jesus	Unités de mesure au temps de Jésus
Geography	Géographie
Ancient writings of geography	Anciens écrits de géographie
Empires at the time of Jesus	Les empires au temps de Jésus
Greeks in Northern India?	Les Grecs en Inde du Nord ? 
Geography of Palestine in the time of Jesus	Géographie de la Palestine au temps de Jésus
Mount Hermon. But where was Jesus?	Mont Hermon. Mais où était Jésus ?
Capernaum	Capharnaüm
The “house of Simon Peter”, first domus-ecclesia?	La « maison de Simon Pierre », première domus-ecclesia ?
The lost city of Bethsaida	La cité perdue de Bethsaïda
Tarichea	Tariquea
Kheresa	Queresa
Pella	Pella
The cave of the forty days	La Grotte des Quarante Jours
What was Nazareth like in the time of Jesus?	À quoi ressemblait Nazareth au temps de Jésus ?
The house of Jesus in Nazareth	La maison de Jésus à Nazareth
Where was Cana of Galilee?	Où était Cana de Galilée ?
Safed	Safed
Gischala	Giscala
Bethabara	Bethabara
Jericho	Jéricho
Jerusalem in the time of Jesus	Jérusalem au temps de Jésus
Recreations of the Jerusalem of Jesus	Récréations de la Jérusalem de Jésus
Recreations of the Jerusalem of Jesus (II)	Recréations de la Jérusalem de Jésus (II)
Machaerus	Maqueronte
South of Samaria	Al sur de Samaria
Decapolis	La Decápolis
Politics	Politique
Pontius Pilate	Poncio Pilato
Herod Antipas	Herodes Antipas
The royal court	La corte real
Political administration of the Jewish territory	Administración política del territorio judío
Roman troops in the time of Jesus	Tropas romanas en tiempos de Jesús
Roman troops in Jewish territory	Las tropas romanas en territorio judío
Society	Société
The Jewish authorities at the time of Jesus	Les autorités juives au temps de Jésus
Social classes in the time of Jesus	Classes sociales au temps de Jésus
Religious and political groups in the time of Jesus	Les groupes religieux et politiques au temps de Jésus
Social situation of the Jewish woman in the times of Jesus	Situation sociale des femmes juives au temps de Jésus
Groups according to racial purity in the times of Jesus	Grupos según la pureza racial en tiempos de Jesús
The Great Jerusalem Sanhedrin and other Jewish courts	El gran Sanedrín de Jerusalén y otros tribunales judíos
The emoluments of the Hebrew priesthood	Los emolumentos del sacerdocio hebreo
Economy	Économie
The fishing sector in the Sea of ​​Galilee	El sector de la pesca en el mar de Galilea
Monetary system and cost of living in the time of Jesus	Sistema monetario y coste de la vida en tiempos de Jesús
Taxes in the time of Jesus	Los impuestos en tiempos de Jesús
Culture	Culture
Pacifism in the time of Jesus	Pacifismo en la época de Jesús
Hellenism versus Judaism	Helenismo versus Judaísmo
Medicine in ancient times	Medicina en la antigüedad
Leprosy in the time of Jesus	La lepra en tiempos de Jesús
Religion	Religion
The Jewish holidays	Las fiestas judías
Day of Atonement	La fête du pardon
Jewish Messianism	El mesianismo judío
The Jewish synagogue	La sinagoga judía
The Sabbath Worship	El culto del sábado
Jewish schools	Las escuelas judías
A typical Jewish wedding	Un mariage juif typique
Foreign religions in the time of Jesus	Las religiones extranjeras en tiempos de Jesús
Jesus	Jésus
Salvin. But what name is this?	Salvin. Pero, ¿qué nombre es éste?
Yeshua ben Yosef	Yeshua ben Yosef
Jesus family	La familia de Jesús
The brothers of Jesus	Los hermanos de Jesús
The Alpheus Twins	Los gemelos Alfeo
The “silenced” apostles: Abner and the early Eastern Christian Church	Los apóstoles «silenciados»: Abner y la primitiva Iglesia Cristiana de Oriente
The composition of the gospels according to The Urantia Book	La composición de los evangelios según El Libro de Urantia
Scientific research on the “historical Jesus”	La investigación científica sobre el «Jesús histórico»
Did Jesus really exist?	¿Existió Jesús realmente?
Jesus would say NO to the abortion law	Jesús diría NO a la ley del aborto
The cleansing of the temple	La limpieza del templo
The Last Supper	La última cena
Why did Jesus die on the cross?	¿Por qué murió Jesús en la cruz?
Did Jesus rise from the dead? Will we rise again?	¿Resucitó Jesús? ¿Resucitaremos nosotros?
The Shroud of Turin	La Sábana Santa de Turín
Chronology of the life of Jesus according to The Urantia Book	Cronología de la vida de Jesús según El Libro de Urantia
Other articles	Autres articles
The Urantia Book and the collapse of the capitalist era	El Libro de Urantia y el colapso de la era capitalista
