Index of “Urantia Association of Spain” articles	Index des articles de l'Association Urantia d'Espagne
First part	Première partie
Mr. Hubble and the Urantia Papers	M. Hubble et les Cahiers d'Urantia
A Letter to Astronomers and Astrophysicists	Lettre aux astronomes et aux astrophysiciens – 2016
Matter and Energy: Physics and The Urantia Book	Matière et énergie : la physique et le Livre d'Urantia
Appearance on the cosmic stage of matter and energy	Apparition sur la scène cosmique de la matière et de l'énergie
Summary on the Conjoint Actor	Résumé de l'Ensemble Actor
Is the superuniverse of Orvonton the Milky Way?	Le superunivers d'Orvonton : est-ce la Voie lactée ?
A Simplification of the Foreword to The Urantia Book	Une simplification de l'avant-propos du Livre d'Urantia
Architects of Master Universe	Les architectes du Maître Univers
History of Creation	Histoire de la création
Breve historia de la Creación	Une brève histoire de la création
A Look at the General Organization of the Master Universe	Coup d'œil sur l'organisation générale du Maître Univers
Is Orvonton The Milky Way?	Orvonton est-elle la Voie lactée ?
Cosmology of the universe of universes	Cosmologie de l'univers des univers
Transformative Techniques	Techniques de transformation
Superuniverse of Orvonton, Milky Way?	Le superunivers d'Orvonton : la Voie lactée ?
Astronomía urantiana, una visión personal	L'astronomie urantienne, une vision personnelle
Newton and his concept of space	Newton et sa conception de l'espace
The contraction of Space Time	La contraction de l'Espace Temps
Second part	Deuxième partie
History of Nebadon	Histoire de Nébadon
Neutrinos, Neutrons, and Neutron Stars	Neutrinos, neutrons et étoiles à neutrons
The Sun and its destiny	Le Soleil et son destin
The ascending career	La course vers le sommet
An approximation to the local universe of Nebadon	Une approche de l'univers local de Nébadon
A Day in the Life of a Mansion Worlds Student	Une journée dans la vie d'un étudiant du monde des manoirs
Chronology of the local universes	Une Étude du Maître Univers — Appendice IX. La chronologie des univers locaux
Our Creative Deities - A Supreme Relationship	Nos divinités créatrices – Une relation suprême
Gravity, Newton, Einstein and The Urantia Book	La gravité, Newton, Einstein et le Livre d'Urantia
Surfing The Sunbeams-Calcium, TheWanderer of Space	Surfer sur les rayons du soleil : Calcium, le vagabond de l'espace
Introduction to the second part	Introduction à la deuxième partie
Outline of the Seraphic Organization	Aperçu de l'organisation séraphique
Evolution on a normal planet	L'évolution sur une planète normale
Freedom	Liberté
The Strong Force in the Atomic Nucleus Prophesied in 1934	La force de gravité dans le noyau atomique prophétisée en 1934
From matter to Spirit via the mind	De la matière à l'Esprit en passant par le mental
Unprovability of the existence of God	L'impossibilité de prouver l'existence de Dieu
Material Time — Morontia Time — Spiritual Time	Le temps matériel — le temps morontiel — le temps spirituel
Third part	Troisième partie
Family life on the neighboring planet	La vie de famille sur la planète voisine
Urartu the lost kingdom of Van	Urartu, le royaume perdu de Van
The new religion	La nouvelle religion
History of Urantia	Histoire d'Urantia
Horsing Around	Domestication du cheval
Gobekli Tepe	Göbekli Tepe
Early migration to Britain	Les premières migrations vers la Grande-Bretagne
Pangaea to Plate Tectonics	De la Pangée à la tectonique des plaques
Adam and Eve	Rapport sur Adam et Eve
Garden of Eden	Rapport sur le jardin d'Eden
Creating fire	Créer un feu
The Jupiter problem	Le problème de Jupiter
Worlds of Monmatia	Les corps spatiaux de Monmatia
Urantian Reflections on Human Institutions	Réflexions urantiennes sur les institutions humaines
What to do with human evolution?	Que faire de l’évolution humaine ?
Charla sobre adoración y meditación	Conférence sur le culte et la méditation
The government of a neighboring planet: the possible utopia	Le gouvernement d'une planète voisine : l'utopie possible
The Supreme Being and previous concepts	L'Être suprême et les concepts antérieurs
One man's journey through evolutionary adventure	Le voyage d'un homme à travers l'aventure évolutive
Comments on the paper “One man's journey through evolutionary adventure”	Commentaires sur l'ouvrage « One Man's Walk Through the Evolutionary Debate »
Urantian Migrations	Migrations urantiennes
Where are the Daughters of God?	Où sont les Filles de Dieu ?
The Thought Adjuster and the experience	L'Ajusteur et l'expérience
Ethical Eugenics	Eugénisme éthique : une modeste proposition pour le 21e siècle
The Supreme Being	L'Être suprême
About paper 105	À propos du fascicule 105
Marriage and family life	Mariage et vie de famille
Introduction to the third part	Introduction à la troisième partie du Livre d'Urantia
In communication with our Thought Adjuster	En communication avec notre Ajusteur de Pensée
Meditate, pray and worship	Méditez, priez et adorez
The Dual Nature of Supremacy	La double nature de la suprématie
The origin of writing	L'origine de l'écriture
The “isms” and The Urantia Book	Les « ismes » et le Livre d'Urantia
Evolution or creation?	Évolution ou création ?
What Really Survives?	Qu'est-ce qui survit vraiment ?
Fourth part	Quart partie
Raising children in the family: the example of Jesus	L'éducation des enfants dans la famille : l'exemple de Jésus
Invitation to read at Christmas	Invitation à lire en Noël
After the Last Supper: The Farewell Discourse	Après la Cène : le discours d'adieu
The world of the cross	Le monde de la croix
The figure of Jesus of Nazareth	La figure de Jésus de Nazareth
To the educators and believers of the fifth revelation	Aux éducateurs et aux croyants de la cinquième révélation
Los otorgamientos de Cristo Miguel	Les dons du Christ Michel
Los doce apóstoles	Les douze apôtres
Reflections on the parable of the mustard seed	Réflexions sur la parabole du grain de moutarde
Jesus and the women	Jésus et les femmes
The scribe of Damascus	L'écrit de Damasco
The Kingdom of Heaven in the 21st Century	Le Royaume des Cieux au XXIe siècle
Chronology of Jesus' life according to The Urantia Book	Chronologie de la vie de Jésus selon Le Livre d'Urantia
The life and teachings of Jesus	La vie et les enseignements de Jésus
Images about Jesus	Images et peintures de Jésus
There was only one winner	Il n'y avait qu'un seul gagnant
Easter week	La Semaine Sainte ??? – et d’autres comme elle
Believe	Croire
