Index of The Urantian articles	Index des articles sur « The Urantian »
Volume 1, 1976	Volume 1, 1976
March 1976 issue	Numéro de mars 1976
March 1976 issue	« The Urantian » — Numéro inaugural — Numéro de mars 1976
A Brotherhood — Not A Church Or A Sect	Une confrérie – pas une église ni une secte
Focus On The Individual	Concentrez-vous sur l'individu
The Omega Perspective	La perspective Oméga
FUSLA Study Group Guidelines	Lignes directrices du groupe d'étude FUSLA
June 1976 Issue	Numéro d'été 1976
June 1976 Issue	« The Urantian » — Numéro d'été 1976
A Philosophy Of Brotherhood	Une philosophie de fraternité
Some Principles Of Growth	Quelques principes de croissance
Education And Love	Éducation et amour
Guidance Of The Most Highs	La guidance des Très-Hauts
Man Does Not Live By Bread Alone	L’homme ne vit pas seulement de pain
September 1976 Issue	Numéro d'automne 1976
September 1976 Issue	« The Urantian » — Numéro d'automne 1976
Some Thoughts On Service	Quelques réflexions sur le service
One To One	Un par un
Service — A Personal View	Service — Une vision personnelle
The Rubbing Pebbles	Les cailloux frottants
Study Groups — A Sampling	Groupes d'étude - Un échantillonnage
The Atlanta Approach	L'approche d'Atlanta
December 1976 Issue	Numéro d'hiver 1976
December 1976 Issue	« The Urantian » — Numéro d'hiver 1976
An Inner Radiance	Un rayonnement intérieur
Come With Me And See	Viens avec moi et vois
Living In Reality	Vivre dans la réalité
The Brotherhood School	L'école de la Fraternité
Volume 2, 1977	Volume 2, 1977
April 1977 Issue	Numéro du printemps 1977
April 1977 Issue	« The Urantian » — Numéro du printemps 1977
Patterns Of Predictability	Modèles de prévisibilité
Pattern Personalities	Personnalités modèles
Family Patterns	Modèles familiaux
Patterns Of Revelation	Modèles de révélation
The New Cult — Pattern and Symbol	Le nouveau culte – modèle et symbole
Pattern And Perfection	Modèle et perfection
Patterns Great And Small	Modèles grands et petits
July 1977 Issue	Numéro d'été 1977
July 1977 Issue	« The Urantian » — Numéro d'été 1977
The Art Of Relaxation	L'art de la détente
Priorities And Perspectives	Priorités et perspectives
The Art Of Living	L'art de vivre
Religious Habits — Luxury or Necessity?	Habitudes religieuses : luxe ou nécessité ?
Living Within The Church	Vivre au sein de l'Église
The Art Of Growing Spiritually	L'art de grandir spirituellement
September 1977 Issue	Numéro d'automne 1977
September 1977 Issue	« The Urantian » — Numéro d'automne 1977
In Cosmic Harmony	En harmonie cosmique
Children — Prayer And Worship	Enfants – Prière et culte
A Spiritual Tonic	Un tonique spirituel
Talking With A Friend	Parler avec un ami
A Keg Of Nails	Un tonneau de clous
December 1977 Issue	Numéro d'hiver 1977
December 1977 Issue	« The Urantian » — Numéro d'hiver 1977
Christmas And The Supreme	Noël et le suprême
Revelation: Divine Plan	Révélation : Plan Divin
Love — Human And Divine	Amour – humain et divin
Fear And Growth	Peur et croissance
The Unquestioned Answer	La réponse incontestée
Volume 3, 1978	Volume 3, 1978
April 1978 Issue	Numéro du printemps 1978
April 1978 Issue	« The Urantian » — Numéro du printemps 1978
Urantia — Model World For The Supreme?	Urantia — Un monde modèle pour le Suprême ?
Vibrations And Interactions	Vibrations et interactions
The Necessity Of Action	La nécessité d'agir
The Power Of The Supreme	Le pouvoir du Suprême
Supreme Service	Service suprême
