Index of UB Annotaded & UBTheNews studies	Index des études UB Annotated et UBTheNews
General	Générale
Food For Thought	Matière à réflexion
Revelatory Permissions and Limitations	Autorisations et limitations révélatrices
Reader Captivation Phrases	Phrases pour captiver le lecteur
beyond human (comprehension, imagination, understanding, etc.)	au-delà de l’humain (compréhension, imagination, entendement, etc.)
Undiscovered	Non découvert
Is The Urantia Book “gay friendly?”	Le Livre d’Urantia est-il « gay friendly » ?
In the Name of the Father	Au nom du Père
Gender Studies	Études de genre
Cocreat- Procreat- Coparental (Co)partnership with God	Cocréation-Procréation-Coparentalité (Co)partenariat avec Dieu
What does The Urantia Book say about its creation and the time period?	Que dit Le Livre d’Urantia à propos de sa création et de la période ?
History of The Urantia Book	Histoire du Livre d'Urantia
A New Heaven And A New Earth	Un nouveau ciel et une nouvelle terre
Prophecy and “signs of the times”	Prophétie et « signes des temps »
Lord of the Sabbath	Seigneur du sabbat
Eclipses Trump Prophecy Scholars	Les éclipses de la prophétie de Trump selon les spécialistes
A Global Catastrophic Crisis Event	Un événement de crise catastrophique à l'échelle mondiale
Crises Emergencies Exigencies	Crises Urgences Exigences
Mysticism and Entheogens	Mysticisme et enthéogènes
Most Highs rule	Le règne des Très Hauts
Prophetic Prophec- Prophes-	Prophétesse prophétique- Prophétise-
Prophesy and Prophesied	Prophétiser et prophétiser
Prophetic	Prophétique
Seers	Voyant(s)
herald, heralds, heralded	héraut, hérauts, annoncé
Saints, Prophets, Seers, and Heralds: Who is who, what is what, when, and why?	Saints, prophètes, voyants et hérauts : qui est qui, qu’est-ce qui est quoi, quand et pourquoi ?
Angel of the Lord	Ange du Seigneur
Etymology of Coined Terminology	Étymologie de la terminologie inventée
Anthropology/Archaeology	Anthropologie/Archéologie
Adam and Eve	Rapport sur Adam et Eve
Creating Fire	Créer un feu
Early Migration to Britain	Les premières migrations vers la Grande-Bretagne
Early Migration to China	Les premières migrations vers la Chine
Early Migration to the Americas	Les premières migrations vers les Amériques
Gobekli Tepe	Göbekli Tepe
Horsing Around	Domestication du cheval
Ancient Chinese Pottery	Page de recherche sur la poterie chinoise ancienne
Animal Domestication	Rapport sur la domestication des animaux (informations préliminaires)
Dog Domestication	Domestication du chien
Astronomy	Astronomie
Tycho’s Nova	Rapport Nova de Tycho
Mercury’s Rotation	Rapport sur la rotation de Mercure
Galaxies	Rapport sur les galaxies
Astronomy	Astronomie
Milky Way Galaxy	La Voie Lactée
Far-distant, Far Out, Far Beyond	Lointain, très loin, bien au-delà
Biology and Genetics	Biologie et génétique
Genetic Introductions, Mutations, and Evolution: a Urantia Book perspective	Introductions génétiques, mutations et évolution : une perspective du Livre d'Urantia
Chromosome Count	Nombre de chromosomes
Magnetic Sensitivity	Rapport sur la sensibilité magnétique
Geology/Geophysics	Géologie/Géophysique
Garden of Eden	Rapport sur le jardin d'Eden
Sierra Mountains	Rapport sur les montagnes de la Sierra
Pangaea to Plate Tectonics	De la Pangée à la tectonique des plaques
Physics	Physique
Inner Ionosphere	Rapport sur l'Ionosphère intérieure
Biblical Connections	Liens bibliques
Melchizedek & the Dead Sea Scrolls	Rapport sur Melchisédek et les Manuscrits de la Mer Morte
Machiventa etymology	Étymologie de Machiventa
The Jewish Messiah Is Melchizedek!?!	Le Messie juif est Melchisédek!?!
Eclipses Over Salem and Nineveh	Éclipses sur Salem et Ninive
Moses Killed Rameses III	Moïse a tué Ramsès III
Jesus’ Nazareth Home report	Rapport sur la maison de Jésus à Nazareth
Shroud of Turin	Rapport sur le Suaire de Turin
Left is Right (Addition to Shroud of Turin Report)	La gauche est à droite (ajout au rapport sur le Suaire de Turin)
