Index of Urantia Foundation's “NEWSFLASH!” articles	Index du « NEWSFLASH ! » de la Fondation Urantia des articles
1998	1998
Issue 1 — April 1998	Numéro 1 — avril 1998
NEWSFLASH! — Issue 1 — April 1998	NEWSFLASH ! — Numéro 1 — avril 1998
Issue 2 — May 1998	Numéro 2 — mai 1998
NEWSFLASH! — Issue 2 — May 1998	NEWSFLASH ! — Numéro 2 — mai 1998
Issue 3 — June 1998	Numéro 3 — juin 1998
NEWSFLASH! — Issue 3 — June 1998	NEWSFLASH ! — Numéro 3 — juin 1998
Issue 4 — July 1998	Numéro 4 — juillet 1998
NEWSFLASH! — Issue 4 — July 1998	NEWSFLASH ! — Numéro 4 — juillet 1998
Issue 5 — August 1998	Numéro 5 — août 1998
NEWSFLASH! — Issue 5 — August 1998	NEWSFLASH ! — Numéro 5 — août 1998
Issue 6 — October 1998	Numéro 6 — Octobre 1998
NEWSFLASH! — Issue 6 — October 1998	NEWSFLASH ! — Numéro 6 — Octobre/Novembre 1998
1999	1999
Issue 7 — January 1999	Numéro 7 — janvier 1999
NEWSFLASH! — Issue 7 — January 1999	NEWSFLASH ! — Numéro 7 — janvier 1999
Issue 8 — March 1999	Numéro 8 — mars 1999
NEWSFLASH! — Issue 8 — March 1999	NEWSFLASH ! — Numéro 8 — mars 1999
Issue 9 — June 1999	Numéro 9 — juin 1999
NEWSFLASH! — Issue 9 — June 1999	NEWSFLASH ! — Numéro 9 — juin 1999
Issue 10 — August 1999	Numéro 10 — août 1999
NEWSFLASH! — Issue 10 — August 1999	NEWSFLASH ! — Numéro 10 — août 1999
2000	2000
Issue 11 — February 2000	Numéro 11 — février 2000
NEWSFLASH! — Issue 11 — February 2000	NEWSFLASH ! — Numéro 11 — février 2000
Issue 11 — July 2000	Numéro 11 — juillet 2000
NEWSFLASH! — Issue 11 — July 2000	NEWSFLASH ! — Numéro 11 — juillet 2000
Issue 12 — September 2000	Numéro 12 — septembre 2000
NEWSFLASH! — Issue 12 — September 2000	NEWSFLASH ! — Numéro 12 — septembre 2000
2001	2001
Issue 13 — January 2001	Numéro 13 — janvier 2001
NEWSFLASH! — Issue 13 — January 2001	NEWSFLASH ! — Numéro 13 — janvier 2001
Issue 15 — March 2001	Numéro 15 — mars 2001
NEWSFLASH! — Issue 15 — March 2001	NEWSFLASH ! — Numéro 15 — mars 2001
Issue 16 — July 2001	Numéro 16 — juillet 2001
NEWSFLASH! — Issue 16 — July 2001	NEWSFLASH ! — Numéro 16 — juillet 2001
Issue 17 — September 2001	Numéro 17 — septembre 2001
NEWSFLASH! — Issue 17 — September 2001	NEWSFLASH ! — Numéro 17 — septembre 2001
Issue 18 — November 2001	Numéro 18 — novembre 2001
NEWSFLASH! — Issue 18 — November 2001	NEWSFLASH ! — Numéro 18 — novembre 2001
2002	2002
Issue 19 — January 2002	Numéro 19 — janvier 2002
NEWSFLASH! — Issue 19 — January 2002	NEWSFLASH ! — Numéro 19 — janvier 2002
Issue 20 — May 2002	Numéro 20 — mai 2002
NEWSFLASH! — Issue 20 — May 2002	NEWSFLASH ! — Numéro 20 — mai 2002
Issue 21 — July 2002	Numéro 21 — juillet 2002
NEWSFLASH! — Issue 21 — July 2002	NEWSFLASH ! — Numéro 21 — juillet 2002
Issue 23 — November 2002	Numéro 23 — novembre 2002
NEWSFLASH! — Issue 23 — November 2002	NEWSFLASH ! — Numéro 23 — novembre 2002
2003	2003
Issue 24 — September 2003	Numéro 24 — septembre 2003
NEWSFLASH! — Issue 24 — September 2003	NEWSFLASH ! — Numéro 24 — septembre 2003
2004	2004
Issue 25 — March 2004	Numéro 25 — mars 2004
NEWSFLASH! — Issue 25 — March 2004	NEWSFLASH ! — Numéro 25 — mars 2004
