Index of Urantia Foundation's “Urantian” articles	Index des articles « Urantian » de la Fondation Urantia
1973	1973
Issue 1, December 1973	Numéro 1, décembre 1973
Urantian — News from Urantia Foundation — December 1973	Urantian — Nouvelles de la Fondation Urantia — décembre 1973
1974	1974
Issue 1, July 1974	Numéro 1, juillet 1974
Urantian — News from Urantia Foundation — July 1974	Urantian — Nouvelles de la Fondation Urantia — juillet 1974
Issue 2, December 1974	Numéro 2, décembre 1974
Urantian — News from Urantia Foundation — December 1974	Urantian — Nouvelles de la Fondation Urantia — décembre 1974
1975	1975
Issue 1, July 1975	Numéro 1, juillet 1975
Urantian — News from Urantia Foundation — July 1975	Urantian — Nouvelles de la Fondation Urantia — juillet 1975
Issue 2, December 1975	Numéro 2, décembre 1975
Urantian — News from Urantia Foundation — December 1975	Urantian — Nouvelles de la Fondation Urantia — décembre 1975
1976	1976
Issue 1, July 1976	Numéro 1, juillet 1976
Urantian — News from Urantia Foundation — July 1976	Urantian — Nouvelles de la Fondation Urantia — juillet 1976
Issue 2, December 1976	Numéro 2, décembre 1976
Urantian — News from Urantia Foundation — December 1976	Urantian — Nouvelles de la Fondation Urantia — décembre 1976
1977	1977
Issue 1, July 1977	Numéro 1, juillet 1977
Urantian — News from Urantia Foundation — July 1977	Urantian — Nouvelles de la Fondation Urantia — juillet 1977
Issue 2, December 1977	Numéro 2, décembre 1977
Urantian — News from Urantia Foundation — December 1977	Urantian — Nouvelles de la Fondation Urantia — décembre 1977
1978	1978
Issue 1, July 1978	Numéro 1, juillet 1978
Urantian — News from Urantia Foundation — July 1978	Urantian — Nouvelles de la Fondation Urantia — juillet 1978
Issue 2, December 1978	Numéro 2, décembre 1978
Urantian — News from Urantia Foundation — December 1978	Urantian — Nouvelles de la Fondation Urantia — décembre 1978
1979	1979
Issue 1, July 1979	Numéro 1, juillet 1979
Urantian — News from Urantia Foundation — July 1979	Urantian — Nouvelles de la Fondation Urantia — juillet 1979
Issue 2, December 1979	Numéro 2, décembre 1979
Urantian — News from Urantia Foundation — December 1979	Urantian — Nouvelles de la Fondation Urantia — décembre 1979
1980	1980
Issue 1, July 1980	Numéro 1, juillet 1980
Urantian — News from Urantia Foundation — July 1980	Urantian — Nouvelles de la Fondation Urantia — juillet 1980
Issue 2, December 1980	Numéro 2, décembre 1980
Urantian — News from Urantia Foundation — December 1980	Urantian — Nouvelles de la Fondation Urantia — décembre 1980
1981	1981
Issue 1, July 1981	Numéro 1, juillet 1981
Urantian — News from Urantia Foundation — July 1981	Urantian — Nouvelles de la Fondation Urantia — juillet 1981
Issue 2, December 1981	Numéro 2, décembre 1981
Urantian — News from Urantia Foundation — December 1981	Urantian — Nouvelles de la Fondation Urantia — décembre 1981
1982	1982
Issue 1, June 1982	Numéro 1, juin 1982
Urantian — News from Urantia Foundation — June 1982	Urantian — Nouvelles de la Fondation Urantia — juin 1982
Issue 2, December 1982	Numéro 2, décembre 1982
Urantian — News from Urantia Foundation — December 1982	Urantian — Nouvelles de la Fondation Urantia — décembre 1982
1983	1983
Issue 1, July 1983	Numéro 1, juillet 1983
Urantian — News from Urantia Foundation — July 1983	Urantian — Nouvelles de la Fondation Urantia — juillet 1983
Issue 2, December 1983	Numéro 2, décembre 1983
Urantian — News from Urantia Foundation — December 1983	Urantian — Nouvelles de la Fondation Urantia — décembre 1983
Vern Grimsley Annoucement	Urantian — Nouvelles de la Fondation Urantia — décembre 1983
1984	1984
Issue 1, July 1984	Numéro 1, juillet 1984
Urantian — News from Urantia Foundation — July 1984	Urantian — Nouvelles de la Fondation Urantia — juillet 1984
Issue 2, December 1984	Numéro 2, décembre 1984
Urantian — News from Urantia Foundation — December 1984	Urantian — Nouvelles de la Fondation Urantia — décembre 1984
1985	1985
Issue 1, July 1985	Numéro 1, juillet 1985
Urantian — News from Urantia Foundation — July 1985	Urantian — Nouvelles de la Fondation Urantia — juillet 1985
Issue 2, December 1985	Numéro 2, décembre 1985
Urantian — News from Urantia Foundation — December 1985	Urantian — Nouvelles de la Fondation Urantia — décembre 1985
1986	1986
Issue 1, July 1986	Numéro 1, juillet 1986
Urantian — News from Urantia Foundation — July 1986	Urantian — Nouvelles de la Fondation Urantia — juillet 1986
Issue 2, December 1986	Numéro 2, décembre 1986
Urantian — News from Urantia Foundation — December 1986	Urantian — Nouvelles de la Fondation Urantia — décembre 1986
1987	1987
Issue 1, July 1987	Numéro 1, juillet 1987
Urantian — News from Urantia Foundation — July 1987	Urantian — Nouvelles de la Fondation Urantia — juillet 1987
Issue 2, December 1987	Numéro 2, décembre 1987
Urantian — News from Urantia Foundation — December 1987	Urantian — Nouvelles de la Fondation Urantia — décembre 1987
1988	1988
Issue 1, July 1988	Numéro 1, juillet 1988
Urantian — News from Urantia Foundation — July 1988	Urantian — Nouvelles de la Fondation Urantia — juillet 1988
Issue 2, December 1988	Numéro 2, décembre 1988
Urantian — News from Urantia Foundation — December 1988	Urantian — Nouvelles de la Fondation Urantia — décembre 1988
1990	1990
Issue 1, October 1990	Numéro 1, octobre 1990
URANTIA Brotherhood Association	Association de la Fraternité URANTIA
Volume 10, 1991	Volume 10, 1991
Volume 10, Issue 1, November 1991	Numéro 1, novembre 1991
Urantian — News from Urantia Foundation — November 1991	Urantian — Nouvelles de la Fondation Urantia — novembre 1991
Volume 11, 1992	Volume 11, 1992
Volume 11, Issue 1, September 1992	Numéro 1, septembre 1992
Urantian — News from Urantia Foundation — September 1992	Urantian — Nouvelles de la Fondation Urantia — septembre 1992
Volume 11, Issue 2, November 1992	Numéro 2, novembre 1992
Urantian — News from Urantia Foundation — November 1992	Urantian — Nouvelles de la Fondation Urantia — novembre 1992
