Index of Study Aids	Index des aides à l'étude
The Urantia Book Workbooks and other works by William S. Sadler, MD	Les Cahiers d'exercices du Livre d'Urantia et autres ouvrages de William S. Sadler, MD
Foreword and Part I — Volume I	Avant-propos et Partie I — Volume I
Science — Volume II	Sciences — Volume II
Topical and Doctrinal Studies — Volume III	Études thématiques et doctrinales — Volume III
Jesus — Volume IV	Jésus — Volume IV
Theology — Volume V	Théologie — Volume V
Bible Study — Volume VI	L'étude de la Bible — Volume VI
Terminology — Volume VII	Terminologie — Volume VII
Worship and Wisdom — Volume VIII	Adoration et Sagesse — Volume VIII
Consideration of Some Criticisms of The Urantia Book	Examen de quelques critiques du Livre d'Urantia
A History of the Urantia Movement	L'Histoire du Mouvement Urantia
Works by William S. Sadler, Jr.	Œuvres de William S. Sadler, Jr.
A Study of the Master Universe	Une Étude du Maître Univers
Appendices to A Study of the Master Universe	Appendices à Une Étude du Maître Univers
Bill Sadler Talks	Les discussions de Bill Sadler
Concerning Human Survival	Concernant la survie humaine
General Organization of The Urantia Book	Organisation générale du Livre d'Urantia
A Simplification of the Foreword to The Urantia Book	Une simplification de l'avant-propos du Livre d'Urantia
Other Studies	Autre
FAQ - Frequently asked questions about The Urantia Book	FAQ — Questions fréquemment posées à propos du Livre d’Urantia
Guide to Pronunciation of Names and Words in The Urantia Book	Guide de prononciation des noms et des mots dans le Livre d'Urantia
How The Urantia Papers came to be — according to The Revelators	Comment les Urantia Papers ont vu le jour - selon The Revelators
An Artist's Conception of the Master Universe	Une conception d'artiste du maitre univers
A Strategy and Practice for In-depth Study Groups of The Urantia Book	Étude approfondie du Livre D’Urantia en groupe d’étude
The Value of Study Groups	La Valeur des Groupes d’Étude
The Unceasing Campaign of the Master Seraphim	La campagne incessante du maître séraphin
How to Host a Virtual Study Group Using Skype	Comment organiser un groupe d’étude virtuel avec Skype
