#https://urantia-book.org/urantiabook/bible_refs/2Chronicles_1.html

Book	Ch:Vs	1st Ed Page:Line	Paper:Sec:Ppgh	Key Words	Class
2 Chronicles	19:7	1536:37	137:8.11/1-3	Neither Jew nor gentile	C
2 Chronicles	19:7	1568:30-31	140:1.2/6-7	Not the God of Jew or Gentile	S
2 Chronicles	19:7	1731:6-7	155:6.2/16-17	God is no respecter of races	C
2 Chronicles	33:6	947:26-28	85:4.4/7-11	Fire reverence+	C
2 Chronicles	19:7	1536:10	137:8.6/5-6	No respecter of persons	C
2 Chronicles	2:12	0004:12-13	0:2.9/all	God as Creator of heaven, earth+	C
2 Chronicles	19:7	2034:1-2	190:4.1/12-14	Neither Jew nor Gentile	S
2 Chronicles	19:7	1736:10-12	156:2.4/9-12	No favoritism by God	C
2 Chronicles	5:13	75:30-31	6:3.2/1-3	Mercy ministry+	C
2 Chronicles	6:18	553:26	48:6.12/12	Heaven, heaven of heavens	R
2 Chronicles	7:3,6	1454:29	131:10.6/5	The Mercy+	C
2 Chronicles	30:9	1598:40	142:3.7/4-5	All-merciful+	C
2 Chronicles	7:3,6	39:40	2:5.7/11	God is merciful+	C
2 Chronicles	5:13	39:40	2:5.7/11	God is merciful+	C
2 Chronicles	2:12	1598:38	142:3.7/3	Universal Creator+	C
2 Chronicles	7:3,6	1598:40	142:3.7/4-5	All-merciful+	C
2 Chronicles	20:6	879:34	79:1.9/7-8	One God in heaven+	C
2 Chronicles	32:8	784:35	70:1.15/4	God of battles+	R
2 Chronicles	19:7	1541:38-41	138:4.2/13-18	Equality for all who seek God	C
2 Chronicles	5:13	1598:40	142:3.7/4-5	All-merciful+	C
2 Chronicles	19:7	2033:14-15	190:3.1/22-25	In kingdom, no differences	C
2 Chronicles	34:13-19	838:16-18	74:8.11/1-6	"Finding" the Law	C
2 Chronicles	36:23	879:34	79:1.9/7-8	One God in heaven+	C
2 Chronicles	33:19	946:2-3	85:2.4/11-13	Holy groves+	C
2 Chronicles	19:7	1564:16-17	139:10.9/7-8	Jesus is no respecter of persons	C
2 Chronicles	7:1-3	947:16	85:4.2/18	Angels of fire	C
2 Chronicles	20:15	784:35	70:1.15/4	God of battles+	R
2 Chronicles	30:9	1454:29	131:10.6/5	The Mercy+	C
2 Chronicles	2:6	1953:29	181:1.2/5	Heaven of heavens	C
2 Chronicles	19:7	36:43-44	2:3.1/8-10	No iniquity in the Lord	R
2 Chronicles	19:7	36:43-44	2:3.1/9-10	God is no respecter of persons	R
2 Chronicles	5:13	38:11-12	2:4.1/11	His mercy endures forever+	R
2 Chronicles	7:3,6	38:11-12	2:4.1/11	His mercy endures forever+	R
2 Chronicles	6:38-39	1770:47-48	159:5.13/1-3	Repent for forgiveness (OT)+	C
2 Chronicles	2:12	74:11-12	6:1.3/8-10	God made everything+	C
