#https://urantia-book.org/urantiabook/bible_refs/Acts_1.html

Book	Ch:Vs	1st Ed Page:Line	Paper:Sec:Ppgh	Key Words	Class
Acts of the Apostles	1:1	1594:23-24	141:7.10/1-4	Teacher from heaven	C
Acts of the Apostles	1:4	2057:21-22	193:5.2/1-2	Tarry in Jerusalem	S
Acts of the Apostles	1:4	2053:17-18	193:0.5/23-24	Tarry in Jerusalem	S
Acts of the Apostles	1:4,6	2055:6-7	193:3.1/3-6	Jesus' final appearance	S
Acts of the Apostles	1:5	2043:15	191:5.3/23	Baptized with Spirit of Truth	S
Acts of the Apostles	1:5	1593:13	141:6.5/8-9	Baptism with the spirit+	C
Acts of the Apostles	1:5	947:1-2	85:4.1/5-7	Baptism+	C
Acts of the Apostles	1:5	1536:34-36	137:8.10/all	John's baptism sign of repentance	S
Acts of the Apostles	1:5	964:37	87:6.5/10-11	Water baptism	C
Acts of the Apostles	1:5,8a	2035:38-39	190:5.4/55-56	Pour out spirit on all flesh+	C
Acts of the Apostles	1:5,8a	1951:44-46	180:6.3/all	Spirit of Truth+	C
Acts of the Apostles	1:5,8a	382:11	34:7.1/8-9	Spirit of Truth+	C
Acts of the Apostles	1:5,8a	224:21	20:1.6/5	Son poured out spirit on flesh+	C
Acts of the Apostles	1:5,8a	230:7-8	20:6.8/12-15	Spirit of truth+	C
Acts of the Apostles	1:5,8a	1958:6-8	181:2.14/7-10	Follow new teacher in hearts+	C
Acts of the Apostles	1:5,8a	1340:25-26	121:7.5/7-8	New spirit, live in men's hearts+	C
Acts of the Apostles	1:5,8a	379:36	34:5.5/1-2	Spirit of Truth+	C
Acts of the Apostles	1:5,8a	1961:24-28	181:2.24/9-15	Spirit of Truth will be with you+	C
Acts of the Apostles	1:5,8a	241:40-42	21:5.7/5-8	Spirit of Truth+	C
Acts of the Apostles	1:5,8a	2057:23-24	193:5.2/5-6	Send Spirit of Truth+	S
Acts of the Apostles	1:5,8a	377:31-32	34:4.1/3-4	Spirit of Truth+	C
Acts of the Apostles	1:5,8a	1954:2	181:1.4/3	Pour out my spirit on all flesh+	C
Acts of the Apostles	1:5,8a	1918:45-46	176:4.3/5-6	Another teacher, Spirit of Truth+	S
Acts of the Apostles	1:5,8a	1130:31-35	103:1.6/3-12	Spirit in man (Spirit of Truth)+	C
Acts of the Apostles	1:5,8a	2044:34-35	191:6.3/7-8	Spirit of Truth+	C
Acts of the Apostles	1:5,8a	365:32-33	32:5.8/8-10	Spirit of Truth+	C
Acts of the Apostles	1:5,8a	1591:15-16	141:4.5/14-15	Jesus to pour out His spirit+	C
Acts of the Apostles	1:5,8a	1949:3-5	180:4.5/5-9	I will send "my spirit"+	C
Acts of the Apostles	1:5,8a	1328:5	120:2.4/9	Spirit of Truth+	C
Acts of the Apostles	1:5,8a	1328:22-23	120:2.6/16-17	Spirit of Truth+	C
Acts of the Apostles	1:5,8a	1536:12-14	137:8.7/2-5	Spirit of Truth+	C
Acts of the Apostles	1:5,8a	1947:14-17	180:3.3/all	Promise of comforter+	C
Acts of the Apostles	1:5,8a	1642:18	146:3.6/15-17	Spirit of Truth+	C
Acts of the Apostles	1:5,8a	2061:43-46	194:2.10/all	Baptism of the spirit+	C
Acts of the Apostles	1:5,8a	2062:39	194:3.1/17-19	Spirit of Truth in heart shows Son+	C
Acts of the Apostles	1:5,8a	2063:34-40	194:3.6/1-12	Spirit of Truth bestowed on all+	C
Acts of the Apostles	1:6	1502:2	135:6.2/11-12	Restoration of the kingdom	R
Acts of the Apostles	1:6-8	2055:9-17	193:3.2/1-16	Mistaken idea of Spirit of Truth	S
Acts of the Apostles	1:7-8	1591:16-17	141:4.5/15-17	Kingdom comes in power & glory	C
Acts of the Apostles	1:7-8	1569:13-15	140:1.5/6-8	No unseemly demonstration	C
Acts of the Apostles	1:8	1961:48-49	181:2.26/26-27	Uttermost parts of earth	S
Acts of the Apostles	1:8	1187:18-20	108:2.3/15-18	Adjusters after Pentecost	C
Acts of the Apostles	1:8a	596:31-32	52:5.6/11-12	Spirit poured out on all flesh+	R
Acts of the Apostles	1:8b	2053:38-40	193:1.2/9-12	Teach God's love to world	C
Acts of the Apostles	1:8b	2043:4-5	191:5.3/3-4	Great Commission	C
Acts of the Apostles	1:8b	1957:35-36	181:2.12/14-16	Proclaim gospel to world	S
Acts of the Apostles	1:8b	2044:35	191:6.3/8-10	Great Commission	C
Acts of the Apostles	1:8b	2042:8-9	191:4.4/1-3	Great commission	C
Acts of the Apostles	1:8b	2057:25-26	193:5.2/7-10	Proclaim new gospel+	S
Acts of the Apostles	1:8b	1931:41-42	178:1.14/10-12	Great Commission	C
Acts of the Apostles	1:8b	1824:43-44	165:6.3/28-30	Great Commission	C
Acts of the Apostles	1:8b	2052:39-40	193:0.4/10-11	Go preach love of God	C
Acts of the Apostles	1:8b	2053:14-16	193:0.5/17-19	Preach gospel to all the world	C
Acts of the Apostles	1:8b	2054:41-42	193:2.2/46-47	Great Commission	C
Acts of the Apostles	1:8b	1051:8	95:7.3/13-14	Great commission	R
Acts of the Apostles	1:8b	2054:5-6	193:1.2/33-35	Tell good news to world	C
Acts of the Apostles	1:8b	1584:4	140:9.2/6-8	Charge: go preach to the world	S
Acts of the Apostles	1:8b	1914:30-31	176:2.3/9-10	Gospel to go to all the world	C
Acts of the Apostles	1:8b	1608:22-24	143:1.5/11-15	Go preach gospel to everyone	C
Acts of the Apostles	1:8b	2033:17	190:3.1/28-29	Great commission	S
Acts of the Apostles	1:8b	2034:2-3	190:4.1/14-16	Great commission	S
Acts of the Apostles	1:9	2057:31-34	193:5.3/all	The ascension	S
Acts of the Apostles	1:12-14	2057:44-53	193:6.1/all	The first meeting of Apostles	S
Acts of the Apostles	1:13	1559:13	139:6.9/1	Nathaniel Bartholomew	C
Acts of the Apostles	1:13	1539:34-36	138:2.2/1-5	Bible names for the Apostles	S
Acts of the Apostles	1:13	1561:2	139:8.1/1-2	Thomas Didymus	C
Acts of the Apostles	1:13	1564:34	139:11.1/1	Simon Zelotes added	C
Acts of the Apostles	1:13	1563:15	139:10.1/1-2	Alpheus twins: James & Judas	C
Acts of the Apostles	1:13	1681:36-38	150:4.1/15-19	Apostles named	S
Acts of the Apostles	1:13	1548:2	139:0.1/1	The twelve apostles	S
Acts of the Apostles	1:14	1671:23-24	149:2.8/6-8	Women disciples	S
Acts of the Apostles	1:14	1345:15-20	122:1.3/all	Jesus' parents	S
Acts of the Apostles	1:15-23	2058:9-16	193:6.2/all	The agenda	S
Acts of the Apostles	1:16-18	1998:43-50	186:1.7/all	Judas' suicide	S
Acts of the Apostles	1:18	1567:41-44	139:12.13/all	Judas' Suicide	C
Acts of the Apostles	1:24	1571:37-39	140:3.19/12-16	God judges men's hearts	C
Acts of the Apostles	1:24-26	2058:17-20	193:6.3/all	Matthias elected	S
Acts of the Apostles	1:26	2045:16-18	192:0.2/11-13	Matthias as treasurer	S
Acts of the Apostles	2:1,42	2064:7-9	194:3.9/1-6	Universality of religion of Jesus	S
Acts of the Apostles	2:1-3	2059:3-9	194:0.1/all	Coming of Spirit of Truth	S
Acts of the Apostles	2:1-4	1569:24-25	140:1.6/13-15	Reign of God in power	R
Acts of the Apostles	2:1-4	2043:11-12	191:5.3/16-17	When Spirit comes	S
Acts of the Apostles	2:1-4,16-18	1642:18	146:3.6/15-17	Spirit of Truth+	C
Acts of the Apostles	2:1-4,16-18	2044:34-35	191:6.3/7-8	Spirit of Truth+	C
Acts of the Apostles	2:1-4,16-18	596:31-32	52:5.6/11-12	Spirit poured out on all flesh+	R
Acts of the Apostles	2:1-4,16-18	1954:2	181:1.4/3	Pour out my spirit on all flesh+	C
Acts of the Apostles	2:1-4,16-18	2063:34-40	194:3.6/1-12	Spirit of Truth bestowed on all+	C
Acts of the Apostles	2:1-4,16-18	2057:23-24	193:5.2/5-6	Send Spirit of Truth+	S
Acts of the Apostles	2:1-4,16-18	1918:45-46	176:4.3/5-6	Another teacher, Spirit of Truth+	S
Acts of the Apostles	2:1-4,16-18	1591:15-16	141:4.5/14-15	Jesus to pour out His spirit+	C
Acts of the Apostles	2:1-4,16-18	1961:24-28	181:2.24/9-15	Spirit of Truth will be with you+	C
Acts of the Apostles	2:1-4,16-18	2035:38-39	190:5.4/55-56	Pour out spirit on all flesh+	C
Acts of the Apostles	2:1-4,16-18	1130:31-35	103:1.6/3-12	Spirit in man (Spirit of Truth)+	C
Acts of the Apostles	2:1-4,16-18	230:7-8	20:6.8/12-15	Spirit of truth+	C
Acts of the Apostles	2:1-4,16-18	377:31-32	34:4.1/3-4	Spirit of Truth+	C
Acts of the Apostles	2:1-4,16-18	241:40-42	21:5.7/5-8	Spirit of Truth+	C
Acts of the Apostles	2:1-4,16-18	1949:3-5	180:4.5/5-9	I will send "my spirit"+	C
Acts of the Apostles	2:1-4,16-18	1951:44-46	180:6.3/all	Spirit of Truth+	C
Acts of the Apostles	2:1-4,16-18	1328:22-23	120:2.6/16-17	Spirit of Truth+	C
Acts of the Apostles	2:1-4,16-18	365:32-33	32:5.8/8-10	Spirit of Truth+	C
Acts of the Apostles	2:1-4,16-18	382:11	34:7.1/8-9	Spirit of Truth+	C
Acts of the Apostles	2:1-4,16-18	1328:5	120:2.4/9	Spirit of Truth+	C
Acts of the Apostles	2:1-4,16-18	379:36	34:5.5/1-2	Spirit of Truth+	C
Acts of the Apostles	2:1-4,16-18	1536:12-14	137:8.7/2-5	Spirit of Truth+	C
Acts of the Apostles	2:1-4,16-18	1947:14-17	180:3.3/all	Promise of comforter+	C
Acts of the Apostles	2:1-4,16-18	1958:6-8	181:2.14/7-10	Follow new teacher in hearts+	C
Acts of the Apostles	2:1-4,16-18	1340:25-26	121:7.5/7-8	New spirit, live in men's hearts+	C
Acts of the Apostles	2:1-4,17-18	224:21	20:1.6/5	Son poured out spirit on flesh+	C
Acts of the Apostles	2:1-4,38	2061:43-46	194:2.10/all	Baptism of the spirit+	C
Acts of the Apostles	2:1-4,38	1593:13	141:6.5/8-9	Baptism with the spirit+	C
Acts of the Apostles	2:1-21	1187:18-20	108:2.3/15-18	Adjusters after Pentecost	C
Acts of the Apostles	2:1-40	1918:47	176:4.3/6-7	Day of Pentecost	S
Acts of the Apostles	2:1a,5	2060:2-4	194:1.1/1-5	Pentecost, many there	S
Acts of the Apostles	2:4	45:12	3:1.4/11-12	Pt 3: Spirit speaks from within	R
Acts of the Apostles	2:4a	2059:35-43	194:0.6/all	Filled with the spirit	S
Acts of the Apostles	2:4b-12	2060:15-19	194:1.2/12-19	Speaking in other tongues	S
Acts of the Apostles	2:14-41	2060:9-11	194:1.2/1-5	Peter's sermon	S
Acts of the Apostles	2:16-18	241:40-42	21:5.7/5-8	Pour out Spirit of Truth	R
Acts of the Apostles	2:19-20	1860:40	170:2.14/6-7	Believe end sudden, spectacular+	C
Acts of the Apostles	2:21	1567:4	139:12.7/15-16	Whosoever will may come+	C
Acts of the Apostles	2:21	1454:40	131:10.7/10-12	Whosoever will are saved+	C
Acts of the Apostles	2:21	39:7	2:5.2/8-9	Whosoever will may come+	C
Acts of the Apostles	2:21	38:9-10	2:4.1/7-8	Who calls on Lord is saved	R
Acts of the Apostles	2:21	1829:44-45	166:3.7/18-19	Whosoever will may come+	C
Acts of the Apostles	2:21	1102:18-19	100:7.6/6-7	Whosoever will may come+	C
Acts of the Apostles	2:21	1820:44-45	165:3.8/13-14	Whosoever will may come+	C
Acts of the Apostles	2:21	365:29	32:5.8/3-4	Whosoever will may come+	C
Acts of the Apostles	2:22-23	2066:35-37	194:4.4/8-12	2nd part: All filled with spirit	R
Acts of the Apostles	2:29-36	2092:40-43	196:2.5/12-16	Exaltation of risen Christ+	C
Acts of the Apostles	2:32-33	881:25	79:3.4/6-7	Paradise Trinity	C
Acts of the Apostles	2:32-33	2067:40	194:4.9/3-4	Trinity	C
Acts of the Apostles	2:32-33	15:39	0:12.2/1	Paradise Trinity	C
Acts of the Apostles	2:32-33	108:10-15	10:0.2/1-11	Paradise Trinity	C
Acts of the Apostles	2:32-33	1304:29	118:10.2/1-2	The Trinity	C
Acts of the Apostles	2:32-33	1144:48-51	104:1.12/all	Later trinity concept	C
Acts of the Apostles	2:32-33	640:33-35	56:5.1/2-7	Trinity	C
Acts of the Apostles	2:32-33	2066:38-41	194:4.4/15-19	2nd part: All filled with spirit	R
Acts of the Apostles	2:32-33	236:28-29	21:2.8/5-6	Trinity personalities	C
Acts of the Apostles	2:33	379:36	34:5.5/1-2	Spirit of Truth+	C
Acts of the Apostles	2:33	2063:34-40	194:3.6/1-12	Spirit of Truth bestowed on all+	C
Acts of the Apostles	2:33	377:31-32	34:4.1/3-4	Spirit of Truth+	C
Acts of the Apostles	2:33	1918:45-46	176:4.3/5-6	Another teacher, Spirit of Truth+	S
