#https://urantia-book.org/urantiabook/bible_refs/1Kings_1.html

Book	Ch:Vs	1st Ed Page:Line	Paper:Sec:Ppgh	Key Words	Class
1 Kings	3:2-3	945:24-26	85:1.5/3-6	High places+	C
1 Kings	3:8	1058:38-39	96:5.6/11-12	Chosen people of God+	C
1 Kings	3:8	1334:23	121:2.8/26	Chosen people+	R
1 Kings	3:8	1018:25	93:5.1/2	Chosen people+	R
1 Kings	3:8	1065:37	97:4.2/21	Chosen people+	C
1 Kings	3:8	1055:6	96:2.3/5-6	Chosen people+	C
1 Kings	3:8	1075:29-31	97:10.1/1-6	Chosen people+	C
1 Kings	5:2-5	969:3-4	88:2.3/4-6	Fetish hut elevated by Moses	C
1 Kings	6:13	45:7-8	3:1.4/4-5	He will not forsake	C
1 Kings	7:8	1073:39	97:9.16/7-8	Solomon & Pharaoh's daughter	C
1 Kings	8:9	969:20-23	88:2.5/13-17	New fetishes	C
1 Kings	8:12	33:38	2:1.1/6-7	God dwells in thick darkness	R
1 Kings	8:12	153:37-40	14:1.7/8-13	Dark gravity bodies	C
1 Kings	8:23	879:34	79:1.9/7-8	One God in heaven+	C
1 Kings	8:27	34:2-3	2:1.1/12-15	Heaven of heavens	R
1 Kings	8:27	44:33-34	3:1.2/8-10	Heaven of heavens	R
1 Kings	8:27	553:20-21	48:6.12/2	Heaven, heaven of heavens	R
1 Kings	8:27	1953:29	181:1.2/5	Heaven of heavens	C
1 Kings	8:27	553:26	48:6.12/12	Heaven, heaven of heavens	R
1 Kings	8:30,34,36,39	1475:4-7	133:4.7/10-16	Justice, fairness, & mercy+	C
1 Kings	8:39	363:42	32:4.8/18-19	Lord knows his children	R
1 Kings	8:46-48	1770:47-48	159:5.13/1-3	Repent for forgiveness (OT)+	C
1 Kings	8:61	1176:17	107:0.3/1-2	Be you perfect	C
1 Kings	8:61	1165:24-25	106:2.6/3-6	Be you perfect	C
1 Kings	8:61	22:15-16	1:0.6/2-3	Be you perfect	C
1 Kings	8:61	1571:16-17	140:3.16/7-9	Be you perfect	C
1 Kings	8:61	1444:42-43	131:2.6/7-8	Be you perfect	R
1 Kings	8:61	348:21	31:3.6/2-3	Be you perfect	R
