#https://urantia-book.org/urantiabook/bible_refs/Revelation_1.html

Book	Ch:Vs	1st Ed Page:Line	Paper:Sec:Ppgh	Key Words	Class
Revelation	2:9	1725:26-27	155:1.2/18-20	Son breaks with rod of iron	R
Revelation	4:11	1011:32-33	92:6.6/13-14	God created heaven & earth+	C
Revelation	1:4	401:40-42	36:5.2/1-5	Adjutant mind spirits	C
Revelation	1:4	1269:31	116:2.1/1	Seven spirits of God	C
Revelation	1:4	189:15-16	16:4.1/13-14	Seven Spirits of God	C
Revelation	1:4	401:32-34	36:5.1/1-5	Adjutant mind spirits	C
Revelation	1:4	184:2	16:0.1/00	Seven master spirits	C
Revelation	1:7	1860:15-17	170:2.10/6-10	Belief in an earthly kingdom+	S
Revelation	1:8	34:10	2:1.2/10	God is self existent	C
Revelation	1:8,11	115:19	10:7.1/8-9	Alpha & Omega	C
Revelation	1:8,11,17	1408:48-49	128:1.10/9-11	I am Alpha and Omega	R
Revelation	1:8,11,17	1069:4-5	97:7.6/7-8	I am the first and the last	C
Revelation	1:8,11,17	34:31-32	2:1.5/3-4	He is the beginning and end	C
Revelation	1:8,11,17	34:12-13	2:1.2/15	He is the beginning and end	C
Revelation	1:9	1555:35-37	139:4.13/1-4	Banished to Patmos	S
Revelation	1:13	1390:4	126:3.6/4	Son of Man+	R
Revelation	1:13	1407:26-27	128:1.2/1-4	Son of Man+	C
Revelation	1:13	1501:22-28	135:5.7/8-17	The Son of Man+	R
Revelation	1:13	1509:24	136:1.1/11	# 2 The Son of Man+	R
Revelation	1:17	115:19	10:7.1/8-9	First, Last, and only God	R
Revelation	1:20	1255:24	114:6.7/2	Angels of the churches	R
Revelation	1:8,11,17	34:6-7	2:1.2/4	God, our source & destiny	C
Revelation	14:7	1444:5-6	131:2.2/1-3	God created heaven & earth+	C
Revelation	2:1,8,12,18	1255:24	114:6.7/2	Angel of church	C
Revelation	2:7	825:40-41	73:6.3/4	Tree of life	R
Revelation	2:7	946:3-4	85:2.4/13-15	Tree of life	C
Revelation	2:7	0007:31	0:4.11/all	Paradise	C
Revelation	2:7	222:17-18	19:7.1/1-3	Paradise	C
Revelation	2:7	825:31-32	73:6.1/1-2	Tree of life	C
Revelation	2:7,11,17,29	96:36-37	8:6.4/9-10	Have an ear, hear theSpirit	R
Revelation	2:8	1408:48-49	128:1.10/9-11	I am the first and the last	R
Revelation	2:8	34:31-32	2:1.5/3-4	He is the beginning and end	C
Revelation	2:8	115:19	10:7.1/8-9	First, Last, and only God	R
Revelation	2:8	1069:4-5	97:7.6/7-8	I am the first and the last	R
Revelation	2:8	34:12-13	2:1.2/15	He is the beginning and end	C
Revelation	2:10	1454:33-34	131:10.6/12-14	Crown of eternal life	C
Revelation	2:17	1191:45	108:5.5/6	New name	C
Revelation	2:17	1188:40-42	108:3.3/2-6	New name	C
Revelation	2:17	2062:22-25	194:2.19/all	New-name spirit	C
Revelation	2:17	538:14	47:8.5/4	New name	C
Revelation	3:1	401:40-42	36:5.2/1-5	Adjutant mind spirits	C
Revelation	3:1	1269:31	116:2.1/1	Seven spirits of God	C
Revelation	3:1	189:15-16	16:4.1/13-14	Seven Spirits of God	C
Revelation	3:1	184:2	16:0.1/00	Seven master spirits	C
Revelation	3:1	401:32-34	36:5.1/1-5	Adjutant mind spirits	C
Revelation	3:1,7,14	1255:24	114:6.7/2	Angel of church	C
Revelation	3:5	301:45	27:5.1/6	Book of life	R
Revelation	3:6,13,22	96:36-37	8:6.4/9-10	Have an ear, hear the Spirit	R
Revelation	3:8	1652:43-45	147:5.6/12-15	The open door, enter by faith	C
Revelation	3:12	622:19-20	55:1.3/2-3	Coming down from heaven	R
Revelation	3:12	1188:40-42	108:3.3/2-6	New name	C
Revelation	3:12	1337:28-29	121:5.11/6-7	Blissful realms	C
Revelation	3:12	1913:46	176:1.6/6	New Jerusalem	C
Revelation	3:12	2062:22-25	194:2.19/all	New-name spirit	C
Revelation	3:12	622:5	55:1.1/8-9	Holy temple built on earth	R
Revelation	3:12	538:14	47:8.5/4	New name	C
Revelation	3:12	1191:45	108:5.5/6	New name	C
