#https://urantia-book.org/urantiabook/bible_refs/Galatians_1.html

Book	Ch:Vs	1st Ed Page:Line	Paper:Sec:Ppgh	Key Words	Class
Galatians	1:4	2067:8-9	194:4.6/9-10	God: loving Father of all men+	C
Galatians	1:4	1676:17-18	149:6.8/7-8	God is our Father+	C
Galatians	1:4	1590:35	141:4.2/3	God is our Father+	C
Galatians	1:4	1454:16-17	131:10.5/1-3	God is MY Father+	C
Galatians	1:4	1337:27-28	121:5.11/4-5	Deliverance from evil+	C
Galatians	1:6-9	1768:18-27	159:4.6/all	Scripture not infallible (Contra)	C
Galatians	1:19	1357:5-6	123:1:5/1-4	Jesus' brother, James	C
Galatians	2:6	1568:30-31	140:1.2/6-7	Not the God of Jew or Gentile	S
Galatians	2:6	1831:8	166:4.11/8-9	God is no respecter of persons	C
Galatians	2:6	454:17-19	40:10.13/4-9	God is no respecter of persons	C
Galatians	2:6	1899:18	174:2.2/10-11	Jesus is no respecter of persons	C
Galatians	2:6	1662:46-47	148:6.2/16-18	No respecter of persons	C
Galatians	2:6	27:8	1:4.6/7	God is no respecter of persons	C
Galatians	2:6	1536:10	137:8.6/5-6	No respecter of persons	C
Galatians	2:6	1909:35	175:2.3/24	God is no respecter of persons	C
Galatians	2:6	2047:37	192:2.2/8-9	God is no respecter of persons	C
Galatians	2:6	36:43-44	2:3.1/9-10	God is no respecter of persons	C
Galatians	2:6	1736:10-12	156:2.4/9-12	No favoritism by God	C
Galatians	2:6	1608:20	143:1.5/8-9	No respecter of persons	C
Galatians	2:6	1468:30	133:0.3/22-23	God is no respecter of persons	C
Galatians	2:6	138:22	12:7.8/5-7	God is no respecter of persons	C
Galatians	2:6	1487:12-13	134:4.7/3-5	All people are spiritually equal	C
Galatians	2:6	1290:43-44	117:6.22/1	No respecter of persons	C
Galatians	2:6	2034:1-2	190:4.1/12-14	Neither Jew nor Gentile	S
Galatians	2:6	46:32-33	3:1.12/13-14	God is no respecter of persons	C
Galatians	2:6	1731:6-7	155:6.2/16-17	God is no respecter of races	C
Galatians	2:6	1541:38-41	138:4.2/13-18	Equality for all who seek God	C
Galatians	2:6	1564:16-17	139:9.9/7-8	Jesus is no respecter of persons	C
Galatians	2:6	1536:37	137:8.11/1-3	Neither Jew nor Gentile	C
Galatians	2:6	1226:2	112:0.10/7	God is no respecter of persons	C
Galatians	2:6	1679:23-25	150:1.3/15-18	Equality of persons	C
Galatians	2:6	2033:14-15	190:3.1/22-25	In kingdom, no differences	C
Galatians	2:6	1958:12-16	181:2.14/17-25	God/Son no respecter of persons	C
Galatians	2:10	2067:22	194:4.7/7-8	Ministered to poor	S
Galatians	2:11-14	1551:22-25	139:2.7/4-8	Peter reversed self	C
Galatians	2:16	1113:15-16	101:6.9/6-9	Faith of Jesus	C
Galatians	2:16	2094:14	196:3.4/3-4	Justified by faith	S
Galatians	2:16	1545:35-37	138:8.8/1-6	Change of mind by faith: new birth+	C
Galatians	2:16	1610:3-5	143:2.6/1-5	Saved by faith, not deeds	C
Galatians	2:20	1340:25-26	121:7.5/7-8	New spirit, live in men's hearts+	C
Galatians	2:20	379:36	34:5.5/1-2	Spirit of Truth+	C
Galatians	2:20	1642:8-9	146:3.5/10-12	Living Spirit of the Father (TA)+	C
Galatians	2:20	1588:41-43	141:2.1/33-36	Spirit of God within us+	C
Galatians	2:20	1961:24-28	181:2.24/9-15	Spirit of Truth will be with you+	C
Galatians	2:20	1181:14	107:4.7/1-2	Indwelling spirit: the Adjuster+	C
Galatians	2:20	64:42-43	5:2.3/7-9	God's spirit within you+	C
Galatians	2:20	365:32-33	32:5.8/8-10	Spirit of Truth+	C
Galatians	2:20	2035:38-39	190:5.4/55-56	Pour out spirit on all flesh+	C
Galatians	2:20	1954:2	181:1.4/3	Pour out my spirit on all flesh+	C
Galatians	2:20	1949:3-5	180:4.5/5-9	I will send "my spirit"+	C
Galatians	2:20	1947:14-17	180:3.3/all	Promise of comforter+	C
Galatians	2:20	381:2-3	34:6.7/3-4	Spirit of God in man+	C
Galatians	2:20	1454:12	131:10.4/12	God's spirit lives in man's heart+	C
Galatians	2:20	382:11	34:7.1/8-9	Spirit of Truth+	C
Galatians	2:20	230:7-8	20:6.8/12-15	Spirit of truth+	C
Galatians	2:20	195:45-46	16:9.4/6-9	God's spirit lives in us (T/A)+	C
Galatians	2:20	377:31-32	34:4.1/3-4	Spirit of Truth+	C
Galatians	2:20	1453:38-39	131:10.2/6-7	God's spirit dwells in human soul+	C
Galatians	2:20	1859:10-11	170:1.8/7-8	Kingdom within you	S
Galatians	2:20	39:32-33	2:5.6/12-16	God's spirit in you (T/A)+	C
Galatians	2:20	1328:5	120:2.4/9	Spirit of Truth+	C
Galatians	2:20	1474:22-23	133:4.4/5-7	God dwells in your soul+	C
Galatians	2:20	224:21	20:1.6/5	Son poured out spirit on flesh+	C
Galatians	2:20	1130:31-35	103:1.6/3-12	Spirit in man (Thought Adjuster)+	C
