#https://urantia-book.org/urantiabook/bible_refs/1Peter_1.html

Book	Ch:Vs	1st Ed Page:Line	Paper:Sec:Ppgh	Key Words	Class
1 Peter	1:3	2064:36-37	194:3.11/17-19	Father of the Lord Jesus Christ+	C
1 Peter	1:3	2067:7-8	194:4.6/7-8	Father of Lord Jesus Christ	R
1 Peter	1:3-4	1820:40-41	165:3.8/5-7	Spiritual inheritance	C
1 Peter	1:4	1113:28-29	101:6.10/18-19	Divine inheritance	C
1 Peter	1:8	1454:32-33	131:10.6/10-12	Full of joy, happiness	C
1 Peter	1:9	1537:21-22	137:8.17/2-4	Faith is the price of entry	C
1 Peter	1:16	1091:9-10	99:5.3/6-7	Be perfect	C
1 Peter	1:16	1583:37-38	140:8.32/5-7	Be you perfect	C
1 Peter	1:16	149:3-4	13:2.8/5-7	Becoming perfect	C
1 Peter	1:16	1573:6-7	140:4.11/2-3	Be you perfect	C
1 Peter	1:16	1953:34-35	181:1.2/13-15	Become spiritually perfected	C
1 Peter	1:16	1571:16-17	140:3.16/7-9	Be you perfect	C
1 Peter	1:16	1537:2	137:8.13/8-9	Be you perfect	C
1 Peter	1:16	1604:35-36	142:7.13/13-14	Be you perfect	C
1 Peter	1:16	1584:28-29	140:10.1/10-11	Be you perfect	C
1 Peter	1:16	637:8-9	56:0.1/10-11	Be you perfect, as I am	R
1 Peter	1:16	290:20	26:4.5/5-6	Be you perfect	R
1 Peter	1:16	22:15-16	1:0.6/2-3	Be you perfect	C
1 Peter	1:16	348:21	31:3.6/2-3	Be you perfect	R
1 Peter	1:16	86:11-12	7:5.1/4-5	Be you perfect	R
1 Peter	1:16	297:5-6	26:11.4/2-3	Be you perfect	C
1 Peter	1:16	1574:45	140:5.15/5-6	Be perfect	R
1 Peter	1:16	295:10-11	26:9.3/13	Be you perfect	C
1 Peter	1:16	1961:33-34	181:2.25/8-10	Spiritually perfecting	C
1 Peter	1:16	1176:17	107:0.3/1-2	Be you perfect	C
1 Peter	1:16	21:30-31	1:0.3/18-19	Be you perfect	C
1 Peter	1:16	449:14	40:7.4/2-3	Be you perfect	R
1 Peter	1:16	411:5	37:5.3/5	Be you perfect	R
1 Peter	1:16	1165:24-25	106:2.6/3-6	Be you perfect	C
1 Peter	1:16	1444:42-43	131:2.6/7-8	Be you perfect	R
1 Peter	1:16	1610:10-12	143:2.6/14-17	Seek perfection+	C
1 Peter	1:16	1784:43-44	161:1.10/5-6	Be you perfect	C
1 Peter	1:16	86:3	7:4.7/4-5	Be you Perfect	R
1 Peter	1:18-19	984:14-16	89:9.3/13-16	Jesus seen as a human sacrifice+	C
1 Peter	1:18-19	1864:25-28	170:5.6/all	Jesus as Redeemer of church+	C
1 Peter	1:19	978:30-31	89:4.8/6-8	Sacrificed best of everything+	C
1 Peter	1:21	2029:20-23	190:0.4/all	Faith in resurrection+	C
1 Peter	1:22	1206:40-42	110:3.9/all	By loving fellow man+	C
1 Peter	1:22	1955:41-42	181:2.4/8-11	Love one another	C
