#https://urantia-book.org/urantiabook/bible_refs/Luke_1.html

Book	Ch:Vs	1st Ed Page:Line	Paper:Sec:Ppgh	Key Words	Class
Luke	1:5	1496:18-20	135:0.3/4-9	Education of parents	C
Luke	1:5-7	1345:22-26	122:2.1/all	John's parents	S
Luke	1:5a	1334:27-30	121:2.9/all	Herod the King	S
Luke	1:8-10	1345:30-31	122:2.3/1-5	Zacharias' ministry	S
Luke	1:11-12	1345:27-29	122:2.2/all	Gabriel's appearance	S
Luke	1:11-19,24-25	1504:45-47	135:8.7/1-5	Jesus told: Gabriel's visit Elizabeth	C
Luke	1:11-23	1496:6-9	135:0.1/6-9	Zacharias' dream	S
Luke	1:13-17	1345:30-38	122:2.3/all	Gabriel's message to Zacharias	C
Luke	1:14	1101:7	100:6.6/2-4	Perfect peace	C
Luke	1:15	1496:28-36	135:1.1/all	John to become a Nazarite	C
Luke	1:17	1502:7-8	135:6.3/4-5	Spirit and power of Elijah	R
Luke	1:18	1345:44-45	122:2.5/4-5	Zacharias' doubt	C
Luke	1:24	1496:4-5	135:0.1/4-5	Elizabeth's secret	S
Luke	1:24-25	1345:43-44	122:2.5/1-2	Elizabeth's secret	S
Luke	1:26	1349:22-23	122:5.9/6-7	Lived in Nazareth	C
Luke	1:26-27	1346:6-7	122:2.6/1-3	Gabriel appears to Mary	S
Luke	1:26-27	1346:31-32	122:3.1/1-3	Gabriel appears to Mary	S
Luke	1:26-38	1347:17-19	122:3.4/all	Only supernatural act	S
Luke	1:26-38	1505:4-6	135:9.1/6-9	Jesus told of Gabriel's visit to Mary	S
Luke	1:26-56	1345:15-20	122:1.3/all	Jesus' parents	S
Luke	1:27	1347:37	122:4.3/1	Joseph not Davidic line	C
Luke	1:28-37	1346:33-44	122:3.1/5-25	The Annunciation	S
Luke	1:30-33	1317:9-12	119:7.5/1-7	Incarnation of Michael	C
Luke	1:31	1346:36	122:3.1/10-11	The name of Jesus	S
Luke	1:32	1588:31	141:2.1/14-15	King David's throne+	C
Luke	1:32	1858:27-29	170:1.3/all	The kingdom as a future hope+	S
Luke	1:32-33	1347:32-36	122:4:2/all	Inaccuracies in Bible	C
Luke	1:33	1568:28-30	140:1.2/1-6	Everlasting kingdom	S
Luke	1:35	1509:25	136:1.1/13	Jesus, Son of God+	R
Luke	1:35	1590:4	141:3.5/10	Gospel of Divine Sonship+	C
Luke	1:35	1748:8	157:5.1/12	Jesus, the Son of God+	C
Luke	1:37	1453:41	131:10.2/10-11	With God, all things possible	C
Luke	1:37	1757:34-35	158:5.2/28-29	All things possible to believers	C
Luke	1:37	1803:34-40	163:3.2/all	With God, nothing is impossible	S
Luke	1:37	46:42	3:2.2/3	With God all things possible	R
Luke	1:37	34:13-14	2:1.2/16-17	Pt 1: All things possible	R
Luke	1:37	291:26-27	26:5.3/13-15	With God nothing impossible	R
Luke	1:39-40	1346:7-9	122:2.6/3-7	Mary visits Elizabeth	S
Luke	1:52	1834:42-44	167:1.5/34-36	Exalted-humbled-exalted	C
Luke	1:52	1907:13-14	175:1.10/8-11	Humbled / exalted	S
Luke	1:53	2093:16-17	196:2.8/2-4	Jesus condemned the rich	C
Luke	1:56	1346:12-13	122:2.6/12-13	Length of visit	S
Luke	1:57	1496:3	135:0.1/1	John the Baptist born	S
Luke	1:57-63	1346:17-20	122:2.7/1-8	John's birth and infancy	S
Luke	1:59	1496:10	135:0.2/1-2	John circumcised	S
Luke	1:67	1353:12-14	122:9.4/1-5	Anna's poem	S
Luke	1:68-79	1353:15-34	122:9.5/1-32	Hymn of Redemption	S
Luke	1:69,77	2034:3	190:4.1/16-17	Gospel of Salvation+	C
Luke	1:69,77	2035:16	190:5.4/15	Gospel of Salvation of God+	C
Luke	1:78-79	1795:1	162:5.2/1	Jesus is the light of the world	S
Luke	1:79	66:47	5:4.2/3	Lasting peace+	C
Luke	1:79	447:38-39	40:5.16/9-10	True light+	C
Luke	1:79	590:33	52:1.7/3	Lighted by the true light	R
Luke	1:79	1181:6	107:4.5/6	#1: Pilot light	C
Luke	1:79	1181:7-8	107:4.5/9-10	Spirit luminosity	C
Luke	1:79	2042:1-2	191:4.3/20-22	Light in spiritual darkness	S
Luke	1:79	1731:18	155:6.3/13-14	Darkness into light	C
Luke	1:79	10:1-3	000:6.9/4-7	Spirit light	C
Luke	1:80	1497:5-11	135:1.4/all	John's youth, dress	S
Luke	1:80	1346:24-29	122:2.8/all	John's youth	S
Luke	2:1,03	1350:22-25	122:7.1/1-6	"Number" people for taxes	S
Luke	2:4	1347:38-39	122:4.3/3-5	Joseph to Bethlehem	C
Luke	2:4	1347:37	122:4.3/1	Joseph not Davidic line	C
Luke	2:4-5	1350:37-41	122:7.3/all	Mary goes to Bethlehem	S
Luke	2:4-5	1349:22-23	122:5.9/6-7	Lived in Nazareth	C
Luke	2:4-5,16,19	1345:15-20	122:1.3/all	Jesus' parents	S
Luke	2:4-7	1317:9-12	119:7.5/1-7	Incarnation of Michael	C
Luke	2:4-7,11	584:9-10	51:3.9/5-7	Christ Michael+	C
Luke	2:6-7	1351:29-34	122:8,01/all	Jesus' birth	S
Luke	2:6-14	1316:42-44	119:7.3/7-10	Jesus' birth	C
Luke	2:7b	1351:16-25	122:7.7/all	Lodge in stable	S
Luke	2:8-18, 20	1352:7-12	122:8.5/all	Angels, no shepherds	S
Luke	2:14	66:47	5:4.2/3	Lasting peace+	C
Luke	2:14	1491:32-35	134:6.13/all	How to get peace, good will	C
Luke	2:14	437:32-33	39:5.5/5-6	Peace on earth, good will	R
Luke	2:14	437:38	39:5.5/15-17	Glory to God in Havona	R
Luke	2:14	597:14	52:6.1/2-3	Peace on earth, good will	R
Luke	2:14	1565:11	139:11.6/4-5	Preached peace, good will	R
Luke	2:14	1101:7	100:6.6/2-4	Perfect peace	C
Luke	2:14	1777:15	160:2.10/21	Peace on earth, good will	R
Luke	2:14	1569:1	140:1.3/9-10	Peace on earth	S
Luke	2:14b	1801:3-4	163:1.3/25-26	Proclaim peace, good will to men	S
Luke	2:21	1351:35-37	122:8.2/all	Circumcision and dedication	S
Luke	2:21-24	1352:43-47	122:9.1/12-19	Two Rites	S
Luke	2:22-24	935:36-38	84:4.6/1-6	Childbirth "unclean"	C
Luke	2:22-24	1354:17-19	122:10.2/2-9	Joseph "poor"	S
Luke	2:22-24	1352:38-40	122:9.1/3-7	Redemption+	C
Luke	2:22-24	1352:41-43	122:9.1/7-12	Purification+	C
Luke	2:25	1502:1	135:6.2/10-11	Consolation of Israel	R
Luke	2:25	1353:1-2	122:9.2/1-3	Simeon	S
Luke	2:26	1353:3-7	122:9.2/5-12	Both see Jesus as Messiah	S
Luke	2:27a	1353:8-11	122:9.3/all	Two were in Temple	S
Luke	2:28	1353:12-14	122:9.4/1-5	Anna's poem	S
Luke	2:29-32	1353:35-39	122:9.5/33-41	Hymn of Redemption	S
Luke	2:32	1795:1	162:5.2/1	Jesus is the light of the world	S
Luke	2:32	10:1-3	000:6.9/4-7	Spirit light	C
Luke	2:32	447:38-39	40:5.16/9-10	True light+	C
Luke	2:32	590:33	52:1.7/3	Lighted by the true light	R
Luke	2:32	1181:7-8	107:4.5/9-10	Spirit luminosity	C
Luke	2:33	1353:40-43	122:9.6/all	Parents marvel	S
Luke	2:33-34,43	1345:15-20	122:1.3/all	Jesus' parents	S
Luke	2:36-38	1353:1-2	122:9.2/1-3	Anna	S
Luke	2:39	1356:22-25	123:0.6/1-6	Going to Nazareth	S
Luke	2:39	1356:32	123:1.1/1-2	Arriving in Nazareth	C
Luke	2:40	1342:16	121:8.8/7	Grace of Lord Jesus Christ	R
Luke	2:40	1356:40-41	123:1.2/1-4	Jesus' health	C
