#https://urantia-book.org/urantiabook/bible_refs/Mark_1.html

Book	Ch:Vs	1st Ed Page:Line	Paper:Sec:Ppgh	Key Words	Class
Mark	1:1	1590:4	141:3.5/10	Gospel of Divine Sonship+	C
Mark	1:1	1317:9-12	119:7.5/1-7	Incarnation of Michael	C
Mark	1:1	1509:25	136:1.1/13	Jesus, Son of God+	R
Mark	1:1	1748:8	157:5.1/12	Jesus, the Son of God+	C
Mark	1:2-3	1502:28-33	135:6.6/5-15	John's reply	R
Mark	1:2-8	1501:29-30	135:5.8/1-3	John's announcement	S
Mark	1:4	1501:27-28	135:5.7/11-17	John preached repentence	S
Mark	1:4,07-8	1501:37-42	135:6.1/1-11	John begins to preach	S
Mark	1:4,08	1625:30-35	144:6.9/all	Meaning of baptism	C
Mark	1:4-5	1502:12-13	135:6.4/4	Baptize for remission of sins	R
Mark	1:4-5,08	964:37	87:6.5/10-11	Water baptism	C
Mark	1:4-5,8	947:1-2	85:4.1/5-7	Baptism+	C
Mark	1:5	1736:32	156:2.7/5-6	If confess sins, they are forgiven	C
Mark	1:6	1498:5-7	135.3.1/13-16	John's diet	S
Mark	1:6a	1497:5-11	135:1.4/all	John's youth, dress	S
Mark	1:7	1506:2-3	135:9.7/8-11	Sequence of rank	S
Mark	1:7-8	1503:24-28	135:7.2/8-16	John but forerunner of Messiah	R
Mark	1:7-8	1503:20-23	135:7.2/1-7	John denies that he is Messiah	S
Mark	1:8	2061:43-46	194:2.10/all	Baptism of the spirit+	C
Mark	1:8	1593:13	141:6.5/8-9	Baptism with the spirit+	C
Mark	1:9	1510:45	136:2.1/2	Jesus' baptism	S
Mark	1:9	1504:11-14	135:8.3/1-7	Jesus goes to Pella	S
Mark	1:10	946:38-39	85:3.4/15	Dove of peace	C
Mark	1:10	1511:48	136:2.4/9	Heavens were opened	R
Mark	1:10-11	1511:37-40	136:2.3/24-31	Personalized Adjuster	S
Mark	1:10-11	1504:34-42	135:8.6/1-16	Jesus' Baptism & God's voice	S
Mark	1:10-11	1506:6-8	135:9.7/14-19	Descending spirit, voice	S
Mark	1:11	538:10-11	47:8.4/9-10	This is a beloved son	R
Mark	1:11	1512:5-6	136:2.5/1-3	Voice of Personalized Adjuster	S
Mark	1:11	1511:39	136:2.3/28-29	This is my beloved son	R
Mark	1:12	1492:33-36	134:7.6/all	Adjuster leads Jesus to mountain	S
Mark	1:12-13	1504:44	135:8.6/19-20	40 days alone	S
Mark	1:12-13	1515:25-26	136:4.8/1-4	Decision making	S
Mark	1:12-13	1327:24-28	120:2.2/20-26	Terminate rebellion	C
Mark	1:12-13	1514:27-28	136:4.3/6-9	"Temptation" was earlier	C
Mark	1:12-13	1514:36-42	136:4.5/1-13	Reason for "40 days"	C
Mark	1:12-13	1512:30	136:3.1/1	The "forty days"	S
Mark	1:13	609:35-36	53:8.3/1-3	End of rebellion	C
Mark	1:13	1841:27-28	167:7.4/24	Ministering spirits	S
Mark	1:13	1493:14-15	134:8.3/1-3	Jesus fasts / eats	S
Mark	1:13	1514:24-26	136:4.3/1-5	Jesus did not "fast" as such	C
Mark	1:13	1493:33-45	134:8.6-8/all	"Temptation" of Jesus	S
Mark	1:14	1535:18	137:7.13/4-5	Preach good tidings+	R
Mark	1:14,06:17	1506:38-40	135:10.3/6-10	John arrested	S
Mark	1:14-15	2052:34-35	193:0.4/1-3	Gospel of the kingdom+	C
Mark	1:14-15	1608:22-24	143:1.5/11-15	Gospel of the kingdom+	C
Mark	1:14-15	1644:5	146:4.4/22	Gospel of the Kingdom	S
Mark	1:14-15	1560:7-10	139:7.6/1-8	Gospel of the kingdom+	C
Mark	1:14-15	1102:46	100:7.12/5	Gospel of the kingdom+	C
Mark	1:14-15	1535:34-37	137:8.2/all	Jesus hears: John imprisoned	S
Mark	1:14-15	1568:4-5	140:0.1/4	Gospel of the kingdom	C
Mark	1:14-15	1913:5	176:1.1/34	Gospel of the kingdom	C
Mark	1:14-15	1430:13	130:2.3/9	Gospel of the Kingdom+	C
Mark	1:14-15	1543:13	138:6.3/9-10	Gospel of the kingdom+	C
Mark	1:14-15	1778:15	160:3.5/1	Gospel of the kingdom	R
Mark	1:14-15	1535:37	137:8.2/7-8	Gospel of the kingdom+	S
Mark	1:14-15	2035:40-41	190:5.4/58-60	Gospel of the kingdom+	S
Mark	1:14-15	1588:25-28	141:2.1/4-8	Kingdom of God already here+	C
Mark	1:14-15	1859:26-28	170:1.10/12-15	Gospel of the kingdom	R
Mark	1:14-15	1682:32	150:5.2/3	Gospel of the kingdom	C
Mark	1:14-15	2059:8	194:0.1/12	Gospel of the kingdom	C
Mark	1:14-15	1856:23-24	169:4.6/5-6	Kingdom of God+	S
Mark	1:14-15	1858:30	170:1.4/1-2	Jesus taught both views+	S
Mark	1:14-15	382:1-3	34:6.13/16-19	Kingdom of God+	C
Mark	1:14-15	2002:31-34	186:5.4/all	Gospel of the kingdom	C
