#https://urantia-book.org/urantiabook/bible_refs/Job_1.html

Book	Ch:Vs	1st Ed Page:Line	Paper:Sec:Ppgh	Key Words	Class
Job	1:1	1004:18	92:1.5/1-3	God is a great fear+	R
Job	1:1-3	1662:40-43	148:6.2/5-11	Job: good, rich & healthy	C
Job	1:6	1841:4	167:7.2/6	Angels not "Sons of God"	R
Job	1:6	511:35-36	45:2.4/11-12	When the Sons of God meet	R
Job	1:6	609:28-29	53:8.2/2-3	When Sons of God gathered	R
Job	1:6	490:15-16	43:4.8/2-6	Day when Sons of God came	R
Job	1:6-12	602:1-2	53:1.4/1-4	Satan+	C
Job	2:1	490:15-16	43:4.8/2-6	Day when Sons of God came	R
Job	2:1	1841:4	167:7.2/6	Angels not "Sons of God"	R
Job	2:1	609:28-29	53:8.2/2-3	Satan came also	R
Job	2:1	511:35-36	45:2.4/11-12	When the Sons of God meet	R
Job	2:1-7	602:1-2	53:1.4/1-4	Satan+	C
Job	3:11	954:8	86:5.2/5	Give up the ghost	R
Job	4:1--5:27	1663:15-23	148:6.4/all	Eliphaz, 1st friend	S
Job	4:8	1445:21-22	131:2.8/10-11	Men reap evil they sow	R
Job	4:8	37:1-2	2:3.2/5-7	One reaps what one sows	R
Job	4:8	1445:35	131:2.9/15-16	Reap what you sow	R
Job	4:8	1663:2	148:6.3/3-4	Men reap what they sow	C
Job	4:17	1059:44-45	96:6.4/5-7	Is man more just than God	R
Job	5:2	1673:17	149:4.2/10-11	Wrath kills foolish man	R
Job	5:6	1662:30-31	148:5.5/38-39	2nd pt: Affliction not from dust	R
Job	5:9	33:39	2:1.1/8-10	Marvels without number	R
Job	5:12-13	1060:37-38	96:7.6/7-9	Disappoints devices of crafty	R
Job	5:17-18	1662:30	148:5.5/38	1st pt: Correction in suffering	R
Job	5:19	1337:27-28	121:5.11/4-5	Deliverance from evil+	C
Job	6:4	990:19	90:3.8/8-9	Arrows of the Almighty	R
Job	6:10	1053:39-40	96:1.9/6	The Holy One+	C
Job	8:1-22	1663:24-30	148:6.5/all	Bildad, 2nd friend	S
Job	9:1--10:22	1663:31-39	148:6.6/all	Job's hopelessness	S
Job	9:4-10	319:3-5	29:0.1/1-5	Physical creation+	C
Job	9:9	458:8	41:3.1/1	Our starry associates	C
Job	9:10	1453:46	131:10.3/2-3	Cannot find God by knowledge	C
Job	9:10	33:39	2:1.1/8-10	Marvels without number	R
Job	9:11	25:10-11	1:3.2/1-3	I see Him not...	R
Job	9:13	57:44-45	4:3.2/1-3	God said to be angry+	C
Job	11:1-20	1663:48-53	148:6.8/all	Zophar, 3rd friend	C
Job	11:7	1059:45-47	96:6.4/7-9	Pt 1: Can you find God	R
Job	12:10	1155:21	105:2.11/15-16	Live, move, and have our being	C
Job	12:10	1283:11-12	117:3.12/5-8	We live, move, have our being	C
Job	12:13	33:36	2:1.1/3	Pt 1: Understanding is infinite	R
Job	13:15	1108:45	101:3.4/49-50	Even though he slay me	R
Job	13:16	41:6	2:6.3/11	God of salvation+	C
Job	13:19	954:8	86:5.2/5	Give up the ghost	R
Job	14:1	1664:3	148:6.8/9-11	Few of days and full of trouble	R
Job	15:1-35	1664:4-5	148:6.9/2-3	Eliphaz more stern	S
Job	17:14-16	1230:23-24	112:3.5/1-3	Dust to dust+	C
Job	18:1-21	1664:5-6	148:6.9/3-4	Bildad indignant	S
Job	18:4	1673:18	149:4.2/11-12	Man tears self in anger	R
Job	19:13-19	1664:11-12	148:6.9/14-15	Help only from God	S
Job	19:21-26	1664:12	148:6.9/15-17	Struggle between faith and doubt	C
Job	19:25	1664:15	148:6.9/21-22	My Vindicator lives	R
Job	20:1-29	1664:6	148:6.9/4-5	Zophar repeats advice	S
Job	21:9	1046:32-33	95:4.3/3-4	Saved from fear+	R
Job	21:16-21	1664:6-7	148:6.9/5-7	Job appeals to God	S
Job	22:12-14	153:37-40	14:1.7/8-13	Dark gravity bodies	C
Job	23:1--24:25	1664:7-9	148:6.9/7-11	Appeals to a just God	S
Job	23:3	24:10	1:2.3/13	God seeking	C
Job	23:10	49:10-11	3:3.2/12-14	He knows the way I take	R
Job	26:7	55:15-16	4:1.5/7-8	Stability amid instability	C
Job	26:7	456:37-38	41:1.5/1-3	Power center	C
