Judeo-Christian religious books (Old Testament)	https://www.e-sword.net/ (American Standard Version, 1901) (King James Version) (Revised Standard Version w/ Apocrypha); The Apocrypha and Pseudepigrapha of the Old Testament, R. H. Charles, Oxford: University Press, 1913; The Forgotten Books of Eden, 1926, Rutherford H. Platt, Jr.; The Third book of Enoch, 1928, Hugo Odeberg; Sibylline Oracles, Milton S. Terry, New York: Eaton & Mains, 1899; The Old Testament Pseudepigrapha, Vol. 1, 1983, James H. Charlesworth; The Old Testament Pseudepigrapha, Vol. 2, 1985, James H. Charlesworth; The Apocalypse of Abraham, 1919, G. H. Box; Nag Hammadi Library, 1981, George W. MacRae; The Forgotten Books of Eden, 1926, Rutherford H. Platt, Jr.; Apocrypha anecdota 2. Texts and Studies, 1897, M. R. James; The Ante-Nicene Fathers, 1885-1903, Arthur Cleveland Coxe & Allan Menzies; Jewish Quarterly Review, 1898, F. C. Conybeare; The Book of the Cave of Treasures, 1927, E. A. Wallis Budge; Joseph and Aseneth, 1918, E. W. Brooks; Biblical Antiquities of Philo, 1917, M. R. James; 4 Baruch, Robert A. Kraft (ed.), University of Pennsylvania, 1987; The Five Books of Maccabees, 1832, Henry Cotton; Some Apocryphal Psalms in Syriac, 1886-7, W. Wright	/en/index/books_judeo_christianism_ot
Old Testament Canon	<group>	
“Genesis”	/en/Bible/Genesis	OK
“Exodus”	/en/Bible/Exodus	OK
“Leviticus”	/en/Bible/Leviticus	OK
“Numbers”	/en/Bible/Numbers	OK
“Deuteronomy”	/en/Bible/Deuteronomy	OK
“Joshua”	/en/Bible/Joshua	OK
“Judges”	/en/Bible/Judges	OK
“Ruth”	/en/Bible/Ruth	OK
“I Samuel”	/en/Bible/1_Samuel	OK
“II Samuel”	/en/Bible/2_Samuel	OK
“I Kings”	/en/Bible/1_Kings	OK
“II Kings”	/en/Bible/2_Kings	OK
“I Chronicles”	/en/Bible/1_Chronicles	OK
“II Chronicles”	/en/Bible/2_Chronicles	OK
“Ezra”	/en/Bible/Ezra	OK
“Nehemiah”	/en/Bible/Nehemiah	OK
“Esther”	/en/Bible/Esther	OK
“Job”	/en/Bible/Job	OK
“Psalms”	/en/Bible/Psalms	OK
“Proverbs”	/en/Bible/Proverbs	OK
“Ecclesiastes”	/en/Bible/Ecclesiastes	OK
“Song of Solomon”	/en/Bible/Song_of_Solomon	OK
“Isaiah”	/en/Bible/Isaiah	OK
“Jeremiah”	/en/Bible/Jeremiah	OK
“Lamentations of Jeremiah”	/en/Bible/Lamentations	OK
“Ezekiel”	/en/Bible/Ezekiel	OK
“Daniel”	/en/Bible/Daniel	OK
“Hosea”	/en/Bible/Hosea	OK
“Joel”	/en/Bible/Joel	OK
“Amos”	/en/Bible/Amos	OK
“Obadiah”	/en/Bible/Obadiah	OK
“Jonah”	/en/Bible/Jonah	OK
“Micah”	/en/Bible/Micah	OK
“Nahum”	/en/Bible/Nahum	OK
“Habakkuk”	/en/Bible/Habakkuk	OK
“Zephaniah”	/en/Bible/Zephaniah	OK
“Haggai”	/en/Bible/Haggai	OK
“Zechariah”	/en/Bible/Zechariah	OK
“Malachi”	/en/Bible/Malachi	OK
Old Testament Deuterocanon	<group>	
“1 Maccabees”	/en/Bible/1_Maccabees	OK
“2 Maccabees”	/en/Bible/2_Maccabees	OK
“Sirach (Ecclesiasticus)”	/en/Bible/Sirach	OK
“Wisdom of Solomon”	/en/Bible/Wisdom_of_Solomon	OK
“Baruch”	/en/Bible/Baruch	OK
“Tobit”	/en/Bible/Tobit	OK
“Judith”	/en/Bible/Judith	OK
“1 Esdras” (also called “Greek Ezra” or “3 Esdras”)	/en/Bible/1_Esdras” (also called “Greek Ezra” or “3 Esdras”	OK
“2 Esdras” (also called “Revelation of Ezra” or “4 Esdras”)	/en/Bible/2_Esdras” (also called “Revelation of Ezra” or “4 Esdras”	OK
“Susanna”	/en/Bible/Susanna	OK
“Bel and the Dragon”	/en/Bible/Bel_and_the_Dragon	OK
“Prayer of Manasseh”	/en/Bible/Prayer_of_Manesseh	OK
“Letter of Jeremiah”	/en/Bible/Letter_of_Jeremiah	OK
“Additions to Esther”	/en/Bible/Additions_to_Esther	OK
“Prayer of Azariah”	/en/Bible/Prayer_of_Azariah	OK
“Psalm 151”	/en/Bible/Psalm_151	OK
Old Testament Apocrypha (Pseudepigrapha)	<group>	
“First Book of Enoch”	/en/Bible/Book_of_Enoch	OK
“Second book of Enoch”	/en/Bible/Second_Book_of_Enoch	OK
“3 Enoch”	/en/Bible/Third_Book_of_Enoch	OK
“Sibylline Oracles”	/en/Bible/Sibylline_Oracles	OK
“Treatise of Shem”	/en/Bible/Treatise_of_Shem	OK
“Apocalypse of Zephaniah”	/en/Bible/Apocalypse_of_Zephaniah	OK
“Greek Apocalypse of Ezra”	/en/Bible/Greek_Apocalypse_of_Ezra	OK
“Questions of Ezra”	/en/Bible/Questions_of_Ezra	OK
“Revelation of Ezra”	/en/Bible/Revelation_of_Ezra	OK
“Vision of Ezra”	/en/Bible/Vision_of_Ezra	OK
“Apocalypse of Sedrach”	/en/Bible/Apocalypse of Sedrach	OK
“2 Baruch” (or “The Syriac Apocalypse of Baruch”)	/en/Bible/2_Baruch	OK
“3 Baruch” (or “The Greek Apocalypse of Baruch”)	/en/Bible/3_Baruch	OK
“Apocalypse of Abraham”	/en/Bible/Apocalypse_of_Abraham	OK
“Apocalypse of Adam”	/en/Bible/Apocalypse_of_Adam	OK
“Apocalypse of Elijah”	/en/Bible/Apocalypse_of_Elijah	OK
Testaments (Often with Apocalyptic Sections)	<subgroup>	
“Testament of Reuben”	/en/Bible/Testament_of_Reuben	OK
“Testament of Simeon”	/en/Bible/Testament_of_Simeon	OK
“Testament of Levi”	/en/Bible/Testament_of_Levi	OK
“Testament of Judah”	/en/Bible/Testament_of_Judah	OK
“Testament of Issachar”	/en/Bible/Testament_of_Issachar	OK
“Testament of Zebulun”	/en/Bible/Testament_of_Zebulun	OK
“Testament of Dan”	/en/Bible/Testament_of_Dan	OK
“Testament of Naphtali”	/en/Bible/Testament_of_Naphtali	OK
“Testament of Gad”	/en/Bible/Testament_of_Gad_prophet	OK
“Testament of Asher”	/en/Bible/Testament_of_Asher	OK
“Testament of Joseph”	/en/Bible/Testament_of_Joseph	OK
“Testament of Benjamin”	/en/Bible/Testament_of_Benjamin	OK
“Testament of Job”	/en/Bible/Testament_of_Job	OK
“Testament of Abraham”	/en/Bible/Testament_of_Abraham	OK
“Testament of Isaac”	/en/Bible/Testament_of_Isaac	OK
“Testament of Jacob”	/en/Bible/Testament_of_Jacob	OK
“Assumption of Moses”, also called “Testament of Moses”	/en/Bible/Assumption_of_Moses	OK
“Testament of Solomon”	/en/Bible/Testament_of_Solomon	OK
“Testament of Adam”	/en/Bible/Testament_of_Adam	OK
Expansions of the Old Testament and Legends	<subgroup>	
“Letter of Aristeas”	/en/Bible/Letter_of_Aristeas	OK
“Book of Jubilees”	/en/Bible/Book_of_Jubilees	OK
