Reference	Original	Corrected	Review	Decision
0:1.24 (3.11)	Absolute perfection in no direction, relative perfection in all other manifestations	in all manifestations.	in all <mark><s>other</s></mark> manifestations.	The word other removed. This phase of perfection exists in only one manifestation—relative perfection.
0:4.3 (7.1)	Deified reality embraces all of infinite Deity potentials	all infinite Deity potentials	all <mark><s>of</s></mark> infinite Deity potentials	The 1955 construction is awkward because all of is used to modify potentials without the latter being qualified by a limiting adjective.
11:7.7 (125.1)	The relatively quiet zone between the space levels	relatively quiet zones	relatively quiet zone<mark>s</mark>	The plural agrees with the verb are.
12:4.15 (134.4)	the vast universes of outer space in the realms	of outer space, in the realms	of outer space<mark>,</mark> in the realms	The comma is required to set off the parenthetical phrase.
24:1.11 (266.1)	Tertiary circuit supervisor No. 572,842	Tertiary circuit supervisor number 572,842	Tertiary Circuit Supervisor <mark><s>No.</s> number</mark> 572,842	The spelled-out version is appropriate in this context.
28:6.4 (314.3)	The Significance of Origins are the living	The Significances of Origins are	The Significance<mark>s</mark> of Origins are	The plural is required to agree with the verb are.
28:6.8 (315.1)	the Significance of Origins teach	the Significances of Origins teach	the Significance<mark>s</mark> of Origins teach	The plural is required to agree with the verb are.
29:4.23 (326.5)	the Seven Supreme Power Directors and the Seven Central Supervisors	the Seven Center Supervisors	the Seven <mark><s>Central</s> Center</mark> Supervisors	There is no other reference to Seven Central Supervisors, but there are multiple references to Seven Center Supervisors who function closely with the Supreme Power Directors.
30:3.12 (340.1)	beings enroute elsewhere who pause	beings en route elsewhere who pause	beings <mark><s>enroute</s> en route</mark> elsewhere who pause	Enroute is incorrect French and is not the form that has been adopted into English.
36:3.6 (400.1)	subsequently add any thing new or supplemental	subsequently add anything new	subsequently add <mark><s>any thing</s> anything</mark> new	The closed word is the correct choice in this case.
37:8.3 (413.6)	Andovontia is the name of the <em>secondary Universe Circuit Supervisor</em>	tertiary <em>Universe Circuit Supervisor</em>	<mark><s>secondary</s> tertiary</mark> <em>Universe Circuit Supervisor</em>	Only the tertiary Circuit Supervisor is stationed within the local universe.
41:1.1 (455.5)	Within the domain of this Paradise Son of God the Supreme Power Centers	Paradise Son of God, the Supreme Power Centers	Paradise Son of God<mark>,</mark> the Supreme Power Centers	The comma indicates the end of the prepositional phrase.
41:4.4 (460.1)	having become sixty thousand times as dense as your sun	having become forty thousand times as dense	having become <mark><s>sixty</s> forty</mark> thousand times as dense	Textual consistency and current scientific estimates of our sun’s density both support forty thousand.
42:5.1 (474.5)	ten octaves up are the X rays, followed by the Y rays of radium	the gamma rays of radium	the <mark><s>Y rays</s> gamma rays</mark> of radium	Y rays written out as gamma rays.
42:6.7 (477.1)	an electron weighs a little less than 1/2,000th of the smallest atom	an electron weighs a little more than	an electron weighs a little <mark><s>less</s> more</mark> than	More is consistent with 42:6.8, where the author states that a proton is eighteen hundred times as heavy as an electron, and is also in general agreement with current scientific opinion which places the ratio at about 1:1836.
42:6.7 (477.1)	The positive proton... weighs from two to three thousand times more	weighs almost two thousand times more	weighs <mark><s>from two to three</s> almost two</mark> thousand times more	The calculation of the relative masses of the electron and the hydrogen atom was undergoing a rapid evolution just prior to the writing of <em>The Urantia Book</em>, the ratio being 1:1700 in 1897; 1:2000 in 1904; and 1:1845 by 1922. This last ratio is also the one quoted in the 1934 Webster’s Dictionary.
42:10.1 (480.4)	reality from the absoluteness of Paradise monota	relative cosmic reality, from the	relative cosmic reality<mark>,</mark> from the	The comma correctly separates the following parenthetical phrase.
43:1.6 (486.5)	established almost four thousand years ago,	established almost forty thousand years ago	established almost <mark><s>four</s> forty</mark> thousand years ago	The announcement was made shortly after the default of Adam and Eve which occurred about 37,800 years ago.
43:8.2 (494.1)	you are rekeyed each time	you are re-keyed each time	you are <mark><s>rekeyed</s> re-keyed</mark> each time	The only other occurrence of re-keyed is in hyphenated form at 48:2.21.
44:0.1 (497.1)	universe headquarters worlds, may be found	universe headquarters worlds may be found	universe headquarters worlds<mark><s>,</s></mark> may be found	Although technically acceptable, the comma makes the sentence more difficult to read.
45:5.6 (515.5)	Some time they hope to be granted virtually complete	Sometime they hope to be granted	<mark><s>Some time</s> Sometime</mark> they hope to be granted	The closed form is correct as the reference is to an indefinite point in time rather than to an indefinite period of time.
46:2.6 (521.3)	training spheres of the universe, the superuniverse, and of Havona	spheres of the universe, the superuniverse, and Havona	spheres of the universe, the superuniverse, and <mark><s>of</s></mark> Havona	Parallel structure established by removing the word of.
51:5.6 (586.3)	In your world, even in the face of	On your world, even in the face of	<mark><s>In</s> On</mark> your world, even in the face of	This does not appear to be a valid use of in.
53:7.8 (608.4)	Of the 681,227 Material Sons lost in Satania	Of the 681,217 Material Sons lost in Satania	Of the <mark><s>681,227</s> 681,217</mark> Material Sons lost in Satania	The correction from 681,227 to 681,217 was made because of the original’s conflict with 51:1.5.
55:4.15 (628.3)	the ministering-spirit quartette	the ministering-spirit quartet	the ministering-spirit <mark><s>quartette</s> quartet</mark>	Quartette and quartet each occur once in The Urantia Book. There is no differentiation in meaning between the two spellings, so the text has been standardized to quartet to facilitate electronic searching.
55:4.16 (628.4)	The ministering-spirit quartettes consist of	The ministering-spirit quartets consist of	The ministering-spirit <mark><s>quartettes</s> quartets</mark> consist of	Quartettes and quartets each occur once in The Urantia Book. There is no differentiation in meaning between the two spellings, so the text has been standardized to quartets to facilitate electronic searching.
55:4.17 (628.5)	On the worlds the Trinity Teacher Sons	On these worlds the Trinity Teacher Sons	On <mark><s>the</s> these</mark> worlds the Trinity Teacher Sons	The demonstrative adjective these distinguishes which worlds are being discussed.
56:7.8 (643.2)	on the other hand the new orders of beings	on the other hand, the new orders of beings	on the other hand<mark>,</mark> the new orders of beings	The structure of the sentence calls for a comma.
57:1.4 (651.6)	<em>900,000,000,000</em> years ago the Uversa archives testify	<em>900,000,000,000</em> years ago, the Uversa archives testify	<em>900,000,000,000</em> years ago<mark>,</mark> the Uversa archives testify	The comma properly encloses the descriptive phrase.
58:1.7 (665.2)	life has a marine origin the ideal conditions	life has a marine origin, the ideal conditions	life has a marine origin<mark>,</mark> the ideal conditions	The comma is required.
58:2.1 (665.4)	about one two-billionths	about one two-billionth	about one <mark><s>two-billionths</s> two-billionth</mark>	The singular is correct.
59:1.1 (673.1)	Ameba are typical survivors	Amebas are typical survivors	<mark><s>Ameba</s> Amebas</mark> are typical survivors	The plural is required here to agree with are.
59:1.17 (674.3)	a veritable tropic Paradise	a veritable tropic paradise	a veritable tropic <mark><s>Paradise</s></mark> paradise	Paradise should be lower case.
59:2.12 (676.3)	the muscles, clams, oysters, and scallops	the mussels, clams, oysters, and scallops	the <mark><s>muscles</s></mark> mussels, clams, oysters, and scallops	Muscles is now so uncommon for this meaning that the modern form has been adopted.
59:4.18 (680.2)	marine-life evolution, the age of fishes	marine-life evolution, <em></em> the age of fishes	marine-life evolution, <em><mark><s>the</s></mark></em><mark> the</mark> age of fishes	The article the removed from italics.
60:3.8 (689.7)	<em>85,000,000</em> years ago Bering Strait closed	<em>85,000,000</em> years ago the Bering Strait	<em>85,000,000</em> years ago <mark>the</mark> Bering Strait	The usage was correct when <em>The Urantia Book </em>was written but is now so unfamiliar that the insertion is justified.
60:3.20 (691.1)	But some time previously there had appeared	But sometime previously there had appeared	But <mark><s>some time</s> sometime</mark> previously there had appeared	The closed form is correct as the reference is to an indefinite point in time rather than to an indefinite period of time.
61:0.2 (693.2)	the Panama Isthmus went up	the Panama isthmus went up	the Panama <mark><s>Isthmus</s> isthmus</mark> went up	Capitalization is used only for the formal name of a geographical feature.
61:0.2 (693.2)	three times Bering Strait land bridge	three times the Bering Strait land bridge	three times <mark>the</mark> Bering Strait land bridge	The usage was correct when <em>The Urantia Book </em>was written but is now so unfamiliar that the insertion is justified.
61:3.4 (696.8)	Bering Strait land bridge was up	The Bering Strait land bridge was up	<mark>The</mark> Bering Strait land bridge was up	The usage was correct when <em>The Urantia Book </em>was written but is now so unfamiliar that the insertion is justified.
61:3.13 (697.8)	Weasels, martins, otters, and raccoons	Weasels, martens, otters, and raccoons thrived	Weasels, <mark><s>martins</s> martens</mark>, otters, and raccoons thrived	Martins is now so uncommon for this meaning that the modern form has been adopted.
61:7.5 (701.4)	most of the State of Iowa	most of the state of Iowa	most of the <mark><s>State</s> state</mark> of Iowa	Capitalization removed from State.
61:7.18 (702.8)	beginning of the Holocene or postglacial period	the beginning of the <em>Holocene</em> or postglacial period	the beginning of the <mark><s>Holocene</s> </mark><em><mark>Holocene</mark></em> or postglacial period	All other geologic periods are italicized.
69:3.9 (774.8)	the flint flakers and stonemasons	the flint flakers and stone masons	the flint flakers and <mark><s>stonemasons</s> stone masons</mark>	The spelling has been standardized to the open form.
