ref	subsections
0:3	المبادئ السبعة المطلقة | الحقيقة | مفهوم الأنا هو
0:4	الجنة
0:12	شكر وتقدير
3:5	الحتميات
3:6	البركة
4:1	العناية الإلهية
6:4	القدرة المطلقة، الحضور المطلق، العلم المطلق
7:5	عطايا الابن الأزلي | عطايا ميخائيل الأصلي
8:4	بنات مبدعات
9:8	عائلة وظيفية للمصدر والمركز الثالث
10:5	موقف محدود، وأبسونايت، ومطلق
10:6	العدالة والأدلة والحكم
10:8	حدود المصير البشري
11:6	الفضاء غير المخترق
11:7	مناطق الفضاء المتوسط
11:8	القوة، الطاقة، القدرة
13:1	(1) ديفينينغتون | (2) سونارينجتون | (3) سبيرينغتون | (4) فايسغرينغتون | (5) سوليتارينغتون | (6) سيرافينغتون | (7) أسندينغتون
13:4	المساكن التنفيذية للأرواح الرئيسية
14:1	يوم الفردوس-هافونا | أجسام الجاذبية المظلمة
14:4	سكان هافونا الأصليون
14:5	الرتابة والمغامرة
15:7	زمن الكون العظيم
15:9	دوائر الكون المحلية
16:6	السببية والواجب والعبادة
17:1	أبناء الثالوث المتجسدون
19:4	أبناء الثالوث الثابتون
21:0	مايكل الأصلي
22:1	أبناء الإنجاز الثالوثيون | أبناء الاختيار الثالوثيون | أبناء الكمال الثالوثيون
22:7	أبناء الصاعدين الثالوثيين | أبناء الفردوس-هافونا الثالوثيين | أبناء القدر الثالوثيين
23:3	السرعات السيرافية وسرعات الفضاء الأخرى
23:4	أبناء القدر المتثليثون
24:6	جراندفاندا، الصاعد الأول
26:1	أرواح خادمة للكون المركزي | أرواح خادمة للأكوان العظمى | أرواح خادمة للأكوان المحلية
26:3	(1) مشرفو التناغم | (2) المسجلون الرئيسيون | (3) المذيعون | (4) الرسل | (5) منسقو الاستخبارات | (6) شخصيات النقل | (7) فيلق الاحتياط
26:4	وصول الصاعدين إلى هافونا
26:8	الفشل في العثور على الإله
26:10	تعيينات المرشحين المهزومين
26:11	أبناء المخلوقات المُثلثون
27:1	طبيعة الراحة
28:4	(1) صوت الفاعل المُوَحَّد | (2) صوت الأرواح الرئيسية السبعة | (3) صوت أبناء الخالق | (4) صوت الجحافل الملائكية | (5) أجهزة استقبال البث | (6) شخصيات النقل | (7) فيلق الاحتياط
28:5	(1) صوت الحكمة | (2) روح الفلسفة | (3) اتحاد النفوس | (4) قلب المشورة | (5) فرحة الوجود | (6) رضا الخدمة | (7) مُميز الأرواح
28:6	(1) أهمية الأصول | (2) ذاكرة الرحمة | (3) أهمية الوقت | (4) حرمة الأمانة | (5) قدسية الخدمة | (6) و (7) سر العظمة وروح الخير
29:2	(1) المشرفون على المركز الأعلى | (2) مراكز هافونا | (3) مراكز الكون العظيم | (4) مراكز الكون المحلي | (5) مراكز الأبراج | (6) مراكز النظام | (7) مراكز غير مصنفة
29:4	(1) مديرو الطاقة المساعدون | (2) وحدات التحكم الميكانيكية | (3) محولات الطاقة | (4) ناقلات الطاقة | (5) المترابطات الأولية | (6) المفككات الثانوية | (7) الفراندالانكس | الكرونولدكس
29:5	منظمو القوة الرئيسية الأولية الناتجة منظمو القوة الرئيسية المتسامية المنتسبون
30:1	١. الكائنات ثلاثية الأصل | ٢. الكائنات ثنائية الأصل | ٣. الكائنات أحادية الأصل | ٤. الكائنات المتعالية الناتجة | ٥. الكيانات الإلهية المجزأة | ٦. الكائنات فوق الشخصية | ٧. الرتب غير المصنفة وغير المكشوفة
30:2	١. آلهة الفردوس | ٢. الأرواح العليا | ٣. كائنات الأصل الثالوثي | ٤. أبناء الله | ٥. شخصيات الروح اللانهائي | ٦. مُوَجِّهو قوى الكون | ٧. هيئة المواطنة الدائمة | مجموعات الشخصيات المركبة
30:3	(1) طلاب النجوم | (2) الحرفيون السماويون | (3) مديرو الارتداد | (4) مدرسو المدارس التوسعية | (5) فيلق الاحتياط المتنوع | (6) الزوار الطلاب | (7) الحجاج الصاعدون
30:4	(1) البشر الكوكبيون | (2) الناجون النائمون | (3) طلاب عالم القصر | (4) متقدمو المورونشيا | (5) حراس الكون العظيم | (6) حجاج هافونا | (7) الوافدون إلى الجنة
33:6	توقيت الكون المحلي
34:6	الطبيعة المزدوجة للإنسان
34:7	«هذا هو الطريق.»
35:4	تجسيدات ملكي صادق
35:8	لانوناندكس الابتدائي|لانوناندكس الثانوي|لانوناندكس الثالث
36:4	عوالم الميدسونايترز|سالفينغتون عوالم النهائيين
36:5	(1) روح الحدس | (2) روح الفهم | (3) روح الشجاعة | (4) روح المعرفة | (5) روح المشورة | (6) روح العبادة | (7) روح الحكمة
37:2	خلق نجوم المساء | نجوم المساء الصاعدة | عوالم نجوم المساء
37:3	عوالم رؤساء الملائكة
37:5	مفوضو العرق | فيلق نبادون للكمال | عوالم البشر المندمجين بالروح
37:6	نظام نبادون التعليمي
37:8	الرسل المنفردون | مشرف دائرة الكون - أندوفونتيا | مدير التعداد - سالساتيا | المفتش المساعد | الحراس المعينون | الموفقون الكونيون | المستشارون الفنيون | المسجلون السماويون | رفاق المورونتيا
37:9	(1) سوساتيا|(2) يونيفيتاتيا|(3) الأبناء الماديون|(4) مخلوقات منتصف الطريق|المهجرون
37:10	سبيرونجا | سبورناجيا | مستعمرات المجاملة
38:8	(1) مرشحو الصعود | (2) الكروبيم في المرحلة المتوسطة | (3) الكروبيم المورونتي
38:9	(1) منتصف الطريق الأساسي | (2) منتصف الطريق الثانوي
39:1	(1) وزراء الابن الروحي | _خدمات العطاء | (2) مستشارو المحكمة | (3) موجهو الكون | (4) مستشارو التدريس | (5) مديرو التعيين | (6) المسجلون | (7) الوزراء غير المرتبطين
39:2	(1) فيلق الاستخبارات | (2) صوت الرحمة | (3) منسقو الأرواح | (4) المعلمون المساعدون | (5) الناقلون | تقنيات النقل السيرافية | (6) المسجلون | المذيعون | (7) الاحتياطيات
39:3	(1) مساعدو الإشراف | (2) خبراء التنبؤ القانوني | (3) المهندسون الاجتماعيون | (4) المحفزون الأخلاقيون | (5) الناقلون | (6) المسجلون | (7) الاحتياطيون
39:4	(1) المساعدون الإداريون | (2) مرشدو العدالة | (3) مفسرو المواطنة الكونية | (4) مُسرِّعو الأخلاق | (5) الناقلون | (6) المسجلون | (7) الاحتياطيون
