ref	subsections
0:3	Sedm absolutních myšlenek | Realita | Koncept JÁ JSEM
0:4	Ráj
0:12	Potvrzení
3:5	Nevyhnutelnosti
3:6	Požehnání
4:1	Prozřetelnost
6:4	Všemohoucnost, všudypřítomnost, vševědoucnost
7:5	Darování Věčného Syna | Darování Původního Michaela
8:4	Kreativní dcery
9:8	Funkční rodina Třetího Zdroje a Centra
10:5	Konečný, absonitní a absolutní postoj
10:6	Spravedlnost, důkazy a rozsudek
10:8	Meze smrtelného osudu
11:6	Neproniknutý prostor
11:7	Zóny středního prostoru
11:8	Síla, energie, moc
13:1	(1) Divinington|(2) Sonarington|(3) Spiritington|(4) Vicegerington|(5) Solitarington|(6) Seraphington|(7) Ascendington
13:4	Výkonná sídla hlavních duchů
14:1	Ráj-Havona den | Temná gravitační tělesa
14:4	Domorodci z Havony
14:5	Monotónnost a dobrodružství
15:7	Čas supervesmíru
15:9	Okruhy lokálního vesmíru
16:6	Kauzalita, povinnost a uctívání
17:1	Synové trinitizovaní tvory
19:4	Stacionární synové Trojice
21:0	Původní Michael
22:1	Trinitizovaní Synové Dosažení|Trinitizovaní Synové Výběru|Trinitizovaní Synové Dokonalosti
22:7	Vzestupci-trinitizovaní Synové|Ráj-Havona trinitizovaní Synové|Trinitizovaní synové osudu
23:3	Serafické a další prostorové rychlosti
23:4	Trinitizovaní synové osudu
24:6	Grandfanda, první vystoupající
26:1	Služební duchové Centrálního vesmíru|Služební duchové supervesmírů|Služební duchové lokálních vesmírů
26:3	(1) Vedoucí Harmony|(2) Hlavní zapisovatelé|(3) Vysílatelé|(4) Poslové|(5) Koordinátoři zpravodajských služeb|(6) Dopravní specialisté|(7) Záložní sbor
26:4	Příchod Vzestupců do Havony
26:8	Neschopnost najít Božstvo
26:10	Přiřazení poražených kandidátů
26:11	Synové trinitizovaní tvory
27:1	Povaha odpočinku
28:4	(1) Hlas Společného Činitele|(2) Hlas Sedmi Hlavních Duchů|(3) Hlas Synů Stvořitelů|(4) Hlas Andělských Zástupů|(5) Přijímače Vysílání|(6) Dopravní Osobnosti|(7) Rezervní Sbor
28:5	(1) Hlas moudrosti|(2) Duše filozofie|(3) Sjednocení duší|(4) Srdce rady|(5) Radost z existence|(6) Uspokojení ze služby|(7) Rozpoznávání duchů
28:6	(1) Význam počátků|(2) Paměť milosrdenství|(3) Důležitost času|(4) Slavnost důvěry|(5) Posvátnost služby|(6) a (7) Tajemství velikosti a duše dobra
29:2	(1) Supervizorové Nejvyšších Center|(2) Centra Havony|(3) Centra Supervesmírů|(4) Centra Lokálních Vesmírů|(5) Centra Souhvězdí|(6) Centra Systémů|(7) Neklasifikovaná Centra
29:4	(1) Přidružené směrovače výkonu|(2) Mechanické regulátory|(3) Transformátory energie|(4) Vysílače energie|(5) Primární asociátory|(6) Sekundární disociátory|(7) Frandalanky|Chronoldekové
29:5	Organizátoři primární vzniklé Mistrovské Síly, přidružení organizátoři transcendentální Mistrovské Síly
30:1	I. Bytosti trojjediného původu|II. Bytosti dvojího původu|III. Bytosti jediného původu|IV. Vzniklé transcendentální bytosti|V. Fragmentované entity Božstva|VI. Superosobní bytosti|VII. Neklasifikované a neodhalené řády
30:2	I. Rajská božstva|II. Nejvyšší duchové|III. Bytosti Trojice|IV. Synové Boží|V. Osobnosti Nekonečného Ducha|VI. Vesmírní Řiditelé Energie|VII. Sbor Trvalého Občanství|Složené osobnostní skupiny
30:3	(1) Hvězdní studenti|(2) Nebeští řemeslníci|(3) Ředitelé reverze|(4) Instruktoři rozšiřujících škol|(5) Různé záložní sbory|(6) Studentští návštěvníci|(7) Vzestupující poutníci
30:4	(1) Planetární smrtelníci|(2) Spící přeživší|(3) Studenti z obytných světů|(4) Morontiální pokrokáři|(5) Sbory supervesmíru|(6) Poutníci z Havony|(7) Příchozí do ráje
33:6	Čas lokálního vesmíru
34:6	Dvojí podstata člověka
34:7	„Tudy je ta cesta.“
35:4	Melchisedechovy inkarnace
35:8	Primární Lanonandekové|Sekundární Lanonandekové|Terciární Lanonandkové
36:4	Midsonitéři | Salvingtonské světy Finaliterů
36:5	(1) Duch intuice|(2) Duch porozumění|(3) Duch odvahy|(4) Duch poznání|(5) Duch rady|(6) Duch uctívání|(7) Duch moudrosti
37:2	Stvořené Večernice|Vzestupné Večernice|Světy Večernic
37:3	Světy archandělů
37:5	Rasoví komisaři|Nebadonský sbor dokonalosti|Světy smrtelníků spojených s duchem
37:6	Nebadonský vzdělávací systém
37:8	Osamělí poslové|Dozorce vesmírného okruhu - Andovontia|Ředitel sčítání lidu - Salsatia|Zástupce inspektora|Přidělení strážci|Vesmírní smírčí pracovníci|Techničtí poradci|Nebeští zapisovatelé|Morontiální společníci
37:9	(1) Susatia|(2) Univitatia|(3) Materiální synové|(4) Tvorové z Midway|Opouštětelé
37:10	Spironga|Spornagia|Zdvořilostní kolonie
38:8	(1) Kandidáti na Vzestup|(2) Cherubíni střední fáze|(3) Cherubíni morontiální
38:9	(1) Primární midbytosti | (2) Sekundární midbytosti
39:1	(1) Služebníci Syna-Ducha|_Služebníci pro zasvěcení|(2) Dvorní poradci|(3) Vesmírní orientátoři|(4) Učící poradci|(5) Ředitelé přidělení|(6) Zapisovatelé|(7) Nezávislí služebníci
