ref	subsections
0:3	De Syv Absolutter|Virkelighed|Begrebet om JEG ER
0:4	Paradis
0:12	Anerkendelse
3:5	Uundgåelighederne
3:6	Velsignelsen
4:1	Forsyn
6:4	Almagt, allestedsnærværelse, alvidenhed
7:5	Den Evige Søns Overdragelser | Den Oprindelige Mikaels Overdragelser
8:4	Kreative døtre
9:8	Funktionel familie af den Tredje Kilde og Center
10:5	Endelig, absonit og absolut holdning
10:6	Retfærdighed, beviser og dom
10:8	Grænser for den jordiske skæbne
11:6	Upervaderet rum
11:7	Midspace-zoner
11:8	Kraft, energi, kraft
13:1	(1) Divinington|(2) Sonarington|(3) Spiritington|(4) Vicegerington|(5) Solitarington|(6) Seraphington|(7) Ascendington
13:4	Mesteråndernes udøvende boliger
14:1	Paradise-Havona-dagen | De mørke tyngdekraftslegemer
14:4	Havona-indfødte
14:5	Monotoni og eventyr
15:7	Superunivers-tid
15:9	Lokale universkredsløb
16:6	Årsagssammenhæng, pligt og tilbedelse
17:1	Skabelses-treenigede Sønner
19:4	Stationære Treenighedens Sønner
21:0	Den originale Michael
22:1	Treenigede Sønner af Opnåelse | Treenigede Sønner af Udvælgelse | Treenigede Sønner af Fuldkommenhed
22:7	Opstigende-treenigede Sønner|Paradis-Havona treenigede Sønner|Skæbne-treenigede sønner
23:3	Serafiske og andre rumhastigheder
23:4	Treenigede skæbnesønner
24:6	Grandfanda, den første opstiger
26:1	Centraluniversets tjenende ånder | Superuniversernes tjenende ånder | Lokaluniversernes tjenende ånder
26:3	(1) Harmoni-tilsynsførende | (2) Chefregistratorerne | (3) Radioværterne | (4) Budbringerne | (5) Efterretningskoordinatorerne | (6) Transportpersonlighederne | (7) Reservekorpset
26:4	Ascenders ankomst til Havona
26:8	Manglende evne til at finde Guddommen
26:10	Tildelinger af besejrede kandidater
26:11	Skabelses-treenigede sønner
27:1	Hvilens natur
28:4	(1) Samvirkerens Stemme | (2) De Syv Mesterånders Stemme | (3) Skabersønnernes Stemme | (4) Engleskarernes Stemme | (5) Radiomodtagere | (6) Transportpersonligheder | (7) Reservekorpset
28:5	(1) Visdommens Stemme | (2) Filosofiens Sjæl | (3) Sjælenes Forening | (4) Rådgivningens Hjerte | (5) Tilværelsens Glæde | (6) Tjenestens Tilfredsstillelse | (7) Åndernes Opfatter
28:6	(1) Oprindelsens betydning | (2) Barmhjertighedens erindring | (3) Tidens betydning | (4) Tillidens højtidelighed | (5) Tjenestens hellighed | (6) og (7) Storhedens hemmelighed og godhedens sjæl
29:2	(1) Højeste Center Supervisorer|(2) Havona Centre|(3) Superunivers Centre|(4) Lokalunivers Centre|(5) Konstellations Centre|(6) System Centre|(7) Uklassificerede Centre
