ref	subsections
0:3	Die Sieben Absoluten | Realität | Konzept des ICH BIN 
0:4	Paradies 
0:12	Anerkennung 
3:5	Die Unausweichlichkeiten 
3:6	Der 
4:1	Segen Vorsehung 
6:4	Allmacht, Allgegenwart, Allwissenheit 
7:5	Gaben des Ewigen Sohnes | Gaben des Ur-Michael 
8:4	Schöpferische Töchter 
9:8	Funktionale Familie der Dritten Quelle und des Zentrums 
10:5	Endliche, absonitische und absolute Haltung 
10:6	Gerechtigkeit, Beweise und Urteil 
10:8	Grenzen des sterblichen Schicksals 
11:6	Undurchdrungener Raum 
11:7	Zwischenraumzonen 
11:8	Kraft, Energie, Macht 
13:1	(1) Divinington | (2) Sonarington | (3) Spiritington | (4) Vicegerington | (5) Solitarington | (6) Seraphington | (7) Ascendington 
13:4	Exekutive Wohnstätten der Meistergeister 
14:1	Paradies-Havona-Tag | Die dunklen Gravitationskörper 
14:4	Havona-Einheimische 
14:5	Monotonie und Abenteuer 
15:7	Superuniversum-Zeit 
15:9	Lokale Universumskreisläufe 
16:6	Kausalität, Pflicht und Anbetung 
17:1	Kreatur-trinitisierte Söhne 
19:4	Stationäre Söhne der Dreifaltigkeit 
21:0	Der Ur-Michael 
22:1	Trinitisierte Söhne der Erlangung | Trinitisierte Söhne der Auswahl | Trinitisierte Söhne von Perfektionierte 
22:7	aufgestiegene trinitisierte Söhne | Paradies-Havona trinitisierte Söhne | Trinitisierte Schicksalssöhne 
23:3	Seraphische und andere Raumgeschwindigkeiten 
23:4	Trinitisierte Schicksalssöhne 
24:6	Grandfanda, der erste Aufsteiger 
26:1	Dienende Geister des Zentraluniversums | Dienende Geister der Superuniversen | Dienende Geister der Lokaluniversen 
26:3	(1) Die Harmonie-Aufseher | (2) Die Hauptaufzeichnungsgeräte | (3) Die Sender | (4) Die Boten | (5) Die Geheimdienstkoordinatoren | (6) Die Transportpersönlichkeiten | (7) Das Reservekorps 
26:4	Ankunft der Aufgestiegenen in Havona 
26:8	Scheitern bei der Suche nach der Gottheit 
26:10	Aufgaben besiegter Kandidaten 
26:11	Kreaturen-trinitisierte Söhne 
27:1	Natur der Ruhe 
28:4	(1) Die Stimme des gemeinsamen Akteurs | (2) Die Stimme der Sieben Meistergeister | (3) Die Stimme der Schöpfersöhne | (4) Die Stimme der Engelsheerscharen | (5) Senderempfänger | (6) Transport Persönlichkeiten|(7) Das Reservekorps 
28:5	(1) Die Stimme der Weisheit|(2) Die Seele der Philosophie|(3) Die Vereinigung der Seelen|(4) Das Herz des Rats|(5) Die Freude am Dasein|(6) Die Befriedigung des Dienens|(7) Der Unterscheider der Geister 
28:6	(1) Die Bedeutung des Ursprungs|(2) Die Erinnerung an die Barmherzigkeit|(3) Die Bedeutung der Zeit|(4) Die Feierlichkeit des Vertrauens|(5) Die Heiligkeit des Dienens|(6) und (7) Das Geheimnis der Größe und die Seele der Güte 
29:2	(1) Oberste Zentrumsleiter|(2) Havona-Zentren|(3) Superuniversumszentren|(4) Lokale Universumszentren|(5) Konstellationszentren|(6) Systemzentren|(7) Nicht klassifizierte Zentren
29:4	(1) Assoziierte Machtleiter | (2) Mechanische Steuerungen | (3) Energietransformatoren | (4) Energieübertrager | (5) Primäre Assoziatoren | (6) Sekundäre Dissoziatoren | (7) Die Frandalanks | Die Chronoldeks 
29:5	Primäre Eventuierte Meisterkraftorganisatoren Assoziierte transzendentale Meisterkraftorganisatoren 
30:1	I. Wesen trinien Ursprungs | II. Wesen dualen Ursprungs | III. Wesen monoen Ursprungs | IV. Eventuierte transzendentale Wesen | V. Fragmentierte göttliche Wesenheiten | VI. Überpersönliche Wesen | VII. Nicht klassifizierte und unenthüllte Ordnungen 
30:2	I. Die Paradiesgötter | II. Die Höchsten Geister | III. Die Wesen trinienen Ursprungs | IV. Die Söhne Gottes | V. Persönlichkeiten des Unendlichen Geistes | VI. Die Universums-Machtleiter | VII. Das Korps der ständigen Staatsbürgerschaft | Zusammengesetzte Persönlichkeitsgruppen 
30:3	(1) Die Sternenschüler | (2) Die himmlischen Handwerker | (3) Die Rückkehrdirektoren | (4) Ausbilder der Erweiterungsschule | (5) Die verschiedenen Reservekorps | (6) Die studentischen Besucher | (7) Die aufsteigenden Pilger 
30:4	(1) Planetare Sterbliche | (2) Schlafende Überlebende | (3) Schüler der Herrenhauswelt | (4) Morontia-Fortschritter | (5) Superuniversums-Schutzbefohlene | (6) Havona-Pilger | (7) Paradiesankünfte 
33:6	Lokale Universumszeit 
34:6	Duale Natur des Menschen 
34:7	„Dies ist der Weg.“ 
35:4	Melchizedek-Inkarnationen 
35:8	Primäre Lanonandeks | Sekundäre Lanonandeks | Tertiäre Lanonandeks 
36:4	Die Midsoniter | Salvington Welten der Finaliter 
36:5	(1) Der Geist der Intuition | (2) Der Geist des Verstehens | (3) Der Geist des Mutes | (4) Der Geist des Wissens | (5) Der Geist des Rates | (6) Der Geist der Anbetung | (7) Der Geist der Weisheit 
37:2	Erschaffene Abendsterne | Aufsteigende Abendsterne | Die Welten der Abendsterne 
37:3	Die Welten der Erzengel 
37:5	Rassenkommissare | Nebadon-Korps der Perfektion | Welten der mit dem Geist verschmolzenen Sterblichen 
37:6	Nebadon-Bildungssystem 
37:8	Einsame Boten | Universumskreisleiter-Andovontia | Zensusdirektor-Salsatia | Stellvertretender Inspektor | Zugewiesene Wächter | Universelle Vermittler | Technische Berater | Himmlische Chronisten | Morontia-Gefährten 
37:9	(1) Susatia | (2) Univitatia|(3) Materielle Söhne|(4) Kreaturen der Zwischenwelt|Verlassene 
37:10	Die Spironga|Die Spornagia|Höflichkeitskolonien 
38:8	(1) Aufstiegskandidaten|(2) Cherubim der mittleren Phase|(3) Morontia-Cherubim 
38:9	(1) Primäre Zwischenweltler|(2) Sekundäre Zwischenweltler 
