ref	subsections
0:3	Τα Επτά Απόλυτα|Πραγματικότητα|Έννοια του ΕΓΩ ΕΙΜΑΙ
0:4	Παράδεισος
0:12	Αναγνώριση
3:5	Τα αναπόφευκτα
3:6	Η ευλογία
4:1	Πρόνοια
6:4	Παντοδυναμία, πανταχού παρουσία, παντογνωσία
7:5	Ενσαρκώσεις του Αιώνιου Υιού | Ενσαρκώσεις του Αρχικού Μιχαήλ
8:4	Δημιουργικές Κόρες
9:8	Λειτουργική οικογένεια της Τρίτης Πηγής και Κέντρου
10:5	Πεπερασμένη, απολυτοειδής και απόλυτη στάση
10:6	Δικαιοσύνη, αποδεικτικά στοιχεία και κρίση
10:8	Όρια του θνητού πεπρωμένου
11:6	Αδιαπέραστος χώρος
11:7	Ζώνες μεσαίου χώρου
11:8	Δύναμη, ενέργεια, ισχύς
13:1	(1) Ντίβινινγκτον|(2) Σόναριγκτον|(3) Σπίριτινγκτον|(4) Βάιστζερινγκτον|(5) Σολιτάριγκτον|(6) Σεραφίνγκτον|(7) Άσεντινγκτον
13:4	Εκτελεστικές κατοικίες των Κυρίαρχων Πνευμάτων
14:1	Ημέρα Παραδείσου-Χαβόνα|Τα σώματα σκοτεινής βαρύτητας
14:4	Ιθαγενείς της Χαβόνα
14:5	Μονοτονία και περιπέτεια
15:7	Ώρα υπερσύμπαντος
15:9	Κυκλώματα τοπικού σύμπαντος
16:6	Αιτιώδης συνάφεια, καθήκον και λατρεία
17:1	Τριαδοποιημένοι από πλάσματα Υιοί
19:4	Σταθεροί Υιοί της Αγίας Τριάδας
21:0	Ο Αυθεντικός Μάικλ
22:1	Τριαδοποιημένοι Υιοί της Επίτευξης|Τριαδοποιημένοι Υιοί της Επιλογής|Τριαδοποιημένοι Υιοί της Τελειότητας
22:7	Αναληφθέντες-τριαδοποιημένοι Υιοί|Παράδεισος-Χαβόνα τριαδοποιημένοι Υιοί|Τριαδοποιημένοι γιοι του πεπρωμένου
23:3	Σεραφικές και άλλες διαστημικές ταχύτητες
23:4	Τριαδοποιημένοι γιοι του πεπρωμένου
24:6	Παππούς, ο πρώτος που ανήλθε
26:1	Λειτουργικά Πνεύματα του Κεντρικού Σύμπαντος|Λειτουργικά Πνεύματα των Υπερσυμπάντων|Λειτουργικά Πνεύματα των Τοπικών Συμπάντων
26:3	(1) Οι Επόπτες της Αρμονίας|(2) Οι Αρχιγραμματείς|(3) Οι Εκπομπείς|(4) Οι Αγγελιοφόροι|(5) Οι Συντονιστές Πληροφοριών|(6) Οι Προσωπικότητες Μεταφορών|(7) Το Σώμα Εφέδρων
26:4	Άφιξη των Αναχωρητών στη Χαβόνα
26:8	Αποτυχία εύρεσης Θεότητας
26:10	Αναθέσεις σε ηττημένους υποψηφίους
26:11	Τριαδοποιημένοι γιοι από πλάσματα
