ref	subsections
0:3	The Seven Absolutes|Reality|Concept of the I AM
0:4	Paradise
0:12	Acknowledgment
3:5	The inevitabilities
3:6	The benediction
4:1	Providence
6:4	Omnipotence, omnipresence, omniscience
7:5	Bestowals of the Eternal Son|Bestowals of the Original Michael
8:4	Creative Daughters
9:8	Functional family of the Third Source and Center
10:5	Finite, absonite, and absolute attitude
10:6	Justice, evidence, and judgment
10:8	Limits of mortal destiny
11:6	Unpervaded space
11:7	Midspace zones
11:8	Force, energy, power
13:1	(1) Divinington|(2) Sonarington|(3) Spiritington|(4) Vicegerington|(5) Solitarington|(6) Seraphington|(7) Ascendington
13:4	Executive abodes of the Master Spirits
14:1	Paradise-Havona day|The dark gravity bodies
14:4	Havona natives
14:5	Monotony and adventure
15:7	Superuniverse time
15:9	Local universe circuits
16:6	Causation, duty, and worship
17:1	Creature-trinitized Sons
19:4	Stationary Sons of the Trinity
21:0	The Original Michael
22:1	Trinitized Sons of Attainment|Trinitized Sons of Selection|Trinitized Sons of Perfection
22:7	Ascender-trinitized Sons|Paradise-Havona trinitized Sons|Trinitized sons of destiny
23:3	Seraphic and other space velocities
23:4	Trinitized sons of destiny
24:6	Grandfanda, the first ascender
26:1	Ministering Spirits of the Central Universe|Ministering Spirits of the Superuniverses|Ministering Spirits of the Local Universes
26:3	(1) The Harmony Supervisors|(2) The Chief Recorders|(3) The Broadcasters|(4) The Messengers|(5) The Intelligence Co-ordinators|(6) The Transport Personalities|(7) The Reserve Corps
26:4	Ascenders' arrival in Havona
26:8	Failure to find Deity
26:10	Assignments of defeated candidates
26:11	Creature-trinitized sons
27:1	Nature of rest
28:4	(1) The Voice of the Conjoint Actor|(2) The Voice of the Seven Master Spirits|(3) The Voice of the Creator Sons|(4) The Voice of the Angelic Hosts|(5) Broadcast Receivers|(6) Transport Personalities|(7) The Reserve Corps
28:5	(1) The Voice of Wisdom|(2) The Soul of Philosophy|(3) The Union of Souls|(4) The Heart of Counsel|(5) The Joy of Existence|(6) The Satisfaction of Service|(7) The Discerner of Spirits
28:6	(1) The Significance of Origins|(2) The Memory of Mercy|(3) The Import of Time|(4) The Solemnity of Trust|(5) The Sanctity of Service|(6) and (7) The Secret of Greatness and the Soul of Goodness
29:2	(1) Supreme Center Supervisors|(2) Havona Centers|(3) Superuniverse Centers|(4) Local Universe Centers|(5) Constellation Centers|(6) System Centers|(7) Unclassified Centers
