ref	subsections
0:3	Los siete Absolutos|La realidad|El concepto del YO SOY
0:4	El Paraíso
0:12	Agradecimiento
3:5	Las inevitabilidades
3:6	La bendición
4:1	La providencia
6:4	La omnipotencia, la omnipresencia, la omnisciencia
7:5	Las donaciones del Hijo Eterno|Las donaciones del Miguel original
8:4	Las Hijas Creativas
9:8	La familia funcional de la Tercera Fuente y Centro
10:5	Las actitudes finita, absonita y absoluta
10:6	La justicia, las pruebas y el juicio
10:8	Las limitaciones del destino de los mortales
11:6	El espacio no penetrado
11:7	Las zonas del espacio intermedio
11:8	Fuerza, energía y poder
13:1	(1) Divinington|(2) Sonarington|(3) Spiritington|(4) Vicegerington|(5) Solitarington|(6) Serafington|(7) Ascendington
13:4	Las residencias ejecutivas de los Siete Espíritus Maestros
14:1	El día del Paraíso-Havona|Los cuerpos gravitatorios oscuros
14:4	Los nativos de Havona
14:5	La monotonía y la aventura
15:7	El tiempo de los superuniversos
15:9	Los circuitos del universo local
16:6	La causalidad, el deber y la adoración
17:1	Los hijos trinitizados por los mortales
19:4	Los Hijos Estacionarios Trinitarios
21:0	El Miguel original
22:1	Los Hijos de la Consecución Trinitizados|Los Hijos de la Elección Trinitizados|Los Hijos de la Perfección Trinitizados
22:7	Los hijos trinitizados por los ascendentes|Los hijos trinitizados por las criaturas del Paraíso-Havona|Los Hijos del destino trinitizados
23:3	Velocidades de los serafines y otros seres
23:4	Los hijos del destino trinitizados
24:6	Grandfanda, el primer peregrino
26:1	Los espíritus ministrantes del universo central|Los espíritus ministrantes de los superuniversos|Los espíritus ministrantes de los universos locales
26:3	(1) Los Supervisores de la Armonía|(2) Los Jefes Archivistas|(3) Los Transmisores|(4) Los Mensajeros|(5) Los Coordinadores de la Información|(6) Las Personalidades de Transporte|(7) El Cuerpo de Reserva
26:4	La llegada de los peregrinos a Havona
26:8	El fracaso en encontrar a la Deidad
26:10	Las tareas de los candidatos decepcionados
26:11	Los hijos trinitizados por las criaturas
27:1	La naturaleza del descanso
28:4	(1) La Voz del Actor Conjunto|(2) La Voz de los Siete Espíritus Maestros|(3) La Voz de los Hijos Creadores|(4) La Voz de las Huestes Angélicas|(5) Los Receptores de las Transmisiones|(6) Las Personalidades de Transporte|(7) El Cuerpo de Reserva
28:5	(1) La Voz de la Sabiduría|(2) El Alma de la Filosofía|(3) La Unión de las Almas|(4) El Corazón del Consejo|(5) La Alegría de la Existencia|(6) La Satisfacción del Servicio|(7) Los Discernidores de los Espíritus
28:6	(1) La Relevancia de los Orígenes| (2) La Memoria de la Misericordia| (3) La Importancia del Tiempo| (4) La Solemnidad de la Confianza| (5) La Santidad del Servicio| (6) y (7) El Secreto de la Grandeza y el Alma de la Bondad
29:2	(1) Los Supervisores Supremos de los Centros|(2) Los Centros de Havona|(3) Los Centros de los Superuniversos|(4) Los Centros de los Universos Locales|(5) Los Centros de las Constelaciones|(6)Los Centros de los Sistemas|(7) Los Centros no clasificados
29:4	(1) Los Directores Asociados del Poder|(2) Los Controladores Maquinales|(3) Los Transformadores de la Energía|(4) Los Transmisores de la Energía|(5) Los Asociadores Primarios|(6) Los Disociadores Secundarios|(7) Los Frandalanks y los Cronoldeks
29:5	Los Organizadores de la Fuerza Existenciados Primarios|Los Organizadores de la Fuerza Trascendentales Asociados
30:1	I. Seres de origen trino|II. Seres de origen doble|III. Seres de origen único|IV. Seres trascendentales existenciados|V. Entidades fragmentadas de la Deidad|VI. Seres superpersonales|VII. Órdenes no clasificadas y no reveladas
