ref	subsections
0:3	Seitse Absoluuti|Reaalsus|MINA OLEN mõiste
0:4	Paradiis
0:12	Tänusõnad
3:5	Paratamatused
3:6	Õnnistus
4:1	Ettehooldus
6:4	Kõikvõimsus, kõikjalolek, kõiketeadmine
7:5	Igavese Poja annetused | Algse Miikaeli annetused
8:4	Loomingulised tütred
9:8	Kolmanda Allika ja Keskme funktsionaalne perekond
10:5	Lõplik, absoniitne ja absoluutne suhtumine
10:6	Õiglus, tõendid ja kohtuotsus
10:8	Sureliku saatuse piirid
11:6	Läbimatu ruum
11:7	Keskmise ruumi tsoonid
11:8	Jõud, energia, võimsus
13:1	(1) Divinington|(2) Sonarington|(3) Spiritington|(4) Vicegerington|(5) Solitarington|(6) Seraphington|(7) Ascendington
13:4	Meistervaimude täidesaatvad elupaigad
14:1	Paradiisi-Havona päev | Tumedad gravitatsioonikehad
14:4	Havona põliselanikud
14:5	Monotoonsus ja seiklus
15:7	Superuniversumi aeg
15:9	Kohaliku universumi vooluringid
16:6	Põhjuslikkus, kohustus ja kummardamine
17:1	Olendite poolt kolmsustatud Pojad
19:4	Kolmainsuse statsionaarsed pojad
21:0	Algne Michael
22:1	Kolmainsustatud Saavutuse Pojad|Kolainsustatud Valiku Pojad|Telainsustatud Täiuslikkuse Pojad
22:7	Tõusutee-kolminiseeritud Pojad|Paradiisi-Havona kolminiseeritud Pojad|Saatuse kolminiseeritud pojad
23:3	Seeravite ja teiste kosmosekiiruste
23:4	Saatuse kolmainsustatud pojad
24:6	Grandfanda, esimene tõusja
26:1	Keskuniversumi Teenivad Vaimud|Superuniversumite Teenivad Vaimud|Kohalike universumite Teenivad Vaimud
26:3	(1) Harmoonia Järelevaatajad | (2) Pearegistreerijad | (3) Ringhäälinguorganisatsioonide töötajad | (4) Sõnumitoojad | (5) Luurekoordinaatorid | (6) Transpordiisikud | (7) Reservkorpus
26:4	Tõusuteeliste saabumine Havonasse
26:8	Jumaluse leidmata jätmine
26:10	Lüüasaanud kandidaatide ülesanded
26:11	Olendite poolt kolmainsustatud pojad
27:1	Puhkuse olemus
