ref	subsections
0:3	هفت مطلق|واقعیت|مفهوم 
0:4	تصدیق 
0:12	بهشت ​​من هستم 
3:5	اجتناب‌ناپذیری‌ها 
3:6	نیایش 
4:1	مشیت 
6:4	قدرت مطلق، حضور مطلق، علم مطلق 
7:5	عطایای پسر جاودان|عطایای میکائیل اولیه 
8:4	دختران خلاق 
9:8	خانواده‌ی کارآمد منبع و مرکز سوم 
10:5	نگرش متناهی، ابسونایت و مطلق 
10:6	عدالت، گواه و داوری 
10:8	محدودیت‌های سرنوشت فانی 
11:6	فضای اشغال نشده 
11:7	مناطق فضای میانی 
11:8	نیرو، انرژی، قدرت 
13:1	(1) دیوینینگتون|(2) سونارینگتون|(3) اسپیریتینگتون|(4) وایسجرینگتون|(5) سولیتارینگتون|(6) سرافینگتون|(7) آسندینگتون 
13:4	منزلگاه‌های اجرایی ارواح استاد 
14:1	روز بهشت-هاونا|اجسام تاریک جاذبه‌ای 
14:4	بومیان هاونا 
14:5	یکنواختی و ماجراجویی 
15:7	زمان ابرجهان 
15:9	مدارهای جهان محلی 
16:6	علیت، وظیفه و پرستش 
17:1	پسران تثلیث‌شده در مخلوق 
19:4	پسران ثابت تثلیث 
21:0	میکائیل اولیه 
22:1	پسران تثلیث‌یافته‌ی دستیابی|پسران تثلیث‌یافته‌ی انتخاب|پسران تثلیث یافته کمال 
22:7	پسران تثلیث یافته صعودکننده|پسران تثلیث یافته بهشت-هاونا|پسران تثلیث یافته سرنوشت 
23:3	سرعت‌های فضایی سراف و سایر 
23:4	پسران تثلیث یافته سرنوشت 
24:6	گرندفاندا، اولین صعودکننده 
26:1	ارواح خدمتگزار جهان مرکزی|ارواح خدمتگزار ابرجهان‌ها|ارواح خدمتگزار جهان‌های محلی 
26:3	(1) سرپرستان هماهنگی|(2) ثبت‌کنندگان اصلی|(3) پخش‌کنندگان|(4) پیام‌آوران|(5) هماهنگ‌کنندگان اطلاعات|(6) شخصیت‌های انتقال|(7) 
26:4	ورود سپاه ذخیره صعودکنندگان به هاونا 
26:8	عدم یافتن 
26:10	تکالیف الوهیت نامزدهای شکست خورده 
26:11	پسران تثلیث یافته مخلوق 
27:1	ماهیت استراحت 
28:4	(1) صدای عامل مشترک|(2) صدای هفت روح استاد|(3) صدای پسران آفریننده|(4) صدای سپاهیان فرشتگان|(5) گیرنده‌های پخش|(6) انتقال شخصیت‌ها|(7) سپاه ذخیره 
28:5	(1) صدای خرد|(2) روح فلسفه|(3) اتحاد ارواح|(4) قلب مشورت|(5) شادی وجود|(6) رضایت از خدمت|(7) تشخیص‌دهنده ارواح 
28:6	(1) اهمیت منشأها|(2) خاطره رحمت|(3) اهمیت زمان|(4) هیبت اعتماد|(5) تقدس خدمت|(6) و (7) راز عظمت و روح نیکی 
29:2	(1) سرپرستان مراکز عالی|(2) مراکز هاونا|(3) مراکز ابرجهان|(4) مراکز جهان محلی|(5) مراکز فلکی|(6) مراکز سیستم|(7) مراکز طبقه‌بندی نشده
29:4	(1) مدیران نیروی وابسته|(2) کنترل‌کنندگان مکانیکی|(3) مبدل‌های انرژی|(4) انتقال‌دهنده‌های انرژی|(5) مرتبط‌کنندگان اولیه|(6) تفکیک‌کنندگان ثانویه|(7) فراندالانک‌ها|کرونولدکس‌ها 
29:5	سازمان‌دهندگان اولیه نیروی استاد منتج‌شده سازمان‌دهندگان نیروی استاد متعالی منتج‌شده 
30:1	I. موجودات سه‌گانه-منشأ|II. موجودات دوگانه-منشأ|III. موجودات تک‌منشأ|IV. موجودات متعالی منتج‌شده|V. موجودات تکه‌تکه‌شده الوهیت|VI. موجودات فوق‌شخصی|VII. رسته‌های طبقه‌بندی‌نشده و آشکارنشده 
30:2	I. خدایان بهشت|II. ارواح متعالی|III. موجودات تثلیث-منشأ|IV. پسران خدا|V. شخصیت‌های روح بیکران|VI. مدیران نیروی جهان|VII. سپاه شهروندی دائم|گروه‌های شخصیتی مرکب 
30:3	(1) دانشجویان ستاره‌ای|(2) صنعتگران آسمانی|(3) مدیران بازگشت|(4) مربیان مدارس ترویجی|(5) سپاه ذخیره مختلف|(6) بازدیدکنندگان دانشجو|(7) زائران صعودی 
30:4	(1) انسان‌های سیاره‌ای|(2) بازماندگان خفته|(3) دانشجویان کرات قصر|(4) پیشروندگان مورانشیا|(5) نگهبانان ابرجهان|(6) زائران هاونا|(7) ورود به بهشت 
33:6	​​زمان جهان محلی 
34:6	طبیعت دوگانه انسان 
34:7	"این راه است." 
35:4	تجسم‌های ملک صادق 
35:8	لانوناندک‌های اولیه|لانوناندک‌های ثانویه|لانوناندک‌های سوم 
36:4	میدسونایترها|کرات پایان‌دهندگان در سلوینگتون 
36:5	(1) روح شهود|(2) روح فهم|(3) روح شجاعت|(4) روح دانش|(5) روح تدبیر|(6) روح پرستش|(7) روح خرد 
37:2	ستارگان عصر آفریده شده|ستارگان عصر فرازگرا|کرات ستارگان عصر کرات 
37:3	فرشتگان اعظم 
37:5	مأموران نژادی|سپاه کمال نبادان|کرات انسان‌های با روح پیوند خورده 
37:6	سیستم آموزشی نبادان 
37:8	پیام‌آوران منفرد|سرپرست مدار جهان-آندوونشیا|مدیر سرشماری-سالساتیا|بازرس همکار|نگهبانان منصوب|آشتی‌دهندگان جهانی|مشاوران فنی|ثبت‌کنندگان آسمانی|یاران مورانشیا 
37:9	(1) سوساتیا|(2) یونیویتاتیا|(3) پسران مادی|(4) موجودات بینابینی|رهاکنندگان 
37:10	اسپیرونگا|اسپورناگیا|کلنی‌های محترم 
38:8	(1) کاندیداهای صعود|(2) کروبیان مرحله میانی|(3) کروبیان مورانشیا 
38:9	(1) بینابینی‌های اولیه|(2) بینابینی‌های ثانویه 
