ref	subsections
0:3	Seitsemän absoluuttia|Todellisuus|MINÄ OLEN -käsite 
0:4	Paratiisin 
0:12	tunnustus 
3:5	Väistämättömyydet 
3:6	Siunaus 
4:1	Kaitselmus 
6:4	Kaikkivaltius, kaikkialla läsnäolo, kaikkitietävyys 
7:5	Iankaikkisen Pojan lahjoitukset|Alkuperäisen Mikaelin 
8:4	Luovien Tyttärien lahjoitukset 
9:8	Kolmannen Lähteen ja Keskuksen toiminnallinen perhe 
10:5	Äärellinen, absoniittinen ja absoluuttinen asenne 
10:6	Oikeudenmukaisuus, todisteet ja harkintakyky 
10:8	Kuolevaisen kohtalon rajat 
11:6	Läpäisemätön avaruus 
11:7	Keskiavaruuden vyöhykkeet 
11:8	Voima, energia, valta 
13:1	(1) Divinington|(2) Sonarington|(3) Spiritington|(4) Vicegerington|(5) Solitarington|(6) Seraphington|(7) Ascendington 
13:4	Mestarihenkien toimeenpanoasunnot 
14:1	Paratiisi-Havonan päivä|Pimeät gravitaatiokappaleet 
14:4	Havonan alkuperäisasukkaat 
14:5	Yksitoikkoisuus ja seikkailu 
15:7	Superuniversumin aika 
15:9	Paikallisuniversumin virtapiirit 
16:6	Syy-seuraussuhde, velvollisuus ja palvonta 
17:1	Olentojen kolminaistamat Pojat 
19:4	Kolminaisuuden Paikallisyhteisön Pojat 
21:0	Alkuperäinen Mikael 
22:1	Kolminaistamat Saavutuksen Pojat|Kolminaistamat Valinnan Pojat|Kolminaistamat Täydellisyyden Pojat 
22:7	Ylösnousemusmatkailijoiden kolminaistamat Pojat|Paratiisi-Havonan kolminaistamat Pojat|Kohtalon kolminaistamat pojat 
23:3	Serafien ja muiden avaruusnopeuksien 
23:4	kolminaistamat kohtalon pojat 
24:6	Grandfanda, ensimmäinen ylösnousemusmatkailija 
26:1	Keskusuniversumin hoivaavat henget|Superuniversumien hoivaavat henget|Paikallisuniversumien hoivaavat henget 
26:3	(1) Harmonian valvojat|(2) Pääkirjoittajat|(3) Lähettäjät|(4) Sanansaattajat|(5) Älykkyyden koordinaattorit|(6) Kuljetuspersoonallisuudet|(7) Reservijoukko 
26:4	Ylösnousemusmatkailijoiden saapuminen Havonaan 
26:8	Jumaluuden löytämättä jättäminen 
26:10	Voitettujen ehdokkaiden määräykset Olentojen 
26:11	kolminaistamat pojat 
27:1	Levon luonne 
28:4	(1) Myötätoimijan ääni|(2) Seitsemän Mestarihengen ääni|(3) Luoja-Poikien ääni|(4) Enkelijoukkojen ääni|(5) Lähetysten vastaanottajat|(6) Kuljetuspersoonallisuudet|(7) Reservijoukko 
28:5	(1) Viisauden ääni|(2) Filosofian sielu|(3) Sielujen liitto|(4) Neuvon sydän|(5) Olemassaolon ilo|(6) Palvelun tyydytys|(7) Henkien erottaja 
28:6	(1) Alkuperän merkitys|(2) Armon muisti|(3) Ajan tärkeys|(4) Luottamuksen juhlallisuus|(5) Palvelun pyhyys|(6) ja (7) Suuruuden salaisuus ja hyvyyden sielu 
29:2	(1) Korkeimpien keskusten valvojat|(2) Havonan keskukset|(3) Superuniversumikeskukset|(4) Paikallisuniversumikeskukset|(5) Tähtikuviokeskukset|(6) Järjestelmäkeskukset|(7) Luokittelemattomat keskukset 
29:4	(1) Apulaisvoimanohjaajat|(2) Mekaaniset ohjaajat|(3) Energianmuuntajat|(4) Energianvälittäjät|(5) Ensisijaiset yhdistäjät|(6) Toissijaiset erottajat|(7) Frandalankit|Kronoldekit 
29:5	Ensisijaiset olevaistuneet Voiman Pääjärjestäjät Apulaistranssendentaaliset Voiman Pääjärjestäjät 
30:1	I. Kolmiyhteistä alkuperää olevat olennot|II. Kaksinkertaista alkuperää olevat olennot|III. Yksinkertaista alkuperää olevat olennot|IV. Esseenmuotoiset Transsendentaaliset olennot|V. Jumaluuden Pirstaleiset Entiteetit|VI. Ylipersoonalliset Olennot|VII. Luokittelemattomat ja Paljastuneet Järjestykset 
30:2	I. Paratiisin Jumaluudet|II. Korkeimmat Henget|III. Kolminaisuusperää olevat olennot|IV. Jumalan Pojat|V. Äärettömän Hengen Persoonallisuudet|VI. Universumin Voimanohjaajat|VII. Pysyvän Kansalaisuuden Johtokunta | Yhdistetyt Persoonallisuusryhmät 
