ref	subsections
0:3	Les Sept Absolus | Réalité | Concept du JE SUIS
0:4	Paradis
0:12	Reconnaissance
3:5	Les inévitables
3:6	La bénédiction
4:1	Providence
6:4	Omnipotence, omniprésence, omniscience
7:5	Dons du Fils Éternel | Dons du Michel Originel
8:4	Filles créatives
9:8	Famille fonctionnelle de la Troisième Source et du Centre
10:5	Fini, absonite et attitude absolue
10:6	Justice, preuves et jugement
10:8	Les limites du destin mortel
11:6	Espace non envahi
11:7	Zones intermédiaires
11:8	Force, énergie, puissance
13:1	(1) Divinington|(2) Sonarington|(3) Spiritington|(4) Vicegerington|(5) Solitarington|(6) Seraphington|(7) Ascendington
13:4	Résidences exécutives des Maîtres Spirituels
14:1	Journée Paradise-Havona | Les corps de gravité sombres
14:4	Les natifs d'Havona
14:5	Monotonie et aventure
15:7	Temps du superunivers
15:9	circuits de l'univers local
16:6	Causalité, devoir et culte
17:1	Fils trinités de la créature
19:4	Fils stationnaires de la Trinité
21:0	Le Michael original
22:1	Fils trinitaires de l'accomplissement | Fils trinitaires de la sélection | Fils trinitaires de la perfection
22:7	Fils trinitaires de l'Ascendant | Fils trinitaires du Paradis-Havona | Fils trinitaires du destin
23:3	Vitesses séraphiques et autres vitesses spatiales
23:4	Fils trinitaires du destin
24:6	Grandfanda, le premier ascendant
26:1	Esprits serviteurs de l'Univers central | Esprits serviteurs des superunivers | Esprits serviteurs des univers locaux
26:3	(1) Les superviseurs de l'harmonie | (2) Les secrétaires généraux | (3) Les diffuseurs | (4) Les messagers | (5) Les coordinateurs du renseignement | (6) Les responsables des transports | (7) Le corps de réserve
26:4	L'arrivée des Ascenders à Havona
26:8	Échec de la recherche de la divinité
26:10	Affectations des candidats défaits
26:11	Fils trinitaires de la créature
27:1	Nature du repos
28:4	(1) La Voix de l'Acteur Conjoint | (2) La Voix des Sept Esprits Maîtres | (3) La Voix des Fils Créateurs | (4) La Voix des Armées Angéliques | (5) Les Récepteurs de Diffusion | (6) Les Personnalités de Transport | (7) Le Corps de Réserve
28:5	(1) La Voix de la Sagesse | (2) L'Âme de la Philosophie | (3) L'Union des Âmes | (4) Le Cœur du Conseil | (5) La Joie d'Exister | (6) La Satisfaction du Service | (7) Le Discernement des Esprits
28:6	(1) L'importance des origines | (2) Le souvenir de la miséricorde | (3) L'importance du temps | (4) La solennité de la confiance | (5) Le caractère sacré du service | (6) et (7) Le secret de la grandeur et l'âme de la bonté
29:2	(1) Superviseurs des Centres Suprêmes | (2) Centres Havona | (3) Centres des Superunivers | (4) Centres des Univers Locaux | (5) Centres des Constellations | (6) Centres des Systèmes | (7) Centres Non Classifiés
29:4	(1) Directeurs de puissance associés | (2) Contrôleurs mécaniques | (3) Transformateurs d'énergie | (4) Transmetteurs d'énergie | (5) Associateurs primaires | (6) Dissociateurs secondaires | (7) Les Frandalanks | Les Chronoldeks
29:5	Organisateurs principaux de la Force Maîtresse Éventée, Organisateurs associés de la Force Maîtresse Transcendantale
30:1	I. Êtres à triple origine | II. Êtres à double origine | III. Êtres à origine unique | IV. Êtres transcendantaux réalisés | V. Entités fragmentées de la divinité | VI. Êtres surpersonnels | VII. Ordres non classifiés et non révélés
30:2	I. Les Déités du Paradis | II. Les Esprits Suprêmes | III. Les Êtres Originels de la Trinité | IV. Les Fils de Dieu | V. Les Personnalités de l'Esprit Infini | VI. Les Directeurs du Pouvoir Universel | VII. Le Corps de la Citoyenneté Permanente | Groupes de Personnalités Composites
30:3	(1) Les étudiants étoiles | (2) Les artisans célestes | (3) Les directeurs de la réversion | (4) Les instructeurs des écoles d'extension | (5) Les différents corps de réserve | (6) Les étudiants visiteurs | (7) Les pèlerins ascendants
30:4	(1) Mortels planétaires | (2) Survivants endormis | (3) Étudiants du Monde du Manoir | (4) Progressistes de Morontia | (5) Pupilles du Superunivers | (6) Pèlerins d'Havona | (7) Arrivés au Paradis
33:6	Temps de l'univers local
34:6	La double nature de l'homme
34:7	« C’est la voie. »
35:4	incarnations de Melchisédech
35:8	Lanonandeks primaires|Lanonandeks secondaires|Lanonandeks tertiaires
36:4	Les midsoniters | Salvington Worlds des Finaliters
36:5	(1) L'esprit d'intuition | (2) L'esprit de compréhension | (3) L'esprit de courage | (4) L'esprit de connaissance | (5) L'esprit de conseil | (6) L'esprit de vénération | (7) L'esprit de sagesse
37:2	Étoiles du Soir Créées | Étoiles du Soir Ascendantes | Les Mondes des Étoiles du Soir
37:3	Les Mondes des Archanges
37:5	Commissaires de race | Corps de perfection de Nebadon | Mondes des mortels fusionnés à l'esprit
37:6	Système éducatif de Nebadon
37:8	Messagers solitaires | Superviseur du circuit universel - Andovontia | Directeur du recensement - Salsatia | Inspecteur adjoint | Sentinelles affectées | Conciliateurs universels | Conseillers techniques | Enregistreurs célestes | Compagnons de Morontia
37:9	(1) Susatia|(2) Univitatia|(3) Fils matériels|(4) Créatures de la voie intermédiaire|Abandons
37:10	La Spironga | La Spornagia | Colonies de courtoisie
38:8	(1) Candidats à l'Ascension | (2) Chérubins en phase intermédiaire | (3) Chérubins de Morontia
38:9	(1) Intermédiaires principaux | (2) Intermédiaires secondaires
39:1	(1) Ministres du Fils-Esprit | Serviteurs des Dons | (2) Conseillers de la Cour | (3) Orientateurs de l'Univers | (4) Conseillers Enseignants | (5) Directeurs des Affectations | (6) Secrétaires | (7) Ministres Non Attachés
39:2	(1) Le Corps du Renseignement | (2) La Voix de la Miséricorde | (3) Les Coordinateurs Spirituels | (4) Les Enseignants Assistants | (5) Les Transporteurs | Techniques de transport séraphiques | (6) Les Enregistreurs | Diffuseurs | (7) Les Réserves
39:3	(1) Assistants superviseurs | (2) Prévisionnistes juridiques | (3) Architectes sociaux | (4) Sensibilisateurs éthiques | (5) Les transporteurs | (6) Les greffiers | (7) Les réservistes
39:4	(1) Assistants administratifs | (2) Guides de la justice | (3) Interprètes de la citoyenneté cosmique | (4) Accélérateurs de moralité | (5) Les transporteurs | (6) Les greffiers | (7) Les réservistes
