ref	subsections
0:3	שבעת המוחלטים|מציאות|מושג האני הנני
0:4	גַן עֶדֶן
0:12	הוֹדָאָה
3:5	הבלתי נמנעים
3:6	הברכה
4:1	הַשׁגָחָה עֶליוֹנָה
6:4	כל יכול, נוכחות בכל, ידיעת כל
7:5	מתת הבן הנצחי | מתת מיכאל המקורי
8:4	בנות יצירתיות
9:8	משפחה פונקציונלית של המקור והמרכז השלישי
10:5	גישה סופית, אבסולוטית ומוחלטת
10:6	צדק, ראיות ושיפוט
10:8	גבולות הגורל התמותי
11:6	מרחב לא חדיר
11:7	אזורי אמצע החלל
11:8	כוח, אנרגיה, עוצמה
13:1	(1) דיווינינגטון|(2) סונרינגטון|(3) ספיריטינגטון|(4) ויצ'רינגטון|(5) סוליטררינגטון|(6) סראפינגטון|(7) אסנדינגטון
13:4	מעונות הביצוע של רוחות המאסטר
14:1	יום גן עדן-הוואונה|גופי הכבידה האפלים
14:4	ילידי האוונה
14:5	מונוטוניות והרפתקאות
15:7	זמן יקום-על
15:9	מעגלי יקום מקומי
16:6	סיבתיות, חובה ופולחן
17:1	בנים ששולשו על ידי יצורים
19:4	בני השילוש הקדוש הנייחים
21:0	מייקל המקורי
22:1	בני השגה ששולשו | בני בחירה ששולשו | בני שלמות ששולשו
22:7	בנים ששולשו על ידי העולים | בנים ששולשו על ידי גן עדן-האוונה | בני הגורל ששולשו
23:3	מהירויות חלל סרפיות ומהירויות חלל אחרות
23:4	בני גורל ששולשו
24:6	גרנדפאנדה, העולה הראשון
26:1	רוחות שירות של היקום המרכזי|רוחות שירות של יקומי העל|רוחות שירות של היקומים המקומיים
26:3	(1) מפקחי ההרמוניה | (2) המקליטים הראשיים | (3) השדרנים | (4) השליחים | (5) רכזי המודיעין | (6) אנשי התחבורה | (7) חיל המילואים
26:4	הגעתם של העולים להאוונה
26:8	כישלון במציאת האלוהות
26:10	מינויים של מועמדים שהפסידו
26:11	בנים ששולשו על ידי יצורים
27:1	טבע המנוחה
28:4	(1) קולו של הפועל האחוד | (2) קולן של שבע רוחות האב | (3) קולם של הבנים הבוראים | (4) קולם של צבאות המלאכים | (5) מקלטי שידור | (6) אישיויות תובלה | (7) חיל המילואים
28:5	(1) קול החוכמה | (2) נשמת הפילוסופיה | (3) איחוד הנשמות | (4) לב העצה | (5) שמחת הקיום | (6) סיפוק השירות | (7) מבחין הרוחות
28:6	(1) חשיבות המקורות | (2) זיכרון הרחמים | (3) חשיבות הזמן | (4) חגיגות האמון | (5) קדושת השירות | (6) ו- (7) סוד הגדולה ונשמת הטוב
29:2	(1) מפקחי מרכזים עליונים|(2) מרכזי האוונה|(3) מרכזי יקומים עליונים|(4) מרכזי יקומים מקומיים|(5) מרכזי קבוצות כוכבים|(6) מרכזי מערכת|(7) מרכזים לא מסווגים
