ref	subsections
0:3	Sedam Apsoluta|Stvarnost|Koncept JA JESAM
0:4	Raj
0:12	Priznanje
3:5	Neizbježnosti
3:6	Blagoslov
4:1	Providnost
6:4	Svemoć, sveprisutnost, sveznanje
7:5	Darovi Vječnog Sina|Darovi Izvornog Mihaela
8:4	Kreativne kćeri
9:8	Funkcionalna obitelj Trećeg Izvora i Centra
10:5	Konačan, apsolutan i apsolutni stav
10:6	Pravda, dokazi i presuda
10:8	Granice smrtne sudbine
11:6	Neprožeti prostor
11:7	Zone srednjeg prostora
11:8	Sila, energija, moć
13:1	(1) Divinington|(2) Sonarington|(3) Spiritington|(4) Vicegerington|(5) Solitarington|(6) Seraphington|(7) Ascendington
13:4	Izvršna prebivališta Glavnih duhova
14:1	Rajsko-havonski dan | Tamna gravitacijska tijela
14:4	Domorodci Havone
14:5	Monotonija i avantura
15:7	Vrijeme supersvemira
15:9	Krugovi lokalnog svemira
16:6	Uzročnost, dužnost i obožavanje
17:1	Sinovi trinitizirani od stvorenja
19:4	Stacionarni Sinovi Trojstva
21:0	Izvorni Michael
22:1	Trinitizirani Sinovi Postignuća|Trinitizirani Sinovi Odabira|Trinitizirani Sinovi Savršenstva
22:7	Uzašli-trinitizirani Sinovi|Rajsko-Havonski trinitizirani Sinovi|Trinitizirani sinovi sudbine
23:3	Serafske i druge svemirske brzine
23:4	Trinitizirani sinovi sudbine
24:6	Grandfanda, prvi uspon
26:1	Službeni duhovi Centralnog svemira|Službeni duhovi Supersvemira|Službeni duhovi Lokalnih svemira
26:3	(1) Nadzornici Harmonyja|(2) Glavni zapisničari|(3) Radiotelevizijski djelatnici|(4) Glasnici|(5) Koordinatori obavještajnih službi|(6) Osobe za transport|(7) Rezervni korpus
26:4	Dolazak Uzašašća u Havonu
26:8	Neuspjeh u pronalaženju Božanstva
26:10	Raspored poraženih kandidata
26:11	Sinovi trinitizirani od stvorenja
27:1	Priroda odmora
28:4	(1) Glas Združenog Činitelja|(2) Glas Sedam Glavnih Duhova|(3) Glas Sinova Stvoritelja|(4) Glas Anđeoskih Vojski|(5) Prijemnici emitiranja|(6) Transportne Osobnosti|(7) Rezervni Korpus
28:5	(1) Glas mudrosti|(2) Duša filozofije|(3) Jedinstvo duša|(4) Srce savjeta|(5) Radost postojanja|(6) Zadovoljstvo služenja|(7) Razlučivač duhova
28:6	(1) Značaj podrijetla|(2) Sjećanje na milosrđe|(3) Važnost vremena|(4) Svečanost povjerenja|(5) Svetost služenja|(6) i (7) Tajna veličine i duša dobrote
