ref	subsections
0:3	A Hét Abszolút|Valóság|Az ÉN VAGYOK fogalma
0:4	Paradicsom
0:12	Nyugtázás
3:5	Az elkerülhetetlenségek
3:6	Az áldás
4:1	Gondviselés
6:4	Mindenhatóság, mindenütt jelenlét, mindentudás
7:5	Az Örök Fiú adományai|Az Eredeti Mihály adományai
8:4	Kreatív lányok
9:8	A Harmadik Forrás és Központ funkcionális családja
10:5	Véges, abszonit és abszolút attitűd
10:6	Igazságszolgáltatás, bizonyítékok és ítélet
10:8	A halandó sors korlátai
11:6	Áthatolhatatlan tér
11:7	Középtéri zónák
11:8	Erő, energia, teljesítmény
13:1	(1) Divinington|(2) Sonarington|(3) Spiritington|(4) Vicegerington|(5) Solitarington|(6) Seraphington|(7) Ascendington
13:4	A Mester Szellemek végrehajtó lakhelyei
14:1	Paradicsom-Havona nap|A sötét gravitációs testek
14:4	Havona bennszülöttei
14:5	Monotónia és kaland
15:7	Szupervilágegyetemi idő
15:9	Helyi univerzumi áramkörök
16:6	Okság, kötelesség és imádat
17:1	Teremtmény által háromságossá tett Fiak
19:4	A Szentháromság helyhez kötött fiai
21:0	Az eredeti Mihály
22:1	Háromságosított Elérés Fiai|Háromságosított Kiválasztás Fiai|Háromságosított Tökéletesség Fiai
22:7	Felemelkedő-háromságosult Fiak|Paradicsom-Havona háromságosult Fiak|A végzet háromságosult fiai
23:3	Szeráfi és egyéb térsebességek
23:4	A sors háromságos fiai
24:6	Grandfanda, az első felemelkedő
26:1	A Központi Univerzum Segédletező Szellemei|A Szuperuniverzumok Segédletező Szellemei|A Helyi Univerzumok Segédletező Szellemei
26:3	(1) A Harmónia Felügyelői|(2) A Főfeljegyzők|(3) A Híradók|(4) A Hírvivők|(5) A Hírszerzési Koordinátorok|(6) A Szállító Személyzeti Személyzet|(7) A Tartalékos Hadtest
26:4	A felemelkedők érkezése Havonába
26:8	Isten megtalálásának elmulasztása
26:10	A legyőzött jelöltek feladatai
26:11	Teremtmény által szentté avatott fiak
27:1	A pihenés természete
28:4	(1) Az Együttes Cselekvő Hangja|(2) A Hét Tökéletes Szellem Hangja|(3) A Teremtő Fiak Hangja|(4) Az Angyali Seregek Hangja|(5) Műsorvevők|(6) Szállító Személyiségek|(7) A Tartalékos Hadtest
28:5	(1) A Bölcsesség Hangja|(2) A Filozófia Lelke|(3) A Lelkek Egyesülése|(4) A Tanács Szíve|(5) A Létezés Öröme|(6) A Szolgálat Megelégedettsége|(7) A Szellemek Megkülönböztetője
28:6	(1) Az eredet jelentősége|(2) Az irgalom emlékezete|(3) Az idő fontossága|(4) A bizalom ünnepélyessége|(5) A szolgálat szentsége|(6) és (7) A nagyság titka és a jóság lelke
29:2	(1) Legfelsőbb Központi Felügyelők|(2) Havona Központok|(3) Szupervilágegyetemi Központok|(4) Helyi Világegyetemi Központok|(5) Csillagképi Központok|(6) Csillagrendszeri Központok|(7) Besorolatlan Központok
29:4	(1) Társult Energiairányítók|(2) Mechanikus Szabályozók|(3) Energiaátalakítók|(4) Energiaátvivők|(5) Elsődleges Társítók|(6) Másodlagos Szétválasztók|(7) A Frandalankok|A Kronoldekok
29:5	Elsődleges Esettanulással Megvalósult Fő Erőszervezők Társult Transzcendentális Fő Erőszervezők
30:1	I. Háromságos Származású Lények|II. Kettős Származású Lények|III. Egyetlen Származású Lények|IV. Meglévő Transzcendentális Lények|V. Isteni Töredékes Entitások|VI. Szuperszemélyes Lények|VII. Besorolatlan és Kinyilatkoztatatlan Rendek
30:2	I. A Paradicsomi Istenségek | II. A Legfelsőbb Szellemek | III. A Háromság-Származású Lények | IV. Az Isten Fiai | V. A Végtelen Szellem személyiségei | VI. A Világegyetemi Erőtér-irányítók | VII. Az Állandó Állampolgárság Testülete | Összetett Személyiségcsoportok
30:3	(1) A Csillagkutatók|(2) Az Égi Kézművesek|(3) A Visszatekintési Irányítók|(4) Kiegészítő Iskolai Oktatók|(5) A Különböző Tartalékos Hadtestek|(6) A Tanuló Látogatók|(7) A Felemelkedő Zarándokok
30:4	(1) Bolygóhalandók|(2) Alvó Túlélők|(3) Lakóvilági Tanulmányok|(4) Morontia Fejlődők|(5) Szupervilágegyetemi Őrszemek|(6) Havonai Zarándokok|(7) Paradicsomi Érkezések
33:6	Helyi univerzumi idő
34:6	Az ember kettős természete
34:7	„Ez az út.”
35:4	Melkisédek inkarnációi
35:8	Elsődleges Lanonandekek|Másodlagos Lanonandekek|Tercier Lanonandekek
36:4	A midsoniterek | A Véglegesek Szalvingtoni Világai
36:5	(1) Az intuíció szelleme|(2) A megértés szelleme|(3) A bátorság szelleme|(4) A tudás szelleme|(5) A tanácsadás szelleme|(6) Az imádat szelleme|(7) A bölcsesség szelleme
37:2	Alkonyatcsillagokat teremtett|Aszcendens Esticsillagok|Az Esticsillagok világa
37:3	Az arkangyalok világa
37:5	Fajbizottságok|Nebadoni Tökéletesség Hadteste|A Szellemmel eggyé vált Halandók Világai
37:6	Nebadoni oktatási rendszer
37:8	Magányos Hírvivők|Világegyetemi Kör Felügyelő - Andovontia|Népszámlálási Igazgató - Salsatia|Társfelügyelő|Kijelölt Őrök|Egyetemi Békéltetők|Műszaki Tanácsadók|Égi Feljegyzők|Morontia Társak
37:9	(1) Susatia|(2) Univitatia|(3) Anyagi Fiak|(4) Köztes Lények|Elhagyók
37:10	A Spironga | A Spornagia | Udvariassági kolóniák
38:8	(1) Felemelkedési Jelöltek|(2) Középső fázisú Kerubok|(3) Morontia Kerubok
38:9	(1) Elsődleges közteslények|(2) Másodlagos közteslények
39:1	(1) Fiú-Szellem Segédkezők|_Adakozást végző kísérők|(2) Udvari Tanácsadók|(3) Világegyetemi Irányítók|(4) Tanító Tanácsadók|(5) Feladatirányítók|(6) Feljegyzők|(7) Független Segédkezők
39:2	(1) A Hírszerző Hadtest|(2) Az Irgalom Hangja|(3) Szellem Koordinátorok|(4) Segédtanítók|(5) A Szállítók|_Szeráfi szállítási technikák|(6) A Rögzítők|_Műsorszórók|(7) A Tartalékosok
39:3	(1) Felügyelő asszisztensek|(2) Jogi előrejelzők|(3) Szociális építészek|(4) Etikai érzékenyítők|(5) A szállítók|(6) A jegyzők|(7) A tartalékosok
39:4	(1) Adminisztratív asszisztensek|(2) Igazságügyi kalauzok|(3) A kozmikus polgárság értelmezői|(4) Az erkölcs gyorsítói|(5) A szállítók|(6) A feljegyzők|(7) A tartalékosok
39:5	(1) A Kert Hangjai|(2) A Testvériség Szellemei|(3) A Béke Lelkei|(4) A Bizalom Szellemei|(5) A Szállítók|_Egy szeráfi transzport indulása|(6) A Feljegyzők|(7) A Tartalékosok
40:5	Az Igazítóval átmenetileg vagy tapasztalati úton tartózkodó halandók|Az Igazítóval nem eggyé váló halandók|Az Igazítóval eggyé válás potenciáljában lévő halandók|A számozatlan sorozat
40:9	A memória rekonstrukciójának technikái
42:2	(1) Térpotenciál|(2) Őserő|(3) Emergens energiák|_a. Hatalmas energia|_b. Gravitációs energia|(4) Univerzumerő|(5) Havona-energia|(6) Transzcendentális energia|(7) Monota
42:10	(1) Elődjutáns-szellem elmék|(2) Segéd-szellem elmék|(3) Fejlődő morontia elmék|_A kozmikus elme
45:1	(1) A Véglegesek Világa|(2) A Morontia Világ|(3) Az Angyali Világ|(4) A Felsőbb Angyali Világ|(5) A Fiak Világa|(6) A Szellem Világa|(7) Az Atya Világa
45:6	Szülői tapasztalat | Satánia próbaidős bölcsődéje
46:5	(1) Istenfiak körei|(2) Angyalok körei|(3) Világegyetemi segítők körei|(4) Fizikai Főirányítók körei|(5) Felemelkedő halandók körei|(6) Az udvariassági telepek körei|(7) A véglegesrendűek körei
47:1	Szükséges szülői tapasztalat
47:3	Morontia társak
47:8	Igazító fúzió
48:2	(1) Körzetszabályozók|(2) Rendszerkoordinátorok|(3) Bolygóőrök|(4) Egyesített Szabályozók|(5) Összekötő Stabilizátorok|(6) Szelektív Rendezők|(7) Társult Regisztrátorok
