ref	subsections
0:3	Tujuh Absolut | Realitas | Konsep AKU ADALAH
0:4	Surga
0:12	Pengakuan
3:5	Keniscayaan
3:6	Berkat
4:1	Pemeliharaan
6:4	Kemahakuasaan, kemahahadiran, kemahatahuan
7:5	Anugerah Putra Kekal | Anugerah Mikhael Asli
8:4	Putri-Putri Kreatif
9:8	Keluarga fungsional Sumber dan Pusat Ketiga
10:5	Sikap terbatas, absonit, dan absolut
10:6	Keadilan, bukti, dan penghakiman
10:8	Batasan takdir manusia
11:6	Ruang tak tertembus
11:7	Zona ruang tengah
11:8	Gaya, energi, daya
13:1	(1) Divinington|(2) Sonarington|(3) Spiritington|(4) Vicegerington|(5) Solitarington|(6) Seraphington|(7) Ascendington
13:4	Tempat tinggal eksekutif para Roh Master
14:1	Hari Paradise-Havona | Tubuh gravitasi gelap
14:4	Penduduk asli Havona
14:5	Monoton dan petualangan
15:7	Waktu alam semesta super
15:9	Sirkuit alam semesta lokal
16:6	Sebab akibat, tugas, dan ibadah
17:1	Putra-Putra Trinitas Makhluk
19:4	Putra-Putra Trinitas yang Tetap
21:0	Mikhael Asli
22:1	Putra-Putra Trinitas Pencapaian | Putra-Putra Trinitas Seleksi | Putra-Putra Trinitas Kesempurnaan
22:7	Putra-putra Trinitas Ascender | Putra-putra Trinitas Paradise-Havona | Putra-putra takdir yang ditrinitaskan
23:3	Kecepatan serafik dan kecepatan ruang angkasa lainnya
23:4	Putra takdir yang ditrinitaskan
24:6	Grandfanda, pendaki pertama
26:1	Roh-roh Pelayan Alam Semesta Pusat | Roh-roh Pelayan Alam Semesta Super | Roh-roh Pelayan Alam Semesta Lokal
26:3	(1) Pengawas Harmoni|(2) Kepala Perekam|(3) Penyiar|(4) Pembawa Pesan|(5) Koordinator Intelijen|(6) Tokoh Transportasi|(7) Korps Cadangan
26:4	Kedatangan para Ascender di Havona
26:8	Gagal menemukan Tuhan
26:10	Penugasan kandidat yang kalah
26:11	Putra-putra Trinitas Makhluk
27:1	Hakikat istirahat
28:4	(1) Suara Aktor Bersama|(2) Suara Tujuh Roh Master|(3) Suara Putra-Putra Pencipta|(4) Suara Balatentara Malaikat|(5) Penerima Siaran|(6) Kepribadian Transportasi|(7) Korps Cadangan
28:5	(1) Suara Kebijaksanaan|(2) Jiwa Filsafat|(3) Persatuan Jiwa|(4) Inti Nasihat|(5) Sukacita Keberadaan|(6) Kepuasan Pelayanan|(7) Pembeda Roh
28:6	(1) Arti Penting Asal Usul|(2) Kenangan akan Kerahiman|(3) Pentingnya Waktu|(4) Kesungguhan Iman|(5) Kesucian Pelayanan|(6) dan (7) Rahasia Kebesaran dan Jiwa Kebaikan
29:2	(1) Pengawas Pusat Tertinggi|(2) Pusat Havona|(3) Pusat Superuniverse|(4) Pusat Alam Semesta Lokal|(5) Pusat Konstelasi|(6) Pusat Sistem|(7) Pusat yang Tidak Diklasifikasikan
29:4	(1) Direktur Daya Asosiasi|(2) Pengendali Mekanik|(3) Transformator Energi|(4) Pemancar Energi|(5) Asosiator Primer|(6) Disosiator Sekunder|(7) Frandalanks|Chronoldeks
29:5	Pengorganisir Kekuatan Master yang Terwujud Utama Pengorganisir Kekuatan Master Transendental Asosiasi
30:1	I. Makhluk Asal Tritunggal|II. Makhluk Asal Ganda|III. Makhluk Asal Tunggal|IV. Makhluk Transendental yang Berwujud|V. Entitas Ketuhanan yang Terfragmentasi|VI. Makhluk Superpersonal|VII. Tatanan yang Tidak Terklasifikasi dan Tidak Terungkap
30:2	I. Dewa-Dewi Surga|II. Roh-Roh Tertinggi|III. Makhluk-Makhluk Asal Trinitas|IV. Putra-Putra Tuhan|V. Kepribadian Roh Tak Terbatas|VI. Pengarah Kekuatan Alam Semesta|VII. Korps Kewarganegaraan Permanen|Kelompok Kepribadian Komposit
30:3	(1) Para Siswa Bintang|(2) Para Pengrajin Surgawi|(3) Para Direktur Reversi|(4) Para Instruktur Sekolah Ekstensi|(5) Berbagai Korps Cadangan|(6) Para Pengunjung Siswa|(7) Para Peziarah Naik
30:4	(1) Manusia Planet | (2) Korban yang Tertidur | (3) Siswa Dunia Mansion | (4) Pelajar Morontia | (5) Bangsal Superuniverse | (6) Peziarah Havona | (7) Kedatangan Surga
33:6	Waktu alam semesta lokal
34:6	Sifat ganda manusia
34:7	"Inilah jalannya."
35:4	Inkarnasi Melkisedek
35:8	Lanonandeks Primer|Lanonandeks Sekunder|Lanonandeks Tersier
36:4	Midsoniters|Salvington Worlds of the Finaliters
36:5	(1) Roh intuisi|(2) Roh pengertian|(3) Roh keberanian|(4) Roh pengetahuan|(5) Roh nasihat|(6) Roh ibadah|(7) Roh kebijaksanaan
37:2	Bintang Senja yang Tercipta | Bintang Senja Ascendant | Dunia Bintang Senja
37:3	Dunia Para Malaikat Agung
37:5	Komisioner Ras | Korps Kesempurnaan Nebadon | Dunia Manusia yang Tergabung dalam Roh
37:6	Sistem pendidikan Nebadon
37:8	Utusan Soliter | Pengawas Sirkuit Semesta-Andovontia | Direktur Sensus-Salsatia | Inspektur Asosiasi | Penjaga yang Ditugaskan | Konsiliator Universal | Penasihat Teknis | Perekam Surgawi | Sahabat Morontia
37:9	(1) Susatia|(2) Univitatia|(3) Putra Material|(4) Makhluk Tengah|Pengabaikan
37:10	Spironga|Spornagia|Koloni milik pribadi
38:8	(1) Kandidat Kenaikan|(2) Kerubim Fase Tengah|(3) Kerubim Morontia
38:9	(1) Midwayer Primer|(2) Midwayer Sekunder
39:1	(1) Pelayan Roh Putra|Pelayan Penganugerahan|(2) Penasihat Pengadilan|(3) Penunjuk Arah Alam Semesta|(4) Konselor Pengajaran|(5) Direktur Penugasan|(6) Perekam|(7) Pelayan yang Tidak Terikat
39:2	(1) Korps Intelijen|(2) Suara Belas Kasih|(3) Koordinator Roh|(4) Asisten Guru|(5) Transporter|_Teknik transportasi Serafik|(6) Perekam|_Penyiar|(7) Cadangan
39:3	(1) Asisten Pengawas|(2) Peramal Hukum|(3) Arsitek Sosial|(4) Pemberi Kepekaan Etika|(5) Pengangkut|(6) Perekam|(7) Cadangan
39:4	(1) Asisten Administrasi|(2) Pemandu Keadilan|(3) Penerjemah Kewarganegaraan Kosmik|(4) Pemacu Moralitas|(5) Pengangkut|(6) Perekam|(7) Cadangan
39:5	(1) Suara-suara Taman|(2) Roh-roh Persaudaraan|(3) Jiwa-jiwa Kedamaian|(4) Roh-roh Kepercayaan|(5) Para Pengangkut|_Keberangkatan transportasi serafik|(6) Para Perekam|(7) Para Cadangan
40:5	Manusia fana dari perjalanan Penyesuai sementara atau pengalaman | Manusia fana dari tipe non-fusi Penyesuai | Manusia fana dengan potensi fusi Penyesuai | Seri yang tak bernomor
40:9	Teknik rekonstruksi memori
42:2	(1) Potensi ruang|(2) Kekuatan primordial|(3) Energi yang muncul|_a. Energi puissant|_b. Energi gravitasi|(4) Kekuatan alam semesta|(5) Energi Havona|(6) Energi transendental|(7) Monota
42:10	(1) Pikiran roh pra-ajudan|(2) Pikiran roh ajudan|(3) Pikiran morontia yang berkembang|_Pikiran kosmik
45:1	(1) Dunia Finaliter|(2) Dunia Morontia|(3) Dunia Malaikat|(4) Dunia Supermalaikat|(5) Dunia Putra|(6) Dunia Roh|(7) Dunia Bapa
45:6	Pengalaman orang tua | Tempat penitipan anak percobaan Satania
46:5	(1) Lingkaran Putra-Putra Tuhan|(2) Lingkaran para Malaikat|(3) Lingkaran Pembantu Alam Semesta|(4) Lingkaran Pengendali Fisik Utama|(5) Lingkaran manusia yang naik|(6) Lingkaran koloni-koloni kesopanan|(7) Lingkaran para finaliter
47:1	Pengalaman sebagai orang tua yang diperlukan
47:3	Pendamping Morontia
47:8	Fusi Adjuster
48:2	(1) Pengatur Sirkuit|(2) Koordinator Sistem|(3) Penjaga Planet|(4) Pengendali Gabungan|(5) Stabilisator Penghubung|(6) Pemilah Selektif|(7) Pendaftar Asosiasi
48:3	(1) Wali Ziarah|(2) Penerima Ziarah dan Pendamping Bebas|(3) Tuan Rumah bagi Pengunjung Surgawi|(4) Koordinator dan Penghubung|(5) Juru Bahasa dan Penerjemah|(6) Pengawas Perjalanan dan Pemulangan|(7) Penjaga Kawasan dan Bangunan
48:4	Humor Surgawi|Humor Fana
48:6	(1) Penginjil Serafik|_Asli Mazmur Dua Puluh Tiga|(2) Penerjemah Rasial|(3) Perencana Pikiran|(4) Konselor Morontia|_Efek Stereoskopik Mota|(5) Teknisi|(6) Guru Perekam|_Kebenaran dan Fakta|(7) Cadangan Pelayanan|_Keberhasilan, Kegagalan, dan Ego
49:2	(1) Tipe atmosferik|(2) Tipe unsur|(3) Tipe gravitasi|(4) Tipe suhu|(5) Tipe listrik|(6) Tipe berenergi|(7) Tipe tak bernama
49:5	(1) Penyesuaian terhadap lingkungan planet|_Seri percobaan yang diperiksa oleh Tabamantia|(2) Seri tipe otak|(3) Seri penerimaan roh|(4) Zaman planet-fana|(5) Seri kekerabatan makhluk|(6) Seri fusi penyetel|(7) Teknik pelarian terestrial
