ref	subsections
0:3	I Sette Assoluti | Realtà | Concetto dell'IO SONO
0:4	Paradiso
0:12	Riconoscimento
3:5	Le inevitabilità
3:6	La benedizione
4:1	Provvidenza
6:4	Onnipotenza, onnipresenza, onniscienza
7:5	Conferimenti del Figlio Eterno | Conferimenti del Michele Originale
8:4	Figlie creative
9:8	Famiglia funzionale della Terza Fonte e Centro
10:5	Atteggiamento finito, absonito e assoluto
10:6	Giustizia, prove e giudizio
10:8	Limiti del destino mortale
11:6	Spazio non pervaso
11:7	Zone dello spazio intermedio
11:8	Forza, energia, potenza
13:1	(1) Divinington|(2) Sonarington|(3) Spiritington|(4) Vicegerington|(5) Solitarington|(6) Seraphington|(7) Ascendington
13:4	Dimore esecutive degli Spiriti Maestri
14:1	Giorno del Paradiso-Havona | I corpi gravitazionali oscuri
14:4	nativi di Havona
14:5	Monotonia e avventura
15:7	Tempo del superuniverso
15:9	Circuiti dell'universo locale
16:6	Causalità, dovere e culto
17:1	Figli trinitizzati dalle creature
19:4	Figli stazionari della Trinità
21:0	Il Michael originale
22:1	Figli Trinitizzati del Conseguimento | Figli Trinitizzati della Selezione | Figli Trinitizzati della Perfezione
22:7	Figli trinitizzati dell'Ascendente|Figli trinitizzati del Paradiso-Havona|Figli trinitizzati del destino
23:3	Velocità spaziali serafiche e altre velocità spaziali
23:4	Figli trinitizzati del destino
24:6	Grandfanda, il primo a salire
26:1	Spiriti ministranti dell'Universo Centrale | Spiriti ministranti dei Superuniversi | Spiriti ministranti degli Universi Locali
26:3	(1) I Supervisori dell'Armonia|(2) I Capi Registratori|(3) I Radiotelegrafisti|(4) I Messaggeri|(5) I Coordinatori dell'Intelligence|(6) Le Personalità dei Trasporti|(7) Il Corpo di Riserva
26:4	Arrivo degli Ascenders ad Havona
26:8	Incapacità di trovare la Divinità
26:10	Assegnazioni dei candidati sconfitti
26:11	Figli trinitizzati dalle creature
27:1	Natura del riposo
28:4	(1) La voce dell'attore congiunto|(2) La voce dei sette spiriti maestri|(3) La voce dei figli creatori|(4) La voce delle schiere angeliche|(5) Ricevitori di trasmissione|(6) Personalità del trasporto|(7) Il corpo di riserva
28:5	(1) La voce della saggezza|(2) L'anima della filosofia|(3) L'unione delle anime|(4) Il cuore del consiglio|(5) La gioia dell'esistenza|(6) La soddisfazione del servizio|(7) Il discernitore degli spiriti
28:6	(1) Il significato delle origini|(2) La memoria della misericordia|(3) L'importanza del tempo|(4) La solennità della fiducia|(5) La santità del servizio|(6) e (7) Il segreto della grandezza e l'anima della bontà
29:2	(1) Supervisori del Centro Supremo|(2) Centri di Havona|(3) Centri del Superuniverso|(4) Centri dell'Universo Locale|(5) Centri delle Costellazioni|(6) Centri del Sistema|(7) Centri Non Classificati
29:4	(1) Direttori di potenza associati|(2) Controllori meccanici|(3) Trasformatori di energia|(4) Trasmettitori di energia|(5) Associatori primari|(6) Dissociatori secondari|(7) I Frandalanks|I Chronoldeks
29:5	Organizzatori della Forza Maestra Primaria Eventuata Organizzatori della Forza Maestra Trascendentale Associata
30:1	I. Esseri di Origine Trina|II. Esseri di Origine Duplice|III. Esseri di Origine Unica|IV. Esseri Trascendentali Eventualizzati|V. Entità Frammentate della Divinità|VI. Esseri Superpersonali|VII. Ordini Non Classificati e Non Rivelati
30:2	I. Le Divinità del Paradiso|II. Gli Spiriti Supremi|III. Gli Esseri di Origine Trinitaria|IV. I Figli di Dio|V. Le Personalità dello Spirito Infinito|VI. I Direttori di Potere dell'Universo|VII. Il Corpo della Cittadinanza Permanente|Gruppi di Personalità Compositi
30:3	(1) Gli studenti stellari|(2) Gli artigiani celesti|(3) I direttori di reversione|(4) Gli istruttori delle scuole di estensione|(5) I vari corpi di riserva|(6) Gli studenti visitatori|(7) I pellegrini ascendenti
30:4	(1) Mortali Planetari|(2) Sopravvissuti Dormienti|(3) Studenti del Mondo Mansion|(4) Progressori Morontiali|(5) Reparti del Superuniverso|(6) Pellegrini di Havona|(7) Arrivi in ​​Paradiso
33:6	Tempo dell'universo locale
34:6	Doppia natura dell'uomo
34:7	"Questa è la strada."
35:4	Incarnazioni di Melchisedec
35:8	Lanonandek primari|Lanonandek secondari|Lanonandek terziari
36:4	I midsoniters | Salvington Worlds of the Finaliters
36:5	(1) Lo spirito dell'intuizione|(2) Lo spirito della comprensione|(3) Lo spirito del coraggio|(4) Lo spirito della conoscenza|(5) Lo spirito del consiglio|(6) Lo spirito dell'adorazione|(7) Lo spirito della saggezza
37:2	Stelle della sera create | Stelle della sera ascendenti | I mondi delle stelle della sera
37:3	I mondi degli Arcangeli
37:5	Commissari di gara | Corpo di perfezione di Nebadon | Mondi dei mortali fusi nello Spirito
37:6	Sistema educativo del Nebadon
37:8	Messaggeri Solitari|Supervisore del Circuito Universale-Andovontia|Direttore del Censimento-Salsatia|Ispettore Associato|Sentinelle Assegnate|Conciliatori Universali|Consulenti Tecnici|Registratori Celesti|Compagni Morontia
37:9	(1) Susatia|(2) Univitatia|(3) Figli materiali|(4) Creature di mezzo|Abbandonatori
37:10	Gli Spironga|Gli Spornagia|Colonie di cortesia
38:8	(1) Candidati all'Ascensione|(2) Cherubini di fase intermedia|(3) Cherubini morontiali
38:9	(1) Midwayers primari|(2) Midwayers secondari
39:1	(1) Ministri dello Spirito-Figlio | Assistenti al conferimento | (2) Consiglieri di corte | (3) Orientatori dell'universo | (4) I consiglieri didattici | (5) Direttori di assegnazione | (6) I registratori | (7) Ministri indipendenti
39:2	(1) Il Corpo di Intelligence|(2) La Voce della Misericordia|(3) Coordinatori Spirituali|(4) Insegnanti Assistenti|(5) I Trasportatori|_Tecniche di trasporto serafico|(6) I Registratori|_Trasmettitori|(7) Le Riserve
39:3	(1) Assistenti supervisori|(2) Previsori legali|(3) Architetti sociali|(4) Sensibilizzatori etici|(5) I trasportatori|(6) I registratori|(7) Le riserve
39:4	(1) Assistenti amministrativi|(2) Guide della giustizia|(3) Interpreti della cittadinanza cosmica|(4) Acceleratori della moralità|(5) I trasportatori|(6) I registratori|(7) Le riserve
39:5	(1) Le Voci del Giardino|(2) Gli Spiriti della Fratellanza|(3) Le Anime della Pace|(4) Gli Spiriti della Fiducia|(5) I Trasportatori|_Partenza di un trasporto serafico|(6) I Registratori|(7) Le Riserve
40:5	Mortali del soggiorno transitorio o esperienziale dell'Aggiustatore|Mortali dei tipi non-fusione-Aggiustatore|Mortali del potenziale di fusione-Aggiustatore|La serie non numerata
40:9	Tecniche di ricostruzione della memoria
42:2	(1) Potenza spaziale|(2) Forza primordiale|(3) Energie emergenti|_a. Energia potente|_b. Energia gravitazionale|(4) Potere dell'universo|(5) Energia di Havona|(6) Energia trascendentale|(7) Monota
42:10	(1) Menti pre-spirituali aiutanti|(2) Menti spirituali aiutanti|(3) Menti morontiali in evoluzione|_La mente cosmica
45:1	(1) Il Mondo Finalitario|(2) Il Mondo Morontiale|(3) Il Mondo Angelico|(4) Il Mondo Superangelo|(5) Il Mondo dei Figli|(6) Il Mondo dello Spirito|(7) Il Mondo del Padre
45:6	Esperienza genitoriale | L'asilo nido di Satania
46:5	(1) Cerchi dei Figli di Dio|(2) Cerchi degli angeli|(3) Cerchi degli Aiuti dell'Universo|(4) Cerchi dei Controllori Fisici Maestri|(5) Cerchi dei mortali ascendenti|(6) Cerchi delle colonie di cortesia|(7) Cerchi dei finalitari
47:1	Esperienza genitoriale richiesta
47:3	Compagni Morontiali
47:8	Fusione del regolatore
48:2	(1) Regolatori di circuito|(2) Coordinatori di sistema|(3) Custodi planetari|(4) Controllori combinati|(5) Stabilizzatori di collegamento|(6) Assortitori selettivi|(7) Registratori associati
48:3	(1) Guardiani dei pellegrini|(2) Accoglienti dei pellegrini e Liberi Associati|(3) Ospiti dei visitatori celesti|(4) Coordinatori e direttori di collegamento|(5) Interpreti e traduttori|(6) Supervisori delle escursioni e delle reversioni|(7) Custodi delle aree e degli edifici
48:4	Umorismo celeste | Umorismo mortale
48:6	(1) Evangelisti serafici | Originale del Salmo ventitreesimo | (2) Interpreti razziali | (3) Pianificatori mentali | (4) Consiglieri morontiali | Effetto stereoscopico della mota | (5) Tecnici | (6) Insegnanti-registratori | Verità e fatti | (7) Riserve ministeriali | Successo, fallimento ed ego
49:2	(1) I tipi atmosferici|(2) I tipi elementari|(3) I tipi gravitazionali|(4) I tipi di temperatura|(5) I tipi elettrici|(6) I tipi energizzanti|(7) I tipi senza nome
49:5	(1) Adattamento all'ambiente planetario | Serie sperimentali ispezionate da Tabamantia | (2) Serie di tipo cerebrale | (3) Serie di ricezione spirituale | (4) Epoche planetarie-mortali | (5) Serie di parentela creatura | (6) Serie di fusione aggiustatore | (7) Tecniche di fuga terrestre
49:6	(1) L'ordine dispensazionale o di gruppo di sopravvivenza|(2) Gli ordini individuali di ascensione|(3) Gli ordini di ascensione dipendenti dalla prova|(4) Gli ordini di ascensione secondari modificati|(5) L'ordine di ascensione primario modificato
50:7	Agondonters|Tabamantia an agondonter
54:5	Dodici motivi
55:4	Le sette fasi di un pianeta | Liberazione dei mediatori | Partenza adamica
55:12	I Supervisori Non Qualificati del Supremo
57:4	Origine del Sole
57:5	Moto retrogrado
57:6	L'era della formazione dei pianeti | Attrito mareale | Esplosioni gravitazionali-mareali
57:7	L'era vulcanica | L'atmosfera planetaria primitiva
57:8	L'era dei terremoti | L'oceano mondiale e il primo continente
59:1	L'era dei trilobiti
59:2	L'era degli invertebrati-animali
59:3	Il periodo dei coralli | L'era dei brachiopodi
59:4	Il periodo vegetativo terrestre | L'età dei pesci
59:5	Il periodo carbonifero delle foreste di felci | L'era delle rane
59:6	Il periodo della pianta-seme | L'era della tribolazione biologica
60:3	Il periodo delle piante da fiore | L'era degli uccelli
61:1	L'era dei primi mammiferi
61:2	L'era dei mammiferi avanzati
61:3	L'era dell'elefante e del cavallo
61:4	L'ultima grande migrazione dei mammiferi
62:3	Origine delle tribù scimmiesche
64:6	(1) L'uomo rosso|(2) L'uomo arancione|(3) L'uomo giallo|(4) L'uomo verde|(5) L'uomo blu|(6) La razza indaco|_Scopo delle sei razze
65:1	(1) Il livello fisico dell'elettrochimica|(2) La solita fase intermedia dell'esistenza quasi-morontiale|(3) Il livello semispirituale avanzato
65:7	Mente meccanica non istruibile | Mente esperienziale non meccanica
66:3	(1) Il consiglio per il cibo e il benessere materiale|(2) Il consiglio per l'addomesticamento e l'utilizzazione degli animali|(3) I consulenti per la conquista degli animali predatori|(4) La facoltà per la diffusione e la conservazione della conoscenza|(5) La commissione per l'industria e il commercio|(6) Il collegio della religione rivelata|(7) I guardiani della salute e della vita|(8) Il consiglio planetario per l'arte e la scienza|(9) I governatori delle relazioni tribali avanzate|(10) La corte suprema per il coordinamento tribale e la cooperazione razziale
68:5	(1) La fase di raccolta|(2) La fase di caccia|(3) La fase pastorale|(4) La fase agricola
68:6	Il rapporto terra-uomo
69:1	(1) Istituzioni di automantenimento|(2) Istituzioni di autoperpetuazione|(3) Istituzioni di autogratificazione
70:2	Industrialismo moderno contro militarismo
73:0	Ispezione di Tabamantia
76:3	Il sacerdozio setita
76:5	Il messaggio di Michael
78:7	Storia di Noè
80:2	Inondazioni del Mediterraneo
81:2	(1) L'addomesticamento del fuoco|(2) L'addomesticamento degli animali|(3) La schiavitù dei prigionieri|(4) La proprietà privata
81:4	(1) Le razze caucasoidi|(2) Le razze mongoloidi|(3) Le razze negroidi
81:5	Potere e diritto
81:6	(1) Circostanze naturali|(2) Beni capitali|(3) Conoscenza scientifica|(4) Risorse umane|(5) Efficacia delle risorse materiali|(6) Efficacia del linguaggio|(7) Efficacia dei dispositivi meccanici|(8) Carattere dei tedofori|(9) Gli ideali razziali|(10) Coordinamento degli specialisti|(11) Dispositivi di ricerca del posto|(12) La volontà di cooperare|(13) Leadership efficace e saggia|(14) Cambiamenti sociali|(15) La prevenzione del crollo transitorio
88:2	Immagini e idoli | “Libri Sacri”
89:3	Il culto della continenza
89:7	Prostituzione nel tempio
91:2	Preghiera contro magia
92:4	(1) Gli insegnamenti Dalamatiani|(2) Gli insegnamenti Edenici|(3) Il Melchizedek di Salem|(4) Gesù di Nazareth|(5) I Documenti di Urantia
92:6	Undici religioni viventi
93:4	Il credo | I sette comandamenti
94:1	Il Rig-Veda
94:2	Dottrina della reincarnazione
94:8	Il vangelo di Gautama | I comandamenti morali
96:5	Provvidenza materialistica
97:5	Michea e Abdia
97:9	Efraim e Giuda|Saul e Davide|Salomone e la tassazione|Israele e Giuda|Distruzione del regno di Israele|Fine del regno di Giuda|La cattività babilonese
98:4	Il culto frigio di Cibele e Attis|Il culto egizio di Osiride e Iside|Il culto iranico di Mitra
101:3	Dodici illustrazioni di fede spirituale
101:6	Sette aspetti della salvezza
106:1	Dio il Settuplice
106:2	L'Essere Supremo
106:3	La Trinità Ultimate
106:4	Divinità suprema
