ref	subsections
0:3	七つの絶対|現実|「私は在る」という概念
0:4	楽園
0:12	承認
3:5	必然
3:6	祝福
4:1	摂理
6:4	全能、遍在、全知
7:5	永遠の子からの授与｜原初のミカエルからの授与
8:4	創造的な娘たち
9:8	第三の源泉と中心の機能的な家族
10:5	有限、絶対、そして絶対的な態度
10:6	正義、証拠、そして判断
10:8	人間の運命の限界
11:6	遍在しない空間
11:7	中間空間ゾーン
11:8	力、エネルギー、パワー
13:1	(1) ディヴィニングトン | (2) ソナリントン | (3) スピリティントン | (4) ヴァイスゲリントン | (5) ソリタリントン | (6) セラフィントン | (7) アセンディントン
13:4	マスタースピリッツのエグゼクティブ住居
14:1	パラダイス・ハボナの日|暗黒の重力体
14:4	ハボナの原住民
14:5	単調さと冒険
15:7	超宇宙時間
15:9	局所宇宙回路
16:6	因果関係、義務、そして崇拝
17:1	クリーチャー化された三位一体の息子たち
19:4	静止した三位一体の息子たち
21:0	オリジナルのマイケル
22:1	三位一体の成就の子ら|三位一体の淘汰の子ら|三位一体の完成の子ら
22:7	昇天者-三位一体の息子たち|楽園-ハヴォーナの三位一体の息子たち|運命の三位一体の息子たち
23:3	セラフィックとその他の空間速度
23:4	三位一体となった運命の子ら
24:6	最初の登頂者、グランファンダ
26:1	中央宇宙の使役霊|超宇宙の使役霊|ローカル宇宙の使役霊
26:3	(1) ハーモニー監督官|(2) 主任記録官|(3) 放送官|(4) メッセンジャー|(5) 情報調整官|(6) 輸送担当者|(7) 予備軍
26:4	昇天者たちのハヴォナ到着
26:8	神を見つけられなかった
26:10	落選した候補者の任命
26:11	被造物三位一体の息子たち
27:1	休息の性質
28:4	(1) 共同行為者の声|(2) 七つの主霊の声|(3) 創造主の息子たちの声|(4) 天使の軍勢の声|(5) 放送受信機|(6) 輸送機関の人格|(7) 予備役
28:5	(1) 知恵の声|(2) 哲学の魂|(3) 魂の結合|(4) 助言の心|(5) 存在の喜び|(6) 奉仕の満足|(7) 霊の識別者
28:6	(1) 起源の重要性|(2) 慈悲の記憶|(3) 時間の重要性|(4) 信頼の荘厳さ|(5) 奉仕の神聖さ|(6) そして(7) 偉大さの秘密と善良な魂
29:2	(1) 至高センター監督者|(2) ハヴォナセンター|(3) 超宇宙センター|(4) 局部宇宙センター|(5) 星座センター|(6) システムセンター|(7) 未分類センター
29:4	(1) 準電力ディレクター|(2) 機械制御装置|(3) エネルギー変換器|(4) エネルギートランスミッター|(5) 一次アソシエーター|(6) 二次ディソシエーター|(7) フランダランクス|クロノデック
29:5	主要なイベントマスターフォースオーガナイザーと準超越マスターフォースオーガナイザー
30:1	I. 三位一体の存在|II. 二元の存在|III. 単一元の存在|IV. 終焉した超越的存在|V. 神の断片的実体|VI. 超人格的存在|VII. 分類されていない、あるいは明らかにされていない秩序
30:2	I. 楽園の神々|II. 至高の霊|III. 三位一体の根源の存在|IV. 神の子ら|V. 無限の霊の人格|VI. 宇宙の権力指導者|VII. 永住権の軍団|複合人格グループ
30:3	(1) 星の学生たち|(2) 天上の職人たち|(3) 復帰指導者たち|(4) 普及学校の指導者たち|(5) 予備役たち|(6) 学生訪問隊|(7) 昇天する巡礼者たち
30:4	(1) 惑星の死すべき者たち|(2) 眠れる生存者たち|(3) マンションワールドの学生たち|(4) モロンティアの進歩者たち|(5) 超宇宙の結界|(6) ハヴォーナの巡礼者たち|(7) 楽園の到来
33:6	局所宇宙時間
34:6	人間の二面性
34:7	「これが道だ。」
35:4	メルキゼデクの化身
35:8	プライマリ ラノナンデク|セカンダリ ラノナンデク|ターシャリ ラノナンデク
36:4	ミッドソニターズ|サルビントン・ワールドズ・オブ・ザ・ファイナリターズ
36:5	（1）直感の精神|（2）理解の精神|（3）勇気の精神|（4）知識の精神|（5）助言の精神|（6）崇拝の精神|（7）知恵の精神
37:2	創造された宵の明星|昇天する宵の明星|宵の明星の世界
37:3	大天使の世界
37:5	種族委員|ネバドンの完全体軍団|精霊融合人間の世界
37:6	ネバドン教育システム
37:8	孤独な使者｜アンドヴォンティア宇宙巡回監督者｜サルサティア国勢調査局長｜副査察官｜任命された歩哨｜宇宙調停者｜技術顧問｜天体記録者｜モロンティアの仲間
37:9	(1) スサティア|(2) ユニヴィタティア|(3) マテリアル・サンズ|(4) ミッドウェイ・クリーチャーズ|アバンダンターズ
37:10	スピロンガ|スポルナギア|コロニーの礼儀
38:8	(1) 昇天候補者|(2) 中期ケルビム|(3) モロンティアケルビム
38:9	(1) プライマリーミッドウェイアーズ|(2) セカンダリーミッドウェイアーズ
39:1	（1）子霊の奉仕者|_授与の付き添い者|（2）宮廷顧問|（3）宇宙の方向づけ者|（4）指導顧問|（5）割り当ての責任者|（6）記録者|（7）無所属の奉仕者
39:2	(1) 情報部隊|(2) 慈悲の声|(3) スピリット・コーディネーター|(4) アシスタント・ティーチャー|(5) トランスポーター|_セラフィック・トランスポーター技術|(6) 記録員|_放送員|(7) 予備役
39:3	(1) 監督補佐官|(2) 法予測者|(3) 社会設計者|(4) 倫理的感受性者|(5) 輸送者|(6) 記録者|(7) 予備役
39:4	(1) 事務補佐官|(2) 正義のガイド|(3) 宇宙市民権の通訳者|(4) 道徳の活性化者|(5) 転送者|(6) 記録者|(7) 予備役
39:5	(1) 庭の声|(2) 兄弟愛の精霊|(3) 平和の魂|(4) 信頼の精霊|(5) 輸送機|_天使のような輸送機の出発|(6) 記録者|(7) 予備軍
40:5	一時的または経験的なアジャスター滞在の人間|非アジャスター融合型の人間|アジャスター融合の可能性のある人間|番号なしシリーズ
40:9	記憶再構築の技術
42:2	(1) 宇宙の力|(2) 根源的な力|(3) 創発的なエネルギー|_a. 強力なエネルギー|_b. 重力エネルギー|(4) 宇宙の力|(5) ハヴォーナエネルギー|(6) 超越的なエネルギー|(7) モノタ
42:10	（1）前副官霊の心|（2）副官霊の心|（3）進化するモロンティアの心|宇宙の心
45:1	(1) ファイナリターの世界|(2) モロンティアの世界|(3) 天使の世界|(4) 超天使の世界|(5) 息子の世界|(6) 精霊の世界|(7) 父の世界
45:6	子育て体験談|サタニアの保護観察保育園
46:5	（1）神の子たちのサークル｜（2）天使たちのサークル｜（3）宇宙の援助者たちのサークル｜（4）マスター物理制御者たちのサークル｜（5）昇天する人間のサークル｜（6）儀礼コロニーのサークル｜（7）終焉者たちのサークル
47:1	必須の親の経験
47:3	モロンティア・コンパニオンズ
47:8	アジャスター融合
48:2	(1) 回路調整器|(2) システム調整器|(3) 惑星管理者|(4) 複合制御装置|(5) 連絡安定装置|(6) 選択的選別装置|(7) 準登録装置
48:3	（1）巡礼者の守護者｜（2）巡礼者の受取人と自由結社者｜（3）天の訪問者の接待者｜（4）調整者と連絡責任者｜（5）通訳者と翻訳者｜（6）遠足と回帰の監督者｜（7）地域と建物の管理者
48:4	天上のユーモア｜人間のユーモア
