ref	subsections
0:3	7가지 절대성|현실|나는 존재한다는 개념
0:4	천국
0:12	승인
3:5	불가피한 일들
3:6	축복
4:1	섭리
6:4	전능함, 전지함, 전지함
7:5	영원한 아들의 베스토올 | 원래 미카엘의 베스토올
8:4	창의적인 딸들
9:8	제3의 근원과 중심의 기능적 가족
10:5	유한한 태도, 절대적인 태도, 그리고 절대적인 태도
10:6	정의, 증거, 판단
10:8	필멸의 운명의 한계
11:6	침투되지 않은 공간
11:7	중공간 구역
11:8	힘, 에너지, 파워
13:1	(1) 디비닝턴|(2) 소나링턴|(3) 스피리팅턴|(4) 바이스저링턴|(5) 솔리타링턴|(6) 세라핑턴|(7) 어센딩턴
13:4	마스터 스피릿의 행정 거처
14:1	파라다이스-하보나 데이|어둠의 중력체들
14:4	하보나 원주민
14:5	단조로움과 모험
15:7	초우주 시간
15:9	지역 우주 회로
16:6	인과관계, 의무, 그리고 예배
17:1	삼위일체화된 피조물 아들들
19:4	삼위일체의 정지된 아들들
21:0	오리지널 마이클
22:1	삼위일체화된 성취의 아들들|삼위일체화된 선택의 아들들|삼위일체화된 완벽의 아들들
22:7	상승 삼위일체화된 아들들|낙원-하보나 삼위일체화된 아들들|운명의 삼위일체화된 아들들
23:3	세라핌과 다른 우주 속도
23:4	삼위일체화된 운명의 아들들
24:6	그랑판다, 최초의 등반자
26:1	중앙 우주의 사역 영들 | 초우주의 사역 영들 | 지역 우주의 사역 영들
26:3	(1) 하모니 감독관 |(2) 수석 기록관 |(3) 방송사 |(4) 메신저 |(5) 정보 조정자 |(6) 수송 담당자 |(7) 예비군
26:4	하보나에 도착한 승천자들
26:8	신을 찾지 못함
26:10	패배한 후보자의 배정
26:11	삼위일체화된 창조물 아들들
27:1	휴식의 본질
28:4	(1) 공동 행위자의 목소리 |(2) 일곱 주요 영의 목소리 |(3) 창조자 아들의 목소리 |(4) 천사 무리의 목소리 |(5) 방송 수신기 |(6) 전송 인물 |(7) 예비군
28:5	(1) 지혜의 목소리|(2) 철학의 영혼|(3) 영혼의 결합|(4) 조언의 마음|(5) 존재의 기쁨|(6) 봉사의 만족|(7) 영의 분별자
28:6	(1) 기원의 의미|(2) 자비의 기억|(3) 시간의 중요성|(4) 신뢰의 엄숙함|(5) 봉사의 신성함|(6) 그리고 (7) 위대함의 비밀과 선함의 영혼
29:2	(1) 최고 센터 감독관 |(2) 하보나 센터 |(3) 초우주 센터 |(4) 지역 우주 센터 |(5) 별자리 센터 |(6) 시스템 센터 |(7) 비밀이 아닌 센터
29:4	(1) 연관 전력 관리자|(2) 기계 제어기|(3) 에너지 변압기|(4) 에너지 송신기|(5) 1차 연관자|(6) 2차 분리자|(7) Frandalanks|Chronoldeks
29:5	주요 이벤트 마스터 포스 조직자 연합 초월 마스터 포스 조직자
30:1	I. 삼위일체 기원 존재들|II. 이중 기원 존재들|III. 단일 기원 존재들|IV. 궁극적 초월적 존재들|V. 신의 파편화된 실체들|VI. 초인격적 존재들|VII. 분류되지 않고 계시되지 않은 질서들
30:2	I. 낙원의 신들|II. 최고 영들|III. 삼위일체 기원의 존재들|IV. 신의 아들들|V. 무한한 영의 인격체들|VI. 우주의 권능 지휘자들|VII. 영주권 군단|복합 인격체 집단
30:3	(1) 별의 학생들 | (2) 천상의 장인들 | (3) 복귀 감독들 | (4) 확장 학교 강사들 | (5) 다양한 예비군단들 | (6) 학생 방문객들 | (7) 상승하는 순례자들
30:4	(1) 행성 필멸자|(2) 잠자는 생존자|(3) 맨션 월드 학생|(4) 모론시아 진보자|(5) 초우주 보호자|(6) 하보나 순례자|(7) 파라다이스 도착자
33:6	지역 우주 시간
34:6	인간의 이중성
34:7	"이게 바로 그 방법이야."
35:4	멜기세덱의 화신
35:8	1차 라노난덱|2차 라노난덱|3차 라노난덱
36:4	미드소니터스|샐빙턴 파이널라이터스 월드
36:5	(1) 직관의 영|(2) 이해의 영|(3) 용기의 영|(4) 지식의 영|(5) 조언의 영|(6) 예배의 영|(7) 지혜의 영
37:2	창조된 저녁별|상승하는 저녁별|저녁별의 세계
37:3	대천사의 세계
37:5	종족 위원|네바돈 완벽 군단|영혼이 융합된 필멸자의 세계
37:6	네바돈 교육 시스템
37:8	고독한 메신저들|안도본티아 우주 회로 감독관|살사티아 인구 조사국장|부감독관|지정된 파수꾼들|우주 조정자들|기술 고문들|천상 기록자들|모론시아 동료들
37:9	(1) 수사티아|(2) 유니비타티아|(3) 물질적 아들들|(4) 미드웨이 생물들|포기자들
37:10	스피롱가|스포르나기아|콜로니 제공
38:8	(1) 승천 후보자|(2) 중간 단계 케루빔|(3) 모론시아 케루빔
38:9	(1) 1차 미드웨이어|(2) 2차 미드웨이어
39:1	(1) 아들-영의 사역자|_수여 담당자|(2) 법정 고문|(3) 우주 방향 지시자|(4) 교육 상담자|(5) 배정 이사|(6) 기록자|(7) 무소속 사역자
39:2	(1) 정보부대 | (2) 자비의 목소리 | (3) 영혼 조정자 | (4) 조교 교사 | (5) 수송기 | 세라핌 수송 기술 | (6) 기록자 | 방송사 | (7) 예비군
39:3	(1) 감독 보조원|(2) 법률 예측자|(3) 사회 설계자|(4) 윤리적 감수자|(5) 운송자|(6) 기록자|(7) 예비군
39:4	(1) 행정 보조원|(2) 정의의 안내자|(3) 우주 시민권의 통역사|(4) 도덕의 촉진자|(5) 운송자|(6) 기록자|(7) 예비군
39:5	(1) 정원의 목소리들|(2) 형제애의 영혼들|(3) 평화의 영혼들|(4) 신뢰의 영혼들|(5) 수송선들|_세라핌 수송선의 출발|(6) 기록자들|(7) 예비군들
40:5	일시적 또는 경험적 조정자 체류의 필사자|비조정자 융합 유형의 필사자|조정자 융합 잠재력의 필사자|번호가 매겨지지 않은 시리즈
40:9	기억 재구성 기술
42:2	(1) 공간 잠재력|(2) 원시적 힘|(3) 출현 에너지|_a. 유력 에너지|_b. 중력 에너지|(4) 우주적 힘|(5) 하보나 에너지|(6) 초월적 에너지|(7) 모노타
42:10	(1) 전보조-영의 마음|(2) 보조-영의 마음|(3) 진화하는 모론시아 마음|_우주의 마음
45:1	(1) 최후의 세계|(2) 모론시아 세계|(3) 천사 세계|(4) 초천사 세계|(5) 아들들의 세계|(6) 영의 세계|(7) 아버지의 세계
45:6	부모의 경험 | 사타니아의 보호 관찰 보육원
46:5	(1) 신의 아들들의 원|(2) 천사들의 원|(3) 우주의 원조자들의 원|(4) 주요 물리적 통제자들의 원|(5) 상승하는 필멸자들의 원|(6) 예의 식민지들의 원|(7) 최종자들의 원
47:1	필수 부모 경험
47:3	모론시아 동료들
47:8	조정기 퓨전
48:2	(1) 회로 조정기|(2) 시스템 조정기|(3) 행성 관리자|(4) 결합 컨트롤러|(5) 연락 안정기|(6) 선택적 분류기|(7) 연관 등록자
48:3	(1) 순례 수호자 | (2) 순례 수신자 및 자유 연합자 | (3) 천상 방문자 호스트 | (4) 조정자 및 연락 책임자 | (5) 통역사 및 번역가 | (6) 여행 및 복귀 감독자 | (7) 지역 및 건물 관리자
48:4	천상의 유머|인간의 유머
48:6	(1) 세라핌 복음사들|_시편 23편의 원본|(2) 인종 통역가|(3) 마인드 플래너|(4) 모론시아 상담가|_모타의 입체 효과|(5) 기술자|(6) 기록자-교사|_진실과 사실|(7) 사역 예비군|_성공, 실패, 그리고 자아
49:2	(1) 대기형|(2) 원소형|(3) 중력형|(4) 온도형|(5) 전기형|(6) 에너지형|(7) 명명되지 않은 유형
49:5	(1) 행성 환경 적응 | 타바만티아가 검사한 실험 시리즈 | (2) 뇌 유형 시리즈 | (3) 영혼 수용 시리즈 | (4) 행성-필멸자 시대 | (5) 생물-친족 시리즈 | (6) 조정자-융합 시리즈 | (7) 지구 탈출 기술
49:6	(1) 생존의 분배적 또는 집단적 순서 | (2) 상승의 개별적 순서 | (3) 상승의 시험적 종속적 순서 | (4) 상승의 2차적 수정된 순서 | (5) 상승의 1차적 수정된 순서
50:7	Agondonters|Tabamantia an agondonter
54:5	12가지 이유
55:4	행성의 7단계|중도자들의 해방|아담의 이탈
55:12	최고 권력자의 무자격 감독관들
57:4	태양의 기원
57:5	역행 운동
57:6	행성 형성 시대|조석 마찰|중력 조석 폭발
57:7	화산 시대|원시 행성 대기
57:8	지진의 시대 | 세계 해양과 첫 번째 대륙
59:1	삼엽충 시대
59:2	무척추동물 시대
59:3	산호기|완족류 시대
59:4	식물생태계 육상생물기|어류시대
59:5	양치류 숲 석탄기|개구리 시대
59:6	종자식물기|생물학적 환난의 시대
60:3	꽃식물기|새의 시대
61:1	초기 포유류의 시대
61:2	고도 포유류의 시대
61:3	코끼리와 말의 시대
61:4	마지막 대포유류 이동
62:3	유인원 부족의 기원
64:6	(1) 붉은 남자|(2) 주황색 남자|(3) 황색 남자|(4) 녹색 남자|(5) 파란색 남자|(6) 남색 인종|_6개 인종의 목적
65:1	(1) 전기화학의 물리적 수준 | (2) 준영적 존재의 일반적인 중간 단계 | (3) 고급 반영적 수준
65:7	기계적-가르칠 수 없는 마음|비기계적 경험 마음
66:3	(1) 식량 및 물질 복지 위원회 | (2) 동물 길들이기 및 이용 위원회 | (3) 포식 동물 정복에 관한 자문 위원 | (4) 지식 보급 및 보존 학부 | (5) 산업 및 무역 위원회 | (6) 계시 종교 대학 | (7) 건강 및 생명의 수호자 | (8) 예술 및 과학에 관한 행성 위원회 | (9) 고급 부족 관계의 주지사 | (10) 부족 조정 및 인종 협력에 관한 대법원
68:5	(1) 수집 단계 |(2) 수렵 단계 |(3) 목축 단계 |(4) 농업 단계
68:6	토지-인간 비율
69:1	(1) 자기유지기관|(2) 자기보존기관|(3) 자기만족기관
70:2	현대 산업주의 대 군국주의
73:0	타바만티아의 검사
76:3	셋족 제사장들
76:5	마이클의 메시지
78:7	노아 이야기
80:2	지중해의 홍수
81:2	(1) 불의 길들이기|(2) 동물의 길들이기|(3) 포로의 노예화|(4) 사유재산
81:4	(1) 백인종 |(2) 몽골인종 |(3) 흑인종
81:5	힘과 권리
81:6	(1) 자연적 상황 | (2) 자본재 | (3) 과학적 지식 | (4) 인적 자원 | (5) 물질적 자원의 효과성 | (6) 언어의 효과성 | (7) 기계 장치의 효과성 | (8) 횃불 들고 가는 사람의 성격 | (9) 인종적 이상 | (10) 전문가의 조정 | (11) 장소 찾기 장치 | (12) 협력 의지 | (13) 효과적이고 현명한 리더십 | (14) 사회적 변화 | (15) 과도기적 붕괴 방지
88:2	이미지와 우상|“성서”
89:3	금욕 숭배
89:7	성전 매춘
91:2	기도와 마법
92:4	(1) 달라마시아의 가르침|(2) 에덴의 가르침|(3) 살렘의 멜기세덱|(4) 나사렛 예수|(5) 우란시아 문서
92:6	11개의 살아있는 종교
93:4	신조|일곱 가지 계명
94:1	리그베다
94:2	환생의 교리
94:8	고타마의 복음 | 도덕 계명
96:5	물질주의적 섭리
97:5	미가와 오바댜
97:9	에브라임과 유다 | 사울과 다윗 | 솔로몬과 세금 | 이스라엘과 유다 | 이스라엘 왕국의 멸망 | 유다 왕국의 종말 | 바빌론 유수
98:4	키벨레와 아티스의 프리기아 숭배 | 오시리스와 이시스의 이집트 숭배 | 미트라의 이란 숭배
101:3	영적 신앙의 12가지 예
101:6	구원의 일곱 가지 측면
106:1	일곱 배의 하나님
106:2	최고 존재
106:3	트리니티 얼티밋
106:4	궁극의 신
106:5	삼위일체 절대
106:6	무한한 우주
106:8	(1) 삼위일체의 수준 | (2) 체험적 신의 수준 | (3) 나 자신(I AM)의 수준
108:2	우란시아에 관하여|다른 세계에 관하여
108:3	타바만티아의 헌정
109:6	예수님 안에 거하시는 조정자
109:7	전인격적 존재들
110:7	영혼에 대한 조정자의 간청
111:7	운명의 수호자의 성명
112:0	성격의 14가지 측면
114:4	대부분의 높은 리젠시
114:6	(1) 시대의 천사들|(2) 진보의 천사들|(3) 종교적 수호자들|(4) 국가 생활의 천사들|(5) 인종의 천사들|(6) 미래의 천사들|(7) 계몽의 천사들|(8) 건강의 천사들|(9) 가정의 세라핌|(10) 산업의 천사들|(11) 오락의 천사들|(12) 초인적 사역의 천사들
116:1	우주의 마음
116:5	평형의 문제
117:2	창조물 삼위일체 아들들과 성장
117:4	우주적 도덕성-최고의 의무
117:5	최종자 초월|인간 성장의 반향
118:1	경험적(주관적) 시간 단위
118:3	진실과 사실|공간과 패턴
118:8	진보의 시간 지배자
121:4	(1) 에피쿠로스 학파|(2) 스토아 학파|(3) 냉소 학파|(4) 회의론자
121:5	신비주의 종교들
121:8	(1) 마가복음|(2) 마태복음|(3) 누가복음|(4) 요한복음|_감사의 글
122:4	“다윗의 집”
122:8	목동들의 전설|우르의 세 제사장|“베들레헴의 별”
122:10	이집트로의 비행
123:0	이집트에서의 체류
123:1	예수의 네 번째 해
123:2	자녀 양육
123:4	물질적 사고
