ref	subsections
0:3	Septyni Absoliutai | Realybė | AŠ ESU sąvoka
0:4	Rojus
0:12	Padėka
3:5	Neišvengiamumas
3:6	Palaiminimas
4:1	Apvaizda
6:4	Visagalybė, visur buvimas, visažinystė
7:5	Amžinojo Sūnaus savęs padovanojimai | Pirminio Mykolo savęs padovanojimai
8:4	Kūrybingos dukros
9:8	Trečiojo Šaltinio ir Centro funkcinė šeima
10:5	Baigtinis, absonitinis ir absoliutus požiūris
10:6	Teisingumas, įrodymai ir sprendimas
10:8	Mirtingojo likimo ribos
11:6	Neperpildyta erdvė
11:7	Vidurinės erdvės zonos
11:8	Jėga, energija, galia
13:1	(1) Diviningtonas|(2) Sonaringtonas|(3) Spiritingtonas|(4) Vicegeringtonas|(5) Solitaringtonas|(6) Serafingtonas|(7) Ascendingtonas
13:4	Pagrindinių Dvasių vykdomosios buveinės
14:1	Rojaus-Havonos diena | Tamsūs gravitacijos kūnai
14:4	Havonos čiabuviai
14:5	Monotonija ir nuotykiai
15:7	Supervisatos laikas
15:9	Vietinės visatos grandinės
16:6	Priežastingumas, pareiga ir garbinimas
17:1	Kūrinių sutrejybinti Sūnūs
19:4	Stacionarūs Trejybės sūnūs
21:0	Originalusis Michaelas
22:1	Sutrejybinti Pasiekimo Sūnūs|Sutrejybinti Pasirinkimo Sūnūs|Sutrejybinti Tobulumo Sūnūs
22:7	Kylančiųjų sutrejybinti Sūnūs|Rojaus-Havonos sutrejybinti Sūnūs|Sutrejybinti likimo sūnūs
23:3	Serafiniai ir kiti erdvės greičiai
23:4	Trejybinti likimo sūnūs
24:6	Grandfanda, pirmasis įkopėjas
26:1	Centrinės Visatos Tarnaujančiosios Dvasios|Supervisatų Tarnaujančiosios Dvasios|Vietinių Visatų Tarnaujančiosios Dvasios
26:3	(1) Harmonijos prižiūrėtojai | (2) Vyriausiieji protokoluotojai | (3) Transliuotojai | (4) Pasiuntiniai | (5) Žvalgybos koordinatoriai | (6) Transporto personalas | (7) Rezervinis korpusas
26:4	Kylančiųjų atvykimas į Havoną
26:8	Nesugebėjimas rasti dievybės
26:10	Pralaimėjusių kandidatų paskyrimai
26:11	Kūrinių sutrejybinti sūnūs
27:1	Poilsio pobūdis
28:4	(1) Bendrai Veikiančiojo Balsas|(2) Septynių Pagrindinių Dvasių Balsas|(3) Sūnų Kūrėjų Balsas|(4) Angeliškų Pulkų Balsas|(5) Transliacijų Imtuvai|(6) Transporto Asmenybės|(7) Rezervinis Korpusas
28:5	(1) Išminties Balsas|(2) Filosofijos Siela|(3) Sielų Sąjunga|(4) Patarimo Širdis|(5) Egzistencijos Džiaugsmas|(6) Tarnystės Pasitenkinimas|(7) Dvasių Atpažinėjas
28:6	(1) Ištakų reikšmė | (2) Gailestingumo atmintis | (3) Laiko svarba | (4) Pasitikėjimo iškilmingumas | (5) Tarnystės šventumas | (6) ir (7) Didybės paslaptis ir gėrio siela
29:2	(1) Aukščiausieji Centrų Prižiūrėtojai|(2) Havonos Centrai|(3) Supervisatų Centrai|(4) Vietinių Visatų Centrai|(5) Žvaigždynų Centrai|(6) Sistemų Centrai|(7) Neklasifikuoti Centrai
29:4	(1) Asocijuoti Energijos Valdytojai|(2) Mechaniniai Valdikliai|(3) Energijos Transformatoriai|(4) Energijos Perdavėjai|(5) Pirminiai Asocijuotojai|(6) Antriniai Disociatoriai|(7) Frandalankai|Chronoldekai
29:5	Pirminiai Įvykę Pagrindiniai Jėgos Organizatoriai Asocijuoti Transcendentiniai Pagrindiniai Jėgos Organizatoriai
30:1	I. Trivienės Kilmės Būtybės | II. Dvigubos Kilmės Būtybės | III. Vienos Kilmės Būtybės | IV. Atsiradusios Transcendentinės Būtybės | V. Dievybės Fragmentuotos Būtybės | VI. Viršasmenės Būtybės | VII. Neklasifikuotos ir Neapreikštos Kategorijos
30:2	I. Rojaus Dievybės | II. Aukščiausiosios Dvasios | III. Trejybės Kilmės Būtybės | IV. Dievo Sūnūs | V. Begalinės Dvasios Asmenybės | VI. Visatos Energijos Reguliuotojai | VII. Nuolatinių Pilietybių Korpusas | Sudėtinės Asmenybių Grupės
30:3	(1) Žvaigždžių Studentai|(2) Dangiškieji Amatininkai|(3) Atgalinės Navigacijos Direktoriai|(4) Papildomosios Mokyklos Instruktoriai|(5) Įvairūs Rezerviniai Korpusai|(6) Studentai Lankytojai|(7) Kylantieji Piligrimai
