ref	subsections
0:3	De zeven absolute waarden | Realiteit | Concept van het IK BEN
0:4	Paradijs
0:12	Erkenning
3:5	De onvermijdelijkheden
3:6	De zegen
4:1	Voorzienigheid
6:4	Almacht, alomtegenwoordigheid, alwetendheid
7:5	Schenkingen van de Eeuwige Zoon | Schenkingen van de Oorspronkelijke Michaël
8:4	Creatieve dochters
9:8	Functionele familie van de Derde Bron en Centrum
10:5	Eindige, absoniete en absolute houding
10:6	Rechtvaardigheid, bewijs en oordeel
10:8	Grenzen van het sterfelijke lot
11:6	Ondoordrongen ruimte
11:7	Midspace-zones
11:8	Kracht, energie, vermogen
13:1	(1) Divinington|(2) Sonarington|(3) Spiritington|(4) Vicegerington|(5) Solitarington|(6) Seraphington|(7) Ascendington
13:4	Uitvoerende verblijven van de Meestergeesten
14:1	Paradijs-Havona dag|De donkere zwaartekrachtlichamen
14:4	Inheemse bewoners van Havona
14:5	Eentonigheid en avontuur
15:7	Superuniversum tijd
15:9	Circuits van het lokale universum
16:6	Oorzaak, plicht en aanbidding
17:1	Schepsel-getrinitiseerde Zonen
19:4	Stationaire Zonen van de Drie-eenheid
21:0	De originele Michael
22:1	Getrinitiseerde Zonen van Verwezenlijking | Getrinitiseerde Zonen van Selectie | Getrinitiseerde Zonen van Volmaaktheid
22:7	Opstijgende-getrinitiseerde Zonen | Paradijs-Havona getrinitiseerde Zonen | Getrinitiseerde zonen van het lot
23:3	Serafische en andere ruimtesnelheden
23:4	Getrinitiseerde zonen van het lot
24:6	Grandfanda, de eerste beklimming
26:1	Dienende Geesten van het Centrale Universum | Dienende Geesten van de Superuniversa | Dienende Geesten van de Lokale Universa
26:3	(1) De Harmonie Supervisoren|(2) De Hoofdregistrateurs|(3) De Omroepers|(4) De Boodschappers|(5) De Inlichtingen Coördinatoren|(6) De Transportpersoonlijkheden|(7) Het Reserve Korps
26:4	Aankomst van de Ascenders in Havona
26:8	Het niet vinden van de Godheid
26:10	Toewijzingen van verslagen kandidaten
26:11	Schepsel-getrinitiseerde zonen
27:1	Aard van de rust
28:4	(1) De stem van de gezamenlijke acteur|(2) De stem van de zeven meestergeesten|(3) De stem van de Schepperzonen|(4) De stem van de engelachtige legerscharen|(5) Omroepontvangers|(6) Transportpersoonlijkheden|(7) Het reservekorps
28:5	(1) De Stem van Wijsheid|(2) De Ziel van de Filosofie|(3) De Eenheid van Zielen|(4) Het Hart van Raad|(5) De Vreugde van het Bestaan|(6) De Voldoening van Dienstbaarheid|(7) De Onderscheider van Geesten
28:6	(1) De betekenis van oorsprongen|(2) De herinnering aan genade|(3) Het belang van tijd|(4) De plechtigheid van vertrouwen|(5) De heiligheid van dienstbaarheid|(6) en (7) Het geheim van grootheid en de ziel van goedheid
29:2	(1) Supervisoren van het Opperste Centrum|(2) Havona-centra|(3) Superuniversumcentra|(4) Lokale Universumcentra|(5) Constellatiecentra|(6) Systeemcentra|(7) Niet-geclassificeerde centra
29:4	(1) Geassocieerde Power Directors|(2) Mechanische Controllers|(3) Energietransformatoren|(4) Energietransmitters|(5) Primaire Associatoren|(6) Secundaire Dissociatoren|(7) De Frandalanks|De Chronoldeks
29:5	Primaire Eventuated Master Force Organisatoren Associate Transcendentale Master Force Organisatoren
30:1	I. Wezens met een Drievoudige Oorsprong | II. Wezens met een Dubbele Oorsprong | III. Wezens met een Enkelvoudige Oorsprong | IV. Geëffectueerde Transcendentale Wezens | V. Gefragmenteerde Entiteiten van Goddelijkheid | VI. Superpersoonlijke Wezens | VII. Ongeclassificeerde en Ongeopenbaarde Orden
30:2	I. De Paradijsgoden | II. De Allerhoogste Geesten | III. De Wezens van Drie-Oorsprong | IV. De Zonen van God | V. Persoonlijkheden van de Oneindige Geest | VI. De Universum Krachtleiders | VII. Het Korps van Permanent Burgerschap | Samengestelde Persoonlijkheidsgroepen
30:3	(1) De Sterrenstudenten|(2) De Hemelse Ambachtslieden|(3) De Terugkeerdirecteuren|(4) Leraren van de Voortgezette School|(5) De Verschillende Reservekorpsen|(6) De Studentenbezoekers|(7) De Opstijgende Pelgrims
30:4	(1) Planetaire stervelingen|(2) Slapende overlevenden|(3) Studenten van de Herenhuiswereld|(4) Morontia-voortgangers|(5) Afdelingen van het Superuniversum|(6) Havona-pelgrims|(7) Aankomsten in het Paradijs
33:6	Lokale universumtijd
34:6	Dubbele natuur van de mens
34:7	“Dit is de weg.”
35:4	Melchizedek-incarnaties
35:8	Primaire Lanonandeks|Secundaire Lanonandeks|Tertiaire Lanonandeks
36:4	De midsoniters | Salvington Worlds of the Finaliters
36:5	(1) De geest van intuïtie|(2) De geest van begrip|(3) De geest van moed|(4) De geest van kennis|(5) De geest van raad|(6) De geest van aanbidding|(7) De geest van wijsheid
37:2	Gemaakt Avondsterren|Ascendant Avondsterren|De Werelden van de Avondsterren
37:3	De werelden van de aartsengelen
37:5	Racecommissarissen | Nebadon Corps of Perfection | Werelden van de met de Geest gefuseerde Stervelingen
37:6	Nebadon onderwijssysteem
