ref	subsections
0:3	Siedem Absolutów|Rzeczywistość|Koncepcja JA JESTEM
0:4	Raj
0:12	Potwierdzenie
3:5	Nieuchronności
3:6	Błogosławieństwo
4:1	Opatrzność
6:4	Wszechmoc, wszechobecność, wszechwiedza
7:5	Obdarowania Wiecznego Syna|Obdarowania Pierwotnego Michała
8:4	Kreatywne córki
9:8	Rodzina funkcjonalna Trzeciego Źródła i Centrum
10:5	Postawa skończona, absolutna i absoniczna
10:6	Sprawiedliwość, dowody i osąd
10:8	Granice śmiertelnego przeznaczenia
11:6	Nieprzenikniona przestrzeń
11:7	Strefy przestrzeni środkowej
11:8	Siła, energia, moc
13:1	(1) Divinington|(2) Sonarington|(3) Spiritington|(4) Vicegerington|(5) Solitarington|(6) Seraphington|(7) Ascendington
13:4	Siedziby wykonawcze Duchów Mistrzów
14:1	Dzień Raju-Hawony|Ciemne ciała grawitacyjne
14:4	Rdzenni mieszkańcy Hawony
14:5	Monotonia i przygoda
15:7	Czas superwszechświata
15:9	Obwody wszechświata lokalnego
16:6	Przyczynowość, obowiązek i kult
17:1	Synowie utrójcowieni przez stworzenie
19:4	Stacjonarni Synowie Trójcy
21:0	Oryginalny Michael
22:1	Utrójcowieni Synowie Osiągnięcia|Utrójcowieni Synowie Wyboru|Utrójcowieni Synowie Doskonałości
22:7	Synowie utrójcowieni przez Wniebowstąpienie|Synowie utrójcowieni przez Raj-Havonę|Utrójcowieni synowie przeznaczenia
23:3	Seraficzne i inne prędkości kosmiczne
23:4	Utrójcowieni synowie przeznaczenia
24:6	Grandfanda, pierwszy wspinacz
26:1	Duchy służebne wszechświata centralnego | Duchy służebne superwszechświatów | Duchy służebne wszechświatów lokalnych
26:3	(1) Nadzorcy Harmonii|(2) Główni Rejestratorzy|(3) Prezenterzy|(4) Posłańcy|(5) Koordynatorzy Wywiadu|(6) Osobistości Transportu|(7) Korpus Rezerwowy
26:4	Przybycie Ascenderów do Hawony
26:8	Niemożność znalezienia Bóstwa
26:10	Zadania pokonanych kandydatów
26:11	Synowie utrójcowieni przez stworzenie
27:1	Natura odpoczynku
28:4	(1) Głos Wspólnego Aktora|(2) Głos Siedmiu Duchów Mistrzowskich|(3) Głos Synów Stwórców|(4) Głos Zastępów Anielskich|(5) Odbiorniki radiowe|(6) Osobowości transportowe|(7) Korpus Rezerwowy
28:5	(1) Głos mądrości|(2) Dusza filozofii|(3) Zjednoczenie dusz|(4) Serce rady|(5) Radość istnienia|(6) Satysfakcja ze służby|(7) Rozróżniacz duchów
28:6	(1) Znaczenie początków|(2) Pamięć o miłosierdziu|(3) Znaczenie czasu|(4) Uroczystość zawierzenia|(5) Świętość służby|(6) i (7) Tajemnica wielkości i dusza dobra
29:2	(1) Nadzorcy Centrów Najwyższych|(2) Centra Havony|(3) Centra Superwszechświata|(4) Centra Wszechświata Lokalnego|(5) Centra Konstelacji|(6) Centra Systemowe|(7) Centra Nieklasyfikowane
29:4	(1) Dyrektorzy ds. energii pomocniczej | (2) Kontrolerzy mechaniczni | (3) Transformatory energii | (4) Przekaźniki energii | (5) Pierwotni asocjatorzy | (6) Wtórni dysocjatorzy | (7) Frandalanki | Chronoldeki
29:5	Pierwotni Mistrzowie Sił Zbrojnych Współpracownicy Mistrzowie Sił Zbrojnych Transcendentalni
30:1	I. Istoty o Trójjedynym Pochodzeniu|II. Istoty o Podwójnym Pochodzeniu|III. Istoty o Pojedynczym Pochodzeniu|IV. Zrealizowane Istoty Transcendentalne|V. Rozdrobnione Byty Bóstwa|VI. Istoty Ponadosobowe|VII. Porządki Niesklasyfikowane i Nieobjawione
30:2	I. Bóstwa Raju|II. Duchy Najwyższe|III. Istoty Trójcowego Pochodzenia|IV. Synowie Boga|V. Osobowości Nieskończonego Ducha|VI. Kierownicy Mocy Wszechświata|VII. Korpus Stałego Obywatelstwa|Złożone Grupy Osobowości
30:3	(1) Studenci Gwiazd|(2) Niebiańscy Rzemieślnicy|(3) Dyrektorzy Powrotu|(4) Instruktorzy Szkoły Rozszerzającej|(5) Różne Korpusy Rezerwowe|(6) Wizytujący Studenci|(7) Wstępujący Pielgrzymi
30:4	(1) Śmiertelnicy planetarni|(2) Śpiący ocalali|(3) Studenci świata-dworów|(4) Postępowcy Morontiańscy|(5) Podopieczni superwszechświata|(6) Pielgrzymi Havony|(7) Przybysze z raju
33:6	Czas lokalnego wszechświata
34:6	Podwójna natura człowieka
34:7	„To jest droga.”
35:4	Wcielenia Melchizedeka
35:8	Lanonandekowie pierwotni| Lanonandekowie drugorzędni| Lanonandekowie trzeciorzędni
36:4	Midsoniters|Salvington Worlds of the Finaliters
36:5	(1) Duch intuicji|(2) Duch zrozumienia|(3) Duch odwagi|(4) Duch wiedzy|(5) Duch rady|(6) Duch czci|(7) Duch mądrości
37:2	Stworzone Gwiazdy Wieczorne|Wschodzące Gwiazdy Wieczorne|Światy Gwiazd Wieczornych
37:3	Światy Archaniołów
37:5	Komisarze rasy | Korpus Doskonałości Nebadonu | Światy śmiertelników zjednoczonych z Duchem
37:6	System edukacyjny Nebadonu
37:8	Samotni Posłańcy | Nadzorca Obwodu Wszechświata – Andovontia | Dyrektor Spisu Ludności – Salsatia | Zastępca Inspektora | Przydzieleni Strażnicy | Uniwersalni Rozjemcy | Doradcy Techniczni | Niebiańscy Rejestratorzy | Towarzysze Morontiańscy
37:9	(1) Susatia|(2) Univitatia|(3) Synowie Materialni|(4) Istoty Midway|Abandonterzy
37:10	Spironga|Spornagia|Kolonie uprzejmościowe
38:8	(1) Kandydaci do Wniebowstąpienia|(2) Cherubini fazy środkowej|(3) Cherubini morontialni
38:9	(1) Pierwotni pośrednicy|(2) Drugorzędni pośrednicy
39:1	(1) Ministrowie Syna-Ducha | Asystenci obdarzeni |(2) Doradcy dworscy |(3) Orientatorzy wszechświata |(4) Doradcy ds. nauczania |(5) Dyrektorzy ds. przydziału |(6) Rejestratorzy |(7) Ministrowie niezależni
39:2	(1) Korpus Wywiadowczy|(2) Głos Miłosierdzia|(3) Koordynatorzy Duchowi|(4) Nauczyciele Asystenci|(5) Transportowcy|_Techniki transportu seraficznego|(6) Rejestratorzy|_Nadawcy|(7) Rezerwy
39:3	(1) Asystenci nadzorujący|(2) Prognozy prawne|(3) Architekci społeczni|(4) Uwrażliwiacze etyczni|(5) Transportowcy|(6) Rejestratorzy|(7) Rezerwy
39:4	(1) Asystenci administracyjni|(2) Przewodnicy sprawiedliwości|(3) Interpretatorzy obywatelstwa kosmicznego|(4) Przyspieszacze moralności|(5) Transporterzy|(6) Rejestratorzy|(7) Rezerwy
39:5	(1) Głosy Ogrodu|(2) Duchy Braterstwa|(3) Dusze Pokoju|(4) Duchy Zaufania|(5) Transportowcy|_Wylot seraficznego transportu|(6) Rejestratorzy|(7) Rezerwy
40:5	Śmiertelnicy przejściowego lub doświadczalnego pobytu z Dostrajaczem|Śmiertelnicy typu nie-zintegrowanego z Dostrajaczem|Śmiertelnicy z potencjałem zintegro-wania z Dostrajaczem|Nieponumerowana seria
40:9	Techniki rekonstrukcji pamięci
42:2	(1) Potencja przestrzeni|(2) Siła pierwotna|(3) Energie emergentne|_a. Energia potężna|_b. Energia grawitacji|(4) Moc wszechświata|(5) Energia Havony|(6) Energia transcendentalna|(7) Monota
42:10	(1) Umysły przedduchowe|(2) Umysły adiutantów|(3) Ewoluujące umysły morontialne|_Umysł kosmiczny
