ref	subsections
0:3	Os Sete Absolutos | Realidade | Conceito do EU SOU
0:4	Paraíso
0:12	Reconhecimento
3:5	As inevitabilidades
3:6	A bênção
4:1	Providência
6:4	Onipotência, onipresença, onisciência
7:5	Dádivas do Filho Eterno | Dádivas do Miguel Original
8:4	Filhas Criativas
9:8	Família funcional da Terceira Fonte e Centro
10:5	Atitude finita, absolutista e absoluta
10:6	Justiça, provas e julgamento
10:8	Limites do destino mortal
11:6	Espaço não permeado
11:7	Zonas intermediárias
11:8	Força, energia, poder
13:1	(1) Divinington|(2) Sonarington|(3) Spiritington|(4) Vicegerington|(5) Solitarington|(6) Seraphington|(7) Ascendington
13:4	Residências executivas dos Espíritos Mestres
14:1	Dia Paradise-Havona | Os corpos de gravidade escura
14:4	Nativos de Havona
14:5	Monotonia e aventura
15:7	Tempo do superuniverso
15:9	Circuitos do universo local
16:6	Causalidade, dever e adoração
17:1	Filhos Trinitizados Criaturas
19:4	Filhos estacionários da Trindade
21:0	O Michael original
22:1	Filhos Trinitizados da Conquista | Filhos Trinitizados da Seleção | Filhos Trinitizados da Perfeição
22:7	Filhos trinificados do Ascendente | Filhos trinificados de Paraíso-Havona | Filhos trinificados do destino
23:3	velocidades seráficas e outras velocidades espaciais
23:4	Filhos trinitários do destino
24:6	Grandfanda, o primeiro a ascender
26:1	Espíritos Ministradores do Universo Central | Espíritos Ministradores dos Superuniversos | Espíritos Ministradores dos Universos Locais
26:3	(1) Os Supervisores de Harmonia|(2) Os Registradores-Chefes|(3) Os Locutores|(4) Os Mensageiros|(5) Os Coordenadores de Inteligência|(6) As Personalidades do Transporte|(7) O Corpo de Reserva
26:4	Chegada dos Ascenders em Havona
26:8	Falha em encontrar a divindade
26:10	Atribuições dos candidatos derrotados
26:11	filhos trinitários
27:1	Natureza do repouso
28:4	(1) A Voz do Ator Conjunto|(2) A Voz dos Sete Espíritos Mestres|(3) A Voz dos Filhos Criadores|(4) A Voz das Hostes Angélicas|(5) Receptores de Transmissão|(6) Personalidades de Transporte|(7) O Corpo de Reserva
28:5	(1) A Voz da Sabedoria|(2) A Alma da Filosofia|(3) A União das Almas|(4) O Coração do Conselho|(5) A Alegria da Existência|(6) A Satisfação do Serviço|(7) O Discernimento dos Espíritos
28:6	(1) O Significado das Origens|(2) A Memória da Misericórdia|(3) A Importância do Tempo|(4) A Solenidade da Confiança|(5) A Santidade do Serviço|(6) e (7) O Segredo da Grandeza e a Alma da Bondade
29:2	(1) Supervisores do Centro Supremo|(2) Centros Havona|(3) Centros do Superuniverso|(4) Centros do Universo Local|(5) Centros da Constelação|(6) Centros do Sistema|(7) Centros Não Classificados
29:4	(1) Diretores de Energia Associados|(2) Controladores Mecânicos|(3) Transformadores de Energia|(4) Transmissores de Energia|(5) Associadores Primários|(6) Dissociadores Secundários|(7) Os Frandalanks|Os Chronoldeks
29:5	Organizadores Primários da Força Mestra Eventuada, Organizadores Associados da Força Mestra Transcendental
30:1	I. Seres de Origem Trina | II. Seres de Origem Dupla | III. Seres de Origem Única | IV. Seres Transcendentais Eventuados | V. Entidades Fragmentadas da Divindade | VI. Seres Superpessoais | VII. Ordens Não Classificadas e Não Reveladas
30:2	I. As Divindades do Paraíso | II. Os Espíritos Supremos | III. Os Seres de Origem Trina | IV. Os Filhos de Deus | V. Personalidades do Espírito Infinito | VI. Os Diretores do Poder do Universo | VII. O Corpo de Cidadania Permanente | Grupos de Personalidades Compostas
30:3	(1) Os Alunos Estrelas|(2) Os Artesãos Celestiais|(3) Os Diretores de Reversão|(4) Instrutores da Escola de Extensão|(5) Os Vários Corpos de Reserva|(6) Os Visitantes Estudantes|(7) Os Peregrinos Ascendentes
30:4	(1) Mortais Planetários|(2) Sobreviventes Adormecidos|(3) Estudantes do Mundo da Mansão|(4) Progressistas de Morontia|(5) Protegidos do Superuniverso|(6) Peregrinos de Havona|(7) Chegadas ao Paraíso
33:6	Tempo do universo local
34:6	A natureza dual do homem
34:7	“Este é o caminho.”
35:4	Encarnações de Melquisedeque
35:8	Lanonandeques Primários | Lanonandeques Secundários | Lanonandeques Terciários
36:4	Os midsoniters|Salvington Mundos dos Finalistas
36:5	(1) O espírito da intuição|(2) O espírito da compreensão|(3) O espírito da coragem|(4) O espírito do conhecimento|(5) O espírito do conselho|(6) O espírito da adoração|(7) O espírito da sabedoria
37:2	Estrelas Vespertinas Criadas|Estrelas Vespertinas Ascendentes|Os Mundos das Estrelas Vespertinas
37:3	Os Mundos dos Arcanjos
37:5	Comissários de raça | Corpo de Perfeição de Nebadon | Mundos dos Mortais fundidos ao Espírito
37:6	Sistema educacional Nebadon
37:8	Mensageiros Solitários|Supervisor do Circuito Universal - Andovontia|Diretor do Censo - Salsatia|Inspetor Associado|Sentinelas Designadas|Conciliadores Universais|Conselheiros Técnicos|Registradores Celestiais|Companheiros de Morontia
37:9	(1) Susatia|(2) Univitatia|(3) Filhos Materiais|(4) Criaturas Intermediárias|Abandonadores
37:10	A Spironga|A Spornagia|Colônias de cortesia
38:8	(1) Candidatos à Ascensão|(2) Querubins da Fase Intermediária|(3) Querubins da Morôncia
38:9	(1) Intermediários Primários | (2) Intermediários Secundários
39:1	(1) Ministros do Espírito Filho|_Atendentes de Investidura|(2) Conselheiros da Corte|(3) Orientadores do Universo|(4) Os Conselheiros de Ensino|(5) Diretores de Atribuição|(6) Os Registradores|(7) Ministros Não Vinculados
39:2	(1) O Corpo de Inteligência|(2) A Voz da Misericórdia|(3) Coordenadores Espirituais|(4) Professores Assistentes|(5) Os Transportadores|_Técnicas de transporte seráfico|(6) Os Gravadores|_Locutores|(7) Os Reservistas
39:3	(1) Assistentes de Supervisão|(2) Previsores Jurídicos|(3) Arquitetos Sociais|(4) Sensibilizadores Éticos|(5) Os Transportadores|(6) Os Registradores|(7) As Reservas
