ref	subsections
0:3	Cele șapte absoluturi|Realitate|Conceptul de EU SUNT
0:4	Paradis
0:12	Confirmare
3:5	Inevitabilitățile
3:6	Binecuvântarea
4:1	Providența
6:4	Omnipotență, omniprezență, omnisciență
7:5	Dăruirile Fiului Etern|Dăruirile Mihailului Original
8:4	Fiice creative
9:8	Familia funcțională a celei de-a Treia Surse și Centru
10:5	Atitudine finită, absonită și absolută
10:6	Justiție, dovezi și judecată
10:8	Limitele destinului muritor
11:6	Spațiu nepervazat
11:7	Zonele spațiului mediu
11:8	Forță, energie, putere
13:1	(1) Divinington|(2) Sonarington|(3) Spiritington|(4) Vicegerington|(5) Solitarington|(6) Seraphington|(7) Ascendington
13:4	Locuințele executive ale Spiritelor Maestru
14:1	Ziua Paradis-Havona | Corpurile gravitaționale întunecate
14:4	Nativii din Havona
14:5	Monotonie și aventură
15:7	Timpul superuniversului
15:9	Circuite locale ale universului
16:6	Cauzalitate, datorie și venerație
17:1	Fii trinitizați de creaturi
19:4	Fiii staționari ai Trinității
21:0	Michael-ul original
22:1	Fii Trinitizați ai Realizării | Fii Trinitizați ai Selecției | Fii Trinitizați ai Perfecțiunii
22:7	Fii trinitizați de Ascendent | Fii trinitizați de Paradise-Havona | Fii trinitizați ai destinului
23:3	Viteze serafice și alte viteze spațiale
23:4	Fii trinitizați ai destinului
24:6	Grandfanda, prima persoană care a ascensionat
26:1	Spirite Slujitoare ale Universului Central|Spirite Slujitoare ale Superuniversurilor|Spirite Slujitoare ale Universurilor Locale
26:3	(1) Supraveghetorii de armonie | (2) Șefii de înregistrare | (3) Emițătorii | (4) Mesagerii | (5) Coordonatorii de informații | (6) Personalitățile de transport | (7) Corpul de rezervă
26:4	Sosirea Ascendenților în Havona
26:8	Eșecul de a găsi Divinitatea
26:10	Repartizarea candidaților învinși
26:11	Fii trinitizați de creaturi
27:1	Natura odihnei
28:4	(1) Vocea Actorului Conjunt|(2) Vocea celor Șapte Spirite Maestru|(3) Vocea Fiilor Creatori|(4) Vocea Oștirilor Angelice|(5) Receptoare de Transmisie|(6) Personalități de Transport|(7) Corpul de Rezervă
28:5	(1) Vocea Înțelepciunii|(2) Sufletul Filosofiei|(3) Unirea Sufletelor|(4) Inima Sfatului|(5) Bucuria Existenței|(6) Satisfacția Slujirii|(7) Discernătorul Spiritelor
