ref	subsections
0:3	De sju absoluta | Verkligheten | Begreppet JAG ÄR
0:4	Paradis
0:12	Bekräftelse
3:5	Oundvikligheterna
3:6	Välsignelsen
4:1	Försyn
6:4	Allmakt, allestädesnärvaro, allvetenhet
7:5	Den Evige Sonens Utgivningar | Den Ursprunglige Mikaels Utgivningar
8:4	Kreativa döttrar
9:8	Funktionell familj av den Tredje Källan och Centrumet
10:5	Ändlig, absonit och absolut attityd
10:6	Rättvisa, bevis och dom
10:8	Gränser för det dödliga ödet
11:6	Opervaderat utrymme
11:7	Midspace-zoner
11:8	Kraft, energi, kraft
13:1	(1) Divinington|(2) Sonarington|(3) Spiritington|(4) Vicegerington|(5) Solitarington|(6) Seraphington|(7) Ascendington
13:4	Härskarandarnas verkställande boningar
14:1	Paradise-Havona-dagen|De mörka gravitationskropparna
14:4	Havona-infödingar
14:5	Monotoni och äventyr
15:7	Superuniversumstid
15:9	Lokala universumkretsar
16:6	Orsakssamband, plikt och dyrkan
17:1	Varelsernas treenigade söner
19:4	Stationära Treenighetens Söner
21:0	Den ursprungliga Michael
22:1	Treenigade Uppnåelsens Söner | Treenigade Urvalets Söner | Treenigade Fullkomlighetens Söner
22:7	Uppstigande-treenigade Söner|Paradis-Havona treenigade Söner|Ödestreenigade söner
23:3	Serafiska och andra rymdhastigheter
23:4	Treenigade ödesöner
24:6	Grandfanda, den första uppstigaren
26:1	Tjänande andar i Centraluniversumet|Tjänande andar i Superuniversumerna|Tjänande andar i Lokaluniversumerna
26:3	(1) Harmoniövervakarna|(2) Chefsregistratorerna|(3) Sändarna|(4) Budbärarna|(5) Underrättelsesamordnarna|(6) Transportpersonligheterna|(7) Reservkåren
26:4	Ascenders ankomst till Havona
26:8	Misslyckande med att hitta gudomen
26:10	Tilldelningar av besegrade kandidater
26:11	De av varelser treenigade sönerna
27:1	Vilans natur
28:4	(1) Samaktörens röst | (2) De sju härskarandarnas röst | (3) Skaparsönernas röst | (4) Änglaskarornas röst | (5) Sändningsmottagare | (6) Transportpersonligheter | (7) Reservkåren
28:5	(1) Visdomens röst | (2) Filosofins själ | (3) Själarnas förening | (4) Rådgivningens hjärta | (5) Tillvarons glädje | (6) Tjänstens tillfredsställelse | (7) Andarnas urskiljare
28:6	(1) Ursprungets betydelse | (2) Minnet av barmhärtighet | (3) Tidens betydelse | (4) Tillitens högtidlighet | (5) Tjänstens helgd | (6) och (7) Storhetens hemlighet och godhetens själ
29:2	(1) Suprema Centerövervakare|(2) Havonacentra|(3) Superuniversumcentra|(4) Lokaluniversumcentra|(5) Konstellationscentra|(6) Systemcentra|(7) Oklassificerade centra
29:4	(1) Associerade kraftledare|(2) Mekaniska styrenheter|(3) Energitransformatorer|(4) Energisändare|(5) Primära associatorer|(6) Sekundära dissociatorer|(7) Frandalankerna|Chronoldeks
29:5	Primära Eventuerade Mästarkraftsorganisatörer Associerade Transcendentala Mästarkraftsorganisatörer
30:1	I. Varelser med treenigt ursprung | II. Varelser med dubbelt ursprung | III. Varelser med ett ursprung | IV. Eventuerade transcendentala varelser | V. Fragmenterade gudomliga entiteter | VI. Överpersonliga varelser | VII. Oklassificerade och ouppenbarade ordnar
30:2	I. Paradisgudomligheterna | II. De Högsta Andarna | III. Treenighetens Ursprungsvarelser | IV. Guds Söner | V. Den Oändlige Andens Personligheter | VI. Universumets Maktledare | VII. Den Permanenta Medborgarkåren | Sammansatta Personlighetsgrupper
30:3	(1) Stjärnstudenterna|(2) De himmelska hantverkarna|(3) Återvändarledarna|(4) Utvidgningsskolans instruktörer|(5) De olika reservkårerna|(6) Studentbesökarna|(7) De uppstigande pilgrimerna
30:4	(1) Planetariska Dödliga|(2) Sovande Överlevande|(3) Mansoniavärldsstudenter|(4) Morontia-Progressörer|(5) Superuniversums Avdelningar|(6) Havona-Pilgrimer|(7) Paradisets Ankomster
33:6	Lokal universumstid
34:6	Människans dubbla natur
34:7	"Det här är vägen."
35:4	Melkisedek-inkarnationer
35:8	Primära Lanonandeks|Sekundära Lanonandeks|Tertiära Lanonandeks
36:4	Midsoniterna|Salvington Worlds of the Finaliters
36:5	(1) Intuitionens ande|(2) Förståelsens ande|(3) Modets ande|(4) Kunskapens ande|(5) Rådens ande|(6) Tillbedjans ande|(7) Visdomens ande
37:2	Skapade kvällsstjärnor|Ascendent kvällsstjärnor|Kvällsstjärnornas världar
37:3	Ärkeänglarnas världar
37:5	Raskommissionärer|Nebadons perfektionskår|De med anden sammansmälta dödligas världar
37:6	Nebadons utbildningssystem
37:8	Ensamma Budbärare|Universumkretsövervakare-Andovontia|Folkräkningsdirektör-Salsatia|Biträdande Inspektör|Tilldelade Vakter|Universella Medlare|Tekniska Rådgivare|Himmelska Upptecknare|Morontiaföljeslagare
37:9	(1) Susatia|(2) Univitatia|(3) Materiella Söner|(4) Mellanvarelser|Övergivande
37:10	Spironga|Spornagia|Med tillstånd av kolonier
38:8	(1) Uppstigningskandidater | (2) Mittfas-keruber | (3) Morontia-keruber
38:9	(1) Primära Mellanväsenare|(2) Sekundära Mellanväsenare
39:1	(1) Son-Ande-Tjänare|_Givandemedarbetare|(2) Hovrådgivare|(3) Universumorienterare|(4) Undervisningsrådgivarna|(5) Uppdragsledare|(6) Skrivarna|(7) Obundna Tjänare
