ref	subsections
0:3	Yedi Mutlak|Gerçeklik|Ben'im Kavramı
0:4	Cennet
0:12	Teşekkür
3:5	Kaçınılmazlıklar
3:6	Kutsama
4:1	İlahi takdir
6:4	Her şeye gücü yetme, her yerde bulunma, her şeyi bilme
7:5	Ebedi Oğul'un İhsanları | Orijinal Mikail'in İhsanları
8:4	Yaratıcı Kızlar
9:8	Üçüncü Kaynak ve Merkezin işlevsel ailesi
10:5	Sonlu, mutlak ve mutlak tutum
10:6	Adalet, delil ve yargı
10:8	Ölümlü kaderin sınırları
11:6	Nüfuz edilmemiş alan
11:7	Orta uzay bölgeleri
11:8	Kuvvet, enerji, güç
13:1	(1) Divinington|(2) Sonarington|(3) Spiritington|(4) Vicegerington|(5) Solitarington|(6) Seraphington|(7) Ascendington
13:4	Üstat Ruhların yönetici meskenleri
14:1	Cennet-Havona günü | Karanlık yerçekimi cisimleri
14:4	Havona yerlileri
14:5	Monotonluk ve macera
15:7	Süper evren zamanı
15:9	Yerel evren devreleri
16:6	Nedensellik, görev ve ibadet
17:1	Yaratık-üçlemeli Oğullar
19:4	Üçlü Birliğin Sabit Oğulları
21:0	Orijinal Michael
22:1	Başarıya Ulaşmış Üçlü Oğullar | Seçilmiş Üçlü Oğullar | Mükemmelliğe Ulaşmış Üçlü Oğullar
22:7	Yükselen-üçlemeli Oğullar | Cennet-Havona üçlüleştirilmiş Oğullar | Kaderin üçlüleştirilmiş oğulları
23:3	Serafik ve diğer uzay hızları
23:4	Kaderin üçlü oğulları
24:6	İlk tırmanıcı Grandfanda
26:1	Merkezi Evrenin Hizmetkar Ruhları | Süper Evrenlerin Hizmetkar Ruhları | Yerel Evrenlerin Hizmetkar Ruhları
26:3	(1) Uyum Denetçileri | (2) Baş Kayıtçılar | (3) Yayıncılar | (4) Haberciler | (5) İstihbarat Koordinatörleri | (6) Ulaştırma Kişilikleri | (7) Yedek Birlikler
26:4	Yükselenlerin Havona'ya varışı
26:8	İlahiyat'ı bulamamak
26:10	Yenilen adayların atamaları
26:11	Yaratık-üçlemeli oğullar
27:1	Dinlenmenin doğası
28:4	(1) Ortak Oyuncunun Sesi | (2) Yedi Üstat Ruhun Sesi | (3) Yaratıcı Oğulların Sesi | (4) Melek Orduların Sesi | (5) Yayın Alıcıları | (6) Taşıma Kişilikleri | (7) Yedek Birlikler
28:5	(1) Bilgeliğin Sesi|(2) Felsefenin Ruhu|(3) Ruhların Birliği|(4) Öğütün Kalbi|(5) Varoluşun Sevinci|(6) Hizmetin Tatmini|(7) Ruhların Ayırt Edicisi
28:6	(1) Kökenlerin Önemi|(2) Merhametin Anısı|(3) Zamanın Önemi|(4) Güvenin Ciddiyeti|(5) Hizmetin Kutsallığı|(6) ve (7) Büyüklüğün Sırrı ve İyiliğin Ruhu
