ref	subsections
0:3	七大绝对 | 现实 | “我是”的概念
0:4	天堂
0:12	致谢
3:5	不可避免的
3:6	祝福
4:1	普罗维登斯
6:4	全能、无所不在、无所不知
7:5	永恒之子的恩赐|原初米迦勒的恩赐
8:4	创意女儿们
9:8	第三源和中心的功能家族
10:5	有限、绝对和绝对的态度
10:6	正义、证据和判决
10:8	凡人命运的局限
11:6	未渗透空间
11:7	中空区域
11:8	力、能量、功率
13:1	（1）迪维宁顿|（2）索纳林顿|（3）斯皮里廷顿|（4）维斯格林顿|（5）索利塔林顿|（6）塞拉芬顿|（7）阿森丁顿
13:4	主灵的行政住所
14:1	天堂-哈沃纳日|暗引力体
14:4	哈沃纳原住民
14:5	单调与冒险
15:7	超宇宙时间
15:9	局部宇宙回路
16:6	因果关系、责任与崇拜
17:1	受造物三位一体之子
19:4	三一圣子会
21:0	原版迈克尔
22:1	三位一体的成就之子|三位一体的甄选之子|三位一体的完美之子
22:7	升天者-三位一体之子|天堂-哈沃纳三位一体之子|命运三位一体之子
23:3	天使和其他空间速度
23:4	三位一体的命运之子
24:6	Grandfanda，第一个上升者
26:1	中央宇宙的侍奉之灵|超宇宙的侍奉之灵|本宇宙的侍奉之灵
26:3	（1）和谐监督员 | （2）首席记录员 | （3）广播员 | （4）信使 | （5）情报协调员 | （6）运输人员 | （7）后备队
26:4	升天者抵达哈沃纳
26:8	未能找到神灵
26:10	落选候选人的分配
26:11	受造物三位一体的儿子们
27:1	休息的本质
28:4	（1）联合演员的声音|（2）七位主神的声音|（3）创造之子的声音|（4）天使天军的声音|（5）广播接收器|（6）运输人员|（7）后备队
28:5	（1）智慧之声 | （2）哲学之魂 | （3）灵魂的结合 | （4）劝导之心 | （5）存在的喜悦 | （6）服务的满足 | （7）辨别灵魂者
28:6	（1）起源的意义|（2）慈悲的记忆|（3）时间的重要性|（4）信任的庄严|（5）服务的神圣|（6）和（7）伟大的秘密和善良的灵魂
29:2	（1）最高中心主管|（2）哈沃纳中心|（3）超宇宙中心|（4）本宇宙中心|（5）星座中心|（6）系统中心|（7）未分类中心
29:4	（1）副电源导向器|（2）机械控制器|（3）能量变压器|（4）能量传输器|（5）一次耦合器|（6）二次分离器|（7）弗兰达兰克|克罗诺德克
29:5	主要最终主导力量组织者 副超越主导力量组织者
30:1	一、三位一体之神|二、二元之神|三、一元之神|四、已证悟的超验存在|五、神性碎片|六、超人格存在|七、未分类及未揭示的秩序
30:2	一、天堂诸神|二、至高灵体|三、三位一体起源存在|四、神子|五、无限灵体的位格|六、宇宙能量指导者|七、永久公民团|复合人格群
30:3	（1）星辰学生|（2）天界工匠|（3）回归总监|（4）拓展学校教员|（5）各类后备队|（6）学生访客|（7）升天朝圣者
30:4	（1）行星凡人|（2）沉睡的幸存者|（3）豪宅世界学生|（4）莫隆提亚进步者|（5）超宇宙守护者|（6）哈沃纳朝圣者|（7）天堂降临者
33:6	地方宇宙时间
34:6	人的双重性
34:7	“这就是正道。”
35:4	麦基洗德的化身
35:8	初级Lanonandeks|二级Lanonandeks|三级Lanonandeks
36:4	午夜狂欢者|萨尔文顿世界决赛狂欢者
36:5	（1）直觉之灵 | （2）理解之灵 | （3）勇气之灵 | （4）知识之灵 | （5）劝导之灵 | （6）敬拜之灵 | （7）智慧之灵
37:2	创造的暮星|上升的暮星|暮星的世界
37:3	大天使的世界
37:5	种族专员|尼巴顿完美军团|灵体融合凡人的世界
37:6	内巴顿教育系统
37:8	孤寂信使|宇宙回路主管-安多冯提亚|人口普查主任-萨尔萨提亚|副督察|指定哨兵|宇宙调解员|技术顾问|天界记录员|莫隆提亚同伴
37:9	（1）苏萨提亚|（2）尤尼维塔提亚|（3）物质之子|（4）中途生物|弃儿
37:10	斯皮龙加|斯波纳吉亚|礼节殖民地
38:8	（1）升天候选人|（2）中期基路伯|（3）摩隆提亚基路伯
38:9	（1）小学中途站学生|（2）中学中途站学生
39:1	（1）圣子之灵的侍奉者|（2）宫廷顾问|（3）宇宙指引者|（4）教导顾问|（5）指派主任|（6）记录者|（7）无依附的侍奉者
39:2	（1）情报部队|（2）慈悲之声|（3）灵体协调员|（4）助理教师|（5）传送者|_天使传送技术|（6）记录者|_广播者|（7）后备人员
39:3	（1）督导助理|（2）法律预测者|（3）社会架构师|（4）伦理敏感者|（5）运输者|（6）记录者|（7）储备人员
39:4	（1）行政助理 | （2）正义向导 | （3）宇宙公民身份诠释者 | （4）道德启蒙者 | （5）传送者 | （6）记录者 | （7）后备人员
39:5	（1）花园之声|（2）兄弟情谊之灵|（3）和平之魂|（4）信任之灵|（5）运输者|_天使运输的启程|（6）记录者|（7）预备队
40:5	短暂或体验式调整者之旅的凡人|非调整者融合类型的凡人|具有调整者融合潜能的凡人|未编号系列
40:9	记忆重构技术
42:2	（1）空间潜能|（2）原始力|（3）涌现能量|_a. 强力|_b. 引力能量|（4）宇宙能量|（5）哈沃纳能量|（6）超验能量|（7）莫诺塔
42:10	（1）前副官精神|（2）副官精神|（3）演化的莫隆提亚精神|_宇宙精神
45:1	（1）终末者世界 | （2）莫伦提亚世界 | （3）天使世界 | （4）超级天使世界 | （5）圣子世界 | （6）灵界 | （7）圣父世界
45:6	父母的经历|撒旦尼亚的缓刑托儿所
46:5	（1）神子之环 | （2）天使之环 | （3）宇宙辅助之环 | （4）物质主宰之环 | （5）升华凡人之环 | （6）礼遇殖民地之环 | （7）终结者之环
47:1	必要的父母经验
47:3	莫隆蒂亚同伴
47:8	调节器融合
48:2	（1）电路调节器|（2）系统协调器|（3）行星管理员|（4）组合控制器|（5）联络稳定器|（6）选择性分拣器|（7）助理注册器
48:3	（1）朝圣者守护者|（2）朝圣者接收者和自由联想者|（3）接待天界访客者|（4）协调员和联络主任|（5）口译员和笔译员|（6）游览和回归主管|（7）区域和建筑物管理员
48:4	天上的幽默|人间的幽默
48:6	（1）炽天使福音|_诗篇第二十三篇原意|（2）种族诠释者|（3）心灵规划者|（4）莫伦蒂亚顾问|_mota的立体效应|（5）技术人员|（6）记录者-教师|_真理与事实|（7）服务储备|_成功、失败与自我
49:2	（1）大气类型|（2）元素类型|（3）重力类型|（4）温度类型|（5）电类型|（6）能量类型|（7）未命名类型
49:5	（1）行星环境适应 | 塔巴曼提亚考察的实验系列 | （2）脑型系列 | （3）灵魂接收系列 | （4）行星-凡人时代 | （5）生物亲缘系列 | （6）调整者融合系列 | （7）地球逃逸技巧
49:6	（1）时代或群体生存秩序|（2）个体升华秩序|（3）考验依赖型升华秩序|（4）次级修正升华秩序|（5）主要修正升华秩序
50:7	龙齿兽|塔巴曼提亚龙齿兽
54:5	十二个理由
55:4	行星上的七个阶段|中途岛的释放|亚当的离去
55:12	最高层的不合格监督者
57:4	太阳的起源
57:5	逆行运动
